"adap-org/9810007","Jordi Garcia-Ojalvo","J. Garcia-Ojalvo, J. Casademont, C.R. Mirasso, M.C. Torrent and J.M.
  Sancho","Coherence and synchronization in diode-laser arrays with delayed global
  coupling","8 pages, LaTeX, 6 PS figures, to appear in International Journal of
  Bifurcation and Chaos",,"10.1142/S021812749900167X",,"adap-org cond-mat nlin.AO physics.optics",,"  The dynamics of a semiconductor-laser array whose individual elements are
coupled in a global way through an external mirror is numerically analysed. A
coherent in-phase solution is seen to be preferred by the system at
intermediate values of the feedback coupling strength. At low values of this
parameter, a strong amplification of the spontaneous emission noise is
observed. A tendency towards chaos synchronization is also observed at large
values of the feedback strength.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:39:18 GMT""}]","2015-06-24"
"hep-ph/9810524","Norbert Straumann","Lochlain O'Raifeartaigh (Dublin Institute for Advanced Studies),
  Norbert Straumann (University of Zuerich)","Early History of Gauge Theories and Kaluza-Klein Theories, with a Glance
  at Recent Developments","Revised and slightly extended version. Accepted for publication in
  Reviews of Modern Physics",,,,"hep-ph gr-qc hep-th",,"  One of the major developments of twentieth century physics has been the
gradual recognition that a common feature of the known fundamental interactions
is their gauge structure. In this article the authors review the early history
of gauge theory, from Einstein's theory of gravitation to the appearance of
non-abelian gauge theories in the fifties. The authors also review the early
history of dimensional reduction, which played an important role in the
developement of gauge-theory. A description is given how, in recent times, the
ideas of gauge-theory and dimensional reduction have emerged naturally in the
context of string theory and non-commutative geometry.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:39:13 GMT""},{""version"":""v2"",""created"":""Mon, 5 Apr 1999 11:41:41 GMT""}]","2007-05-23"
"hep-ph/9810525","Pat Kalyniak","Stephen Godfrey, Tao Han, and Pat Kalyniak","Discovery limits for Techni-Omega production in $e\gamma$ Collisions","To appear in the Proceedings of the 29th International Conference on
  High Energy Physics, Vancouver, July 1998, 5 pages, Latex, 7 postscript
  figures",,,"OCIP/C 98-01, MADPH-98-1066","hep-ph",,"  In a strongly-interacting electroweak sector with an isosinglet vector state,
such as the techni-omega, $\omega_T$, the direct $ \omega_T Z \gamma $ coupling
implies that an $\omega_T$ can be produced by $Z \gamma$ fusion in $e \gamma$
collisions. This is a unique feature for high energy $e^+e^-$ or $e^-e^-$
colliders operating in an $e\gamma$ mode. We consider the processes $e^- \gamma
\to e^- Z\gamma$ and $e^- \gamma \to e^- W^+ W^- Z$, both of which proceed via
an intermediate $\omega_T$. We find that at a 1.5 TeV $e^+e^-$ linear collider
operating in an $e\gamma$ mode with an integrated luminosity of 200 fb$^{-1}$,
we can discover an $\omega_T$ for a broad range of masses and widths.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:53:23 GMT""}]","2007-05-23"
"hep-ph/9810526","Ram Brustein","Ram Brustein, Merav Hadad","Cold and Hot Dark Matter from a Single Nonthermal Relic","10 pages, 1 figure","Phys.Rev.Lett. 82 (1999) 3016-3019","10.1103/PhysRevLett.82.3016","BGU-PH-98/10, TAUP-2534-98","hep-ph astro-ph",,"  The origin of dark matter in the universe may be scalar particles produced by
amplification of quantum fluctuations during a period of dilaton-driven
inflation. We show, for the first time, that a single species of particles,
depending on its mass and interactions, can be a source of both cold and hot
dark matter simultaneously. Detection of such weakly interacting particles with
masses below a fraction of an eV presents a new challenge for dark matter
searches.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 15:20:31 GMT""}]","2009-10-31"
"hep-ph/9810527","Mikko Vanttinen","M. V\""anttinen, L. Mankiewicz (TU Munich), and E. Stein (INFN Sezione
  di Torino)","Higher-twist contributions in exclusive processes","4 pages, 2 figures (Latex2e, Postscript, style file b98proc.cls
  included); talk given in the Baryons'98 conference, Bonn, Germany, Sept.
  22-26, 1998",,,,"hep-ph",,"  Using the renormalon technique, we estimate higher-twist contributions in
deeply virtual Compton scattering and in hard exclusive $\pi^0$
leptoproduction.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 15:55:52 GMT""}]","2007-05-23"
"hep-th/9810233","Chi-Wei Herbert Lee","C.-W. H. Lee and S. G. Rajeev","Poisson Brackets of Normal-Ordered Wilson Loops","34 pages, 4 eps figures, LaTeX2.09; citations added","J.Math.Phys. 40 (1999) 1870-1890","10.1063/1.532838",,"hep-th math-ph math.MP",,"  We formulate Yang-Mills theory in terms of the large-N limit, viewed as a
classical limit, of gauge-invariant dynamical variables, which are closely
related to Wilson loops, via deformation quantization. We obtain a Poisson
algebra of these dynamical variables corresponding to normal-ordered quantum
(at a finite value of $\hbar$) operators. Comparing with a Poisson algebra one
of us introduced in the past for Weyl-ordered quantum operators, we find, using
ideas closly related to topological graph theory, that these two Poisson
algebras are, roughly speaking, the same. More precisely speaking, there exists
an invertible Poisson morphism between them.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 19:59:05 GMT""},{""version"":""v2"",""created"":""Sun, 15 Nov 1998 21:21:07 GMT""},{""version"":""v3"",""created"":""Tue, 17 Nov 1998 21:03:04 GMT""}]","2015-06-26"
"hep-th/9810234","Ascar K. Aringazin","A. K. Aringazin (Karaganda State University, Kazakstan)","Functional Approach to Phase Space Formulation of Quantum Mechanics","6 pages, LaTeX2e","Proc. of the XVIII Workshop on High Energy Physics and Field
  Theory, 26-30 June 1995, Protvino, Russia, Eds.V.A.Petrov, A.P.Samokhin,
  R.N.Rogalyov (IHEP, Protvino, 1996) pp. 322-327",,,"hep-th",,"  We present BRST gauge fixing approach to quantum mechanics in phase space.
The theory is obtained by $\hbar$-deformation of the cohomological classical
mechanics described by d=1, N=2 model. We use the extended phase space supplied
by the path integral formulation with $\hbar$-deformed symplectic structure.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:07:01 GMT""}]","2007-05-23"
"hep-th/9810235","Poul Henrik Damgaard","I.A. Batalin, K. Bering and P.H. Damgaard","Superfield Formulation of the Phase Space Path Integral","6 pages, LaTeX","Phys.Lett. B446 (1999) 175-178","10.1016/S0370-2693(98)01537-8",,"hep-th",,"  We give a superfield formulation of the path integral on an arbitrary curved
phase space, with or without first class constraints. Canonical tranformations
and BRST transformations enter in a unified manner. The superpartners of the
original phase space variables precisely conspire to produce the correct path
integral measure, as Pfaffian ghosts. When extended to the case of second-class
constraints, the correct path integral measure is again reproduced after
integrating over the superpartners. These results suggest that the superfield
formulation is of first-principle nature.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:40:37 GMT""}]","2009-10-31"
"hep-th/9810236","Brett van de Sande","S. Dalley (CERN), B. van de Sande (Uni. Erlangen)","Glueball calculations in large-N_c gauge theory","4 pages, 2 figures, uses macro boxedeps.tex, minor corrections in
  revised version","Phys.Rev.Lett. 82 (1999) 1088-1091","10.1103/PhysRevLett.82.1088","FAU-TP3-98/20 and CERN-TH/98-347","hep-th hep-lat",,"  We use the light-front Hamiltonian of transverse lattice gauge theory to
compute from first principles the glueball spectrum and light-front
wavefunctions in the leading order of the 1/N_c colour expansion. We find
0^{++}, 2^{++}, and 1^{+-} glueballs having masses consistent with N_c=3 data
available from Euclidean lattice path integral methods. The wavefunctions
exhibit a light-front constituent gluon structure.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 15:08:58 GMT""},{""version"":""v2"",""created"":""Mon, 18 Jan 1999 19:14:05 GMT""}]","2009-10-31"
"hep-th/9810237","Hiroshi Itoyama","B. Chen, H. Itoyama and H. Kihara","Nonabelian Berry Phase, Yang-Mills Instanton and USp(2k) Matrix Model","8 pages, Latex, some comments on our result added","Mod.Phys.Lett. A14 (1999) 869-879","10.1142/S0217732399000924","OU-HET-305","hep-th",,"  The nonabelian Berry phase is computed in the T dualized quantum mechanics
obtained from the USp(2k) matrix model. Integrating the fermions, we find that
each of the spacetime points X_{\nu}^{(i)} is equipped with a pair of su(2) Lie
algebra valued pointlike singularities located at a distance m_{(f)} from the
orientifold surface. On a four dimensional paraboloid embedded in the five
dimensional Euclidean space, these singularities are recognized as the BPST
instantons.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:53:59 GMT""},{""version"":""v2"",""created"":""Mon, 3 May 1999 13:33:10 GMT""}]","2009-10-31"
"hep-th/9810238","Jan B. Thomassen","Jan B. Thomassen","Two-Dimensional Bosonization from Variable Shifts in the Path Integral","4 pages","Mod.Phys.Lett. A14 (1999) 745-749","10.1142/S021773239900078X","IK-TUW 9810401","hep-th",,"  A method to perform bosonization of a fermionic theory in (1+1) dimensions in
a path integral framework is developed. The method relies exclusively on the
path integral property of allowing variable shifts, and does not depend on the
explicit form of Greens functions. Two examples, the Schwinger model and the
massless Thirring model, are worked out.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 14:02:43 GMT""}]","2009-10-31"
"hep-th/9810239","Sergei Kuzenko","E. I. Buchbinder, I. L. Buchbinder and S. M. Kuzenko","Non-holomorphic effective potential in N = 4 SU(n) SYM","11 pages, LaTeX, no figures; misprints corrected, new references and
  comments added, to appear in Phys. Lett. B","Phys.Lett. B446 (1999) 216-223","10.1016/S0370-2693(98)01456-7","TP-TSU-15/98","hep-th",,"  We compute the one-loop non-holomorphic effective potential for the N=4 SU(n)
supersymmetric Yang-Mills theory with the gauge symmetry broken down to the
maximal torus. Our approach remains powerful for arbitrary gauge groups and is
based on the use of N=2 harmonic superspace formulation for general N=2
Yang-Mills theories along with the superfield background field method.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 15:07:07 GMT""},{""version"":""v2"",""created"":""Wed, 4 Nov 1998 15:49:00 GMT""},{""version"":""v3"",""created"":""Mon, 23 Nov 1998 15:33:17 GMT""}]","2009-10-31"
"math/9810164","Alexander R. Pruss","Alexander R. Pruss","From the Polya-Szego symmetrization inequality for Dirichlet integrals
  to comparison theorems for p.d.e.'s on manifolds",,,,,"math.AP",,"  A method for proving symmetrization inequalities for some elliptic p.d.e.'s
on manifolds equipped with appropriate isoperimetric inequalities is outlined.
The method is based on a modification of an approach of Baernstein. The
question of what is the most general result that can be proved in this way is
still open, and the author can be consulted if the reader is interested in this
question.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 16:06:22 GMT""}]","2007-05-23"
"math/9810165","Soren Eilers","Soren Eilers and Ruy Exel","Finite dimensional representations of the soft torus",,,,,"math.OA math.FA",,"  The soft tori constitute a continuous deformation, in a very precise sense,
from the commutative C*-algebra C(T^2) to the highly non-commutative C*-algebra
C*(F_2). Since both of these C*-algebras are known to have a separating family
of finite dimensional representations, it is natural to ask whether that is
also the case for the soft tori. We show that this is in fact the case.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:27:02 GMT""}]","2007-05-23"
"math/9810166","Andrew Kresch","Andrew Kresch","Cycle groups for Artin stacks","LaTeX2e, 44 pages",,"10.1007/s002220050351",,"math.AG",,"  We construct an algebraic homology functor for Artin stacks of finite type
over a field, and we develop intersection-theoretic properties.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 21:53:51 GMT""}]","2009-10-31"
"math/9810167","Nanhua Xi","Vyjayanthi Chari and Nanhua Xi","Monomial Bases of Quantized Enveloping Algebras","12 pages, no figures, Latex file",,,,"math.QA",,"  We construct a monomial basis of the positive part of the quantized
enveloping algebra associated to a finite-dimensional simple Lie algebra. As an
application we give a simple proof of the existence and uniqueness of the
canonical basis of the positive part.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 23:51:50 GMT""}]","2007-05-23"
"math/9810168","Vladimir Pestov","Vladimir Pestov","Amenable groups and measure concentration on spheres","17 pages, LaTeX 2e","C.r. Acad. Sc. Paris, Ser. I 328 (1999), 669--674.","10.1016/S0764-4442(99)80232-8","Research Report 98-27, School of Math & Comp Sci, Victoria Univ of
  Wellington","math.FA",,"  It is proved that a discrete group $G$ is amenable if and only if for every
unitary representation of $G$ in an infinite-dimensional Hilbert space $\cal H$
the maximal uniform compactification of the unit sphere $\s_{\cal H}$ has a
$G$-fixed point, that is, the pair $(\s_{\cal H},G)$ has the concentration
property in the sense of Milman. Consequently, the maximal $U({\cal
H})$-equivariant compactification of the sphere in a Hilbert space $\cal H$ has
no fixed points, which answers a 1987 question by Milman.
  This is a version as of November 19, 1998, incorporating some revisions.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 03:46:42 GMT""},{""version"":""v2"",""created"":""Wed, 18 Nov 1998 21:57:05 GMT""}]","2009-10-31"
"math/9810169","Jean-Francois Burnol","Jean-Francois Burnol","The Explicit Formula in simple terms","25 pages, plain TeX. The section on the conductor operator has been
  rewritten, a few final comments added and the references updated. Some typos
  have been corrected",,,,"math.NT",,"  This is a semi-expository paper on the easier aspects of the Explicit Formula
for the Riemann Zeta Function. The topics reviewed here include: Weil's
criterion for the Riemann Hypothesis and its probabilistic interpretation,
various formulations of the contribution corresponding to the real place,
Haran's version of the Explicit Formula, and the author's own derivation which
puts all places on the same footing. This derivation, an addendum to Tate's
Thesis, is in the spirit of Weil's insights towards an adelic understanding of
the Explicit Formula. Whereas the analyst would likely formulate the Explicit
Formula as a multiplicative convolution, Haran's theorem shows it is also an
additive convolution. An intriguing conductor operator is considered whose
spectral analysis is equivalent to the Explicit Formula. At a finite place it
has a positive cuspidal spectrum. I also comment on the flexibility still left
in the Explicit Formula, which shows that it has a symmetry group containing
the non-zero rational numbers.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 13:48:33 GMT""},{""version"":""v2"",""created"":""Sun, 22 Nov 1998 13:29:18 GMT""}]","2007-05-23"
"math/9810200","Ken'ichi Ohshika","Ken'ichi Ohshika","Divergent sequences of Kleinian groups","32 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon1/paper21.abs.html","Geom. Topol. Monogr. 1 (1998), 419-450",,"G&T migration mon1-21","math.GT",,"  One of the basic problems in studying topological structures of deformation
spaces for Kleinian groups is to find a criterion to distinguish convergent
sequences from divergent sequences. In this paper, we shall give a sufficient
condition for sequences of Kleinian groups isomorphic to surface groups to
diverge in the deformation spaces.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 00:00:00 GMT""}]","2009-09-25"
"math/9810201","Sarah Rees","Sarah Rees","Hairdressing in groups: a survey of combings and formal languages","17 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon1/paper24.abs.html","Geom. Topol. Monogr. 1 (1998), 493-509",,"G&T migration mon1-24","math.GR",,"  A group is combable if it can be represented by a language of words
satisfying a fellow traveller property; an automatic group has a synchronous
combing which is a regular language. This article surveys results for combable
groups, in particular in the case where the combing is a formal language.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 00:00:00 GMT""}]","2009-09-25"
"math/9810202","Abdelghani Zeghib","Abdelghani Zeghib","Sur les espaces-temps homogenes","26 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon1/paper26.abs.html","Geom. Topol. Monogr. 1 (1998), 551-576",,"G&T migration mon1-26","math.DG",,"  Here, we classify Lie groups acting isometrically on compact Lorentz
manifolds, and in particular we describe the geometric structure of compact
homogeneous Lorentz manifolds.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9810074","Filkov","L.V. Fil'kov, V.L. Kashevarov (Lebedev Physical Institute, Moscow)","Compton Scattering on the Charged Pion and the Process \gamma\gamma \to
  \pi^0 \pi^0","LaTex, 19 pages including 6 figures. Substantial revised version","Eur.Phys.J.A5:285-292,1999","10.1007/s100500050287",,"nucl-th hep-ph",,"  The Compton scattering on a charged pion and the process \gamma\gamma \to
\pi^0\pi^0 are studied using the dispersion relations. Unknown parameters of
the S-wave \pi\pi interaction, represented as a board Breit-Wignar resonance,
and a sum and a difference of the \pi^0 meson polarizabilities are found from a
fit to the experimental data for the process \gamma+\gamma \to \pi^0+\pi^0.
This fit gives \alpha+\beta=0.98\pm 0.03 and \alpha-\beta=-1.6\pm 2.2. The
found parameters of the S-wave \pi\pi interaction are used for the calculation
of the cross section of the Compton scattering on \pi^{\pm} meson. The analysis
of the obtained results shows that the experimental data for the elastic
\gamma\pi scattering in the energy region up to 1 GeV together with the data
for the process \gamma+\gamma \to \pi^0+\pi^0 could be used both for a
determination of the pion polarizability values with quite high accuracy and
for study of the S-wave \pi\pi interaction.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 17:12:09 GMT""},{""version"":""v2"",""created"":""Tue, 17 Aug 1999 13:17:35 GMT""}]","2011-07-19"
"nucl-th/9810075","pt2817 Aalok Misra fc phy","A. Misra (1), D. S. Koltun (2) ((1) Indian Institute of Technology,
  Kanpur, India, (2) University of Rochester, USA)","2-Nucleon 1-Loop Corrections to Pion Double Charge Exchange within Heavy
  Baryon Chiral Perturbation Theory","30 pages, RevTex, 5 tables, 5 ps figures; estimate of single-nucleon
  1-loop corrections to the pi-pi, pi-N, 3pi-N vertices included in Section VI;
  references added; clarifying remarks regarding notations and new results
  related to 1-loop integrals included; discussion on Weinberg's power counting
  rule expanded; this revised version to appear in PRC",,,,"nucl-th hep-ph",,"  One-loop corrections at the two-nucleon level to Pion Double Charge exchange
(DCX) scattering off a nuclear target at threshold, are calculated within the
framework of Heavy Baryon Chiral Perturbation Theory (HBChPT). An estimate for
the (2-nucleon) 1-loop correction is obtained in the static limit and using an
impulse approximation. We find a small (1.6%) increase relative to the leading
order tree graphs.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 09:06:52 GMT""},{""version"":""v2"",""created"":""Sat, 16 Oct 1999 14:01:10 GMT""}]","2007-05-23"
"nucl-th/9810077","Dr. Steffen A. Bass","S.A. Bass, H. Weber, C. Ernst, M. Bleicher, M. Belkacem, L. Bravina,
  S. Soff, H. Stoecker, W. Greiner and C. Spieles","Reaction dynamics in Pb+Pb at the CERN/SPS: from partonic degrees of
  freedom to freeze-out","10 pages, 7 figures, Proceedings of the Erice School on Nuclear
  Physics in Erice, Sicily, Italy, September 17 -25 1998; to be published in
  Progress in Particle and Nuclear Physics Vol. 42","Prog.Part.Nucl.Phys. 42 (1999) 313-322","10.1016/S0146-6410(99)00086-1",,"nucl-th",,"  We analyze the reaction dynamics of central Pb+Pb collisions at 160
GeV/nucleon. First we estimate the energy density pile-up at mid-rapidity and
calculate its excitation function: The energy density is decomposed into
hadronic and partonic contributions. A detailed analysis of the collision
dynamics in the framework of a microscopic transport model shows the importance
of partonic degrees of freedom and rescattering of leading (di)quarks in the
early phase of the reaction for E > 30 GeV/nucleon. The energy density reaches
up to 4 GeV/fm^3, 95% of which are contained in partonic degrees of freedom. It
is shown that cells of hadronic matter, after the early reaction phase, can be
viewed as nearly chemically equilibrated. This matter never exceeds energy
densities of 0.4 GeV/fm^3, i.e. a density above which the notion of separated
hadrons loses its meaning. The final reaction stage is analyzed in terms of
hadron ratios, freeze-out distributions and a source analysis for final state
pions.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 15:16:29 GMT""}]","2015-06-26"
"physics/9810059","Alexander S. Zazerskiy","Alexander S. Zazerskiy","From the Field Electron Model to the Unified Field Theory","6 pages",,,,"physics.gen-ph physics.pop-ph",,"  The unified field is a Maxwell-Lorentz field. Maxwell-Lorentz equations for
potentials in standard four-dimensional form are satisfied exactly. This is
achieved by involving new fundamental field sources, strict definition of which
requires higher dimensionality. Source currents do not ""see"" each other enough
that, in each point of the space in any direction, there is a couple of
currents with different charge signs. Each such charged source moves in the
Maxwell-Lorentz field in accordance with the law of motion, and each of them,
independently of the others, generates field in accordance with Maxwell-Lorentz
equations. The law of motion may be found from the condition of existence of a
solution in the form of stabile and identical electrons with ""necessary""
properties. The law of motion to be found is defined strictly enough by the
condition of electron generation! If an electron exists that means that
protons, atoms and the Universe exist too! All particles and fields - they are
just visible exhibitions of interaction between the Maxwell-Lorentz field and
its sources!
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 01:28:51 GMT""}]","2007-05-23"
"quant-ph/9810087","Dieter Jaksch","D. Jaksch, H.-J. Briegel, J.I. Cirac, C. W. Gardiner, and P. Zoller","Entanglement of atoms via cold controlled collisions","4 pages 3 figures","Phys.Rev.Lett. 82 (1999) 1975-1978","10.1103/PhysRevLett.82.1975",,"quant-ph cond-mat",,"  We show that by using cold controlled collisions between two atoms one can
achieve conditional dynamics in moving trap potentials. We discuss implementing
two qubit quantum--gates and efficient creation of highly entangled states of
many atoms in optical lattices.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 17:08:23 GMT""}]","2009-10-31"
"quant-ph/9810088","A. Perez-Lorenzana","Merced Montesinos and Abdel P\'erez-Lorenzana","Minimal coupling and Feynman's proof","11 pages, Latex file, no figures. Published version","Int.J.Theor.Phys. 38 (1999) 901-910",,,"quant-ph hep-th physics.class-ph",,"  The non quantum relativistic version of the proof of Feynman for the Maxwell
equations is discussed in a framework with a minimum number of hypotheses
required. From the present point of view it is clear that the classical
equations of motion corresponding to the gauge field interactions can be
deduced from the minimal coupling rule, and we claim here resides the essence
of the proof of Feynman.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 03:51:54 GMT""},{""version"":""v2"",""created"":""Fri, 17 Sep 1999 20:59:24 GMT""}]","2007-05-23"
"quant-ph/9810089","Lev Vaidman","L. Vaidman","Teleportation: Dream or Reality?","Invited Talk in the Conference: Mysteries, Puzzles and Paradoxes in
  Quantum Mechanics, 13 pages",,"10.1063/1.57866",,"quant-ph",,"  Since its discovery in 1993, we witness an intensive theoretical and
experimental effort centered on teleportation. Very recently it was claimed in
the press that ``quantum teleportation has been achieved in the laboratory''
(T. Sudbery, Nature, 390, p. 551). Here, I briefly review this research
focusing on the connection to nonlocal measurements, and question Sudbery's
statement. A philosophical inquiry about the paradoxical meaning of
teleportation in the framework of the many-worlds interpretation is added.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:24:50 GMT""}]","2009-10-31"
"quant-ph/9810090","Decio Krause","Decio Krause and Steven French","Opaque predicates, veiled sets and their logic","Latex2e, no fiugures",,,,"quant-ph",,"  Motivated by considerations in the foundations of quantum mechanics and
inspired by the literature on vague predicates, we introduce the concept of an
opaque predicate. While in the case of vague predicates there is a kind of
indeterminacy with respect to the predicate, in the sense that the vagueness
concerns whether a well-determined object satisfies it or not, in the case of
opaque predicates the indeterminacy is with regard to the objects which should
satisfy them. In other words, their extensions are not well-defined, despite
the fact that the conditions for an object to satisfy the predicates are
well-known. We suggest that such opaque predicates (and more generally, what we
call opaque relations) can be characterized by a logic which encompasses a
semantics founded in quasi-set theory, and call their extensions veiled sets.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 11:34:55 GMT""}]","2007-05-23"
"solv-int/9810019","Faruk Gungor","F. Gungor (Istanbul Technical University)","Exact Solutions of a (2+1)-Dimensional Nonlinear Klein-Gordon Equation","16 pages, no figures, revised version","Physica Scripta, Vol. 61, 385-390, 2000","10.1238/Physica.Regular.061a00385",,"solv-int nlin.SI",,"  The purpose of this paper is to present a class of particular solutions of a
C(2,1) conformally invariant nonlinear Klein-Gordon equation by symmetry
reduction. Using the subgroups of similitude group reduced ordinary
differential equations of second order and their solutions by a singularity
analysis are classified. In particular, it has been shown that whenever they
have the Painlev\'e property, they can be transformed to standard forms by
Moebius transformations of dependent variable and arbitrary smooth
transformations of independent variable whose solutions, depending on the
values of parameters, are expressible in terms of either elementary functions
or Jacobi elliptic functions.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:43:53 GMT""},{""version"":""v2"",""created"":""Sun, 4 Jun 2000 11:50:25 GMT""}]","2009-10-31"
