"adap-org/9810005","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Emergence and Growth of Complex Networks in Adaptive Systems","10 pages (including figures), 3 Postscript figures",,"10.1016/S0010-4655(99)00293-3","IISc-CTS/10/98","adap-org cond-mat nlin.AO",,"  We consider the population dynamics of a set of species whose network of
catalytic interactions is described by a directed graph. The relationship
between the attractors of this dynamics and the underlying graph theoretic
structures like cycles and autocatalytic sets is discussed. It is shown that
when the population dynamics is suitably coupled to a slow dynamics of the
graph itself, the network evolves towards increasing complexity driven by
autocatalytic sets. Some quantitative measures of network complexity are
described.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:48:48 GMT""}]","2009-10-30"
"hep-th/9810122","Aleksandar Bogojevic","Antun Balaz, Aleksandar Belic and Aleksandar Bogojevic (Institute of
  Physics)","Improved Gaussian Approximation","5 pages, Latex 2e, 7 figures, Lectures given at 11th Yugoslav
  Symposium on Nuclear and Particle Physics, Studenica, September 1998","SFINA2:297, 1998",,"IP-HET-98/22","hep-th",,"  In a recently developed approximation technique for quantum field theory the
standard one-loop result is used as a seed for a recursive formula that gives a
sequence of improved Gaussian approximations for the generating functional. In
this paper we work with the generic $\phi^3+\phi^4$ model in $d=0$ dimensions.
We compare the first, and simplest, approximation in the above sequence with
the one-loop and two-loop approximations, as well as the exact results
(calculated numericaly).
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 22:36:39 GMT""}]","2011-08-09"
"hep-th/9810123","Hong Lu","M. Cvetic, H. Lu and C.N. Pope","Spacetimes of Boosted p-branes, and CFT in Infinite-momentum Frame","Latex three times, 36 pages, minor changes and references added","Nucl.Phys.B545:309-339,1999","10.1016/S0550-3213(99)00002-4","UPR-0817-T, CTP TAMU-37/98","hep-th",,"  We study the spacetimes of the near-horizon regions in D3-brane, M2-brane and
M5-brane configurations, in cases where there is a pp-wave propagating along a
direction in the world-volume. While non-extremal configurations of this kind
locally have the same Carter-Novotny-Horsky-type metrics as those without the
wave, taking the BPS limit results instead in Kaigorodov-type metrics, which
are homogeneous, but preserve 1/4 of the supersymmetry, and have global and
local structures that are quite different from the corresponding anti-de Sitter
spacetimes associated with solutions where there is no pp-wave. We show that
the momentum density of the system is non-vanishing and held fixed under the
gravity decoupling limit. In view of the AdS/CFT correspondence, M-theory and
type IIB theory in the near-horizon region of these boosted BPS-configurations
specifies the corresponding CFT on the boundary in an infinitely-boosted frame
with constant momentum density. We model the microstates of such boosted
configurations (which account for the microscopic counting of near-extremal
black holes in D=7, D=9 and D=6) by those of a boosted dilute massless gas in a
d=4, d=3 and d=6 spacetime respectively. Thus we obtain a simple description
for the entropy of 2-charge black holes in D=7,9 and 6 dimensions. The paper
includes constructions of generalisations of the Kaigorodov and
Carter-Novotny-Horsky metrics in arbitrary spacetime dimensions, and an
investigation of their properties.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 23:52:53 GMT""},{""version"":""v2"",""created"":""Fri, 16 Oct 1998 14:33:04 GMT""},{""version"":""v3"",""created"":""Wed, 21 Oct 1998 20:31:01 GMT""}]","2009-09-17"
"hep-th/9810124","Antoine Balan","Antoine Balan (Ecole Polytechnique)","The Quantization of the Generalized mKdV Equations for $\hat {\SL}_2$","22 pages, LaTex, no figure",,,,"hep-th nlin.SI solv-int",,"  We construct quantum deformations of the integrals of motion of the
generalized mKdV equations for $\hat {\SL}_2$. For this, we give the relevant
vertex operator algebra and prove quantum Serre relations for vertex operators,
it allows to construct a $q$-BGG resolution and to deform the classical
integrals of motion in a commutativ family.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:26:39 GMT""},{""version"":""v2"",""created"":""Sat, 24 Oct 1998 12:14:20 GMT""}]","2007-05-23"
"hep-th/9810125","Robert Marnelius","Robert Marnelius, Niclas Sandstrom","Basics of BRST quantization on inner product spaces","32 pages,Latexfile,improved presentation and several new remarks","Int.J.Mod.Phys. A15 (2000) 833-868","10.1142/S0217751X00000409","ITP-Goteborg 98-16","hep-th",,"  There is an elaborated abstract form of BRST quantization on inner product
spaces within the operator formalism which leads to BRST invariant states of
the form |ph>=e^{[Q,\psi]} |\phi> where \psi is a gauge fixing fermion, and
where |\phi> is a BRST invariant state determined by simple hermitian
conditions. These state representations are closely related to the path
integral formulation. Here we analyse the basics of this approach in detail.
The freedom in the choice of \psi and |\phi> as well as their properties under
gauge transformations are explicitly determined for simple abelian models. In
all considered cases SL(2,R) is shown both to be a natural extended gauge
symmetry and to be useful to determine |ph>. The results are also applied to
nonabelian models.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 10:27:22 GMT""},{""version"":""v2"",""created"":""Thu, 26 Aug 1999 09:05:07 GMT""}]","2009-10-31"
"hep-th/9810126","Massimo Porrati","L. Girardello, M. Petrini, M. Porrati and A. Zaffaroni","Novel Local CFT and Exact Results on Perturbations of N=4 Super Yang
  Mills from AdS Dynamics","Version accepted by JHEP","JHEP 9812:022,1998","10.1088/1126-6708/1998/12/022","CERN-TH/98-323 IFUM-633-FT IMPERIAL/TP/98-99/4 NYU-TH/98/10/03","hep-th",,"  We find new, local, non-supersymmetric conformal field theories obtained by
relevant deformations of the N=4 super Yang Mills theory in the large $N$
limit. We contruct interpolating supergravity solutions that naturally
represent the flow from the N=4 super Yang Mills UV theory to these
non-supersymmetric IR fixed points. We also study the linearization around the
N=4 superconformal point of N=1 supersymmetric, marginal deformations. We show
that they give rise to N=1 superconformal fixed points, as expected from
field-theoretical arguments.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 13:27:53 GMT""},{""version"":""v2"",""created"":""Tue, 27 Oct 1998 18:32:42 GMT""},{""version"":""v3"",""created"":""Mon, 23 Nov 1998 20:11:47 GMT""},{""version"":""v4"",""created"":""Mon, 30 Nov 1998 22:05:43 GMT""},{""version"":""v5"",""created"":""Thu, 25 Feb 1999 16:16:03 GMT""}]","2010-02-03"
"hep-th/9810127","Emidio Gabrielli","A. Donini, E. Gabrielli, B. Gavela","Quenched Supersymmetry","LaTeX, 17 pages, no figures","Nucl.Phys. B546 (1999) 119-134","10.1016/S0550-3213(99)00030-9","FTUAM/98/12","hep-th hep-lat hep-ph",,"  We study the effects of quenching in Super-Yang-Mills theory. While
supersymmetry is broken, the lagrangian acquires a new flavour U(1 | 1)
symmetry. The anomaly structure thus differs from the unquenched case. We
derive the corresponding low-energy effective lagrangian. As a consequence, we
predict the mass splitting expected in numerical simulations for particles
belonging to the lowest-lying supermultiplet. An estimate of the systematic
error due to quenching follows.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:16:53 GMT""}]","2009-10-31"
"math/9810095","Lee Rudolph","Lee Rudolph","Hopf plumbing, arborescent Seifert surfaces, baskets, espaliers, and
  homogeneous braids","AMS-LaTeX file; 23 pages, 14 figures; revised May 2000; to be
  published in Topology and Its Applications",,,,"math.GT",,"  Four constructions of Seifert surfaces - Hopf plumbing, arborescent plumbing,
basketry, and T-bandword handle decomposition - are described, and some
interrelationships found, e.g.: arborescent Seifert surfaces are baskets;
Hopf-plumbed baskets are precisely homogeneous T-bandword surfaces.
  A Seifert surface is Hopf-plumbed if it is a 2-disk D or if it can be
constructed by plumbing a positive or negative Hopf annulus A(O,-1) or A(O,1)
to a Hopf-plumbed surface along a proper arc. A Seifert surface is a basket if
it is D or it can be constructed by plumbing an n-twisted unknotted annulus
A(O,n) to a basket along a proper arc in D. A Seifert surface is arborescent if
it is D, or it is A(O,n), or it can be constructed by plumbing A(O,n) to an
arborescent Seifert surface along a transverse arc of an annulus plumband.
Every arborescent Seifert surface is a basket.
  A tree T embedded in the complex plane C determines a set of generators for a
braid group. An espalier is a tree in the closed lower halfplane with vertices
on the real line R. If T is an espalier then words b in the T-generators
correspond nicely to T-bandword surfaces S(b). (For example, if I is an
espalier with an edge from p to p+1 for p=1,...,n-1, then the I-generators of
the n-string braid group are the standard generators; when Seifert's algorithm
is applied to the closed braid diagram of a word in those generators, the
result is an I-bandword surface.)
  Theorem. For any espalier T, a T-bandword surface S(b) is a Hopf-plumbed
basket iff b is homogeneous iff S(b) is a fiber surface iff S(b) is connected
and incompressible. A Hopf-plumbed basket S (for instance, an arborescent fiber
surface) is isotopic to a homogeneous T-bandword surface for some espalier T.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:51:20 GMT""},{""version"":""v2"",""created"":""Sat, 12 Jun 1999 16:42:44 GMT""},{""version"":""v3"",""created"":""Sat, 20 May 2000 15:20:44 GMT""}]","2007-05-23"
"math/9810100","Doug Drinen","D.Drinen, N.Sieben","C*-equivalences of graphs","16 pages, AMSLaTeX, XY-pic, minor changes (including new definition
  of primitive transfer to avoid pathological cases)",,,,"math.OA",,"  Several relations on graphs, including primitive equivalence, explosion
equivalence and strong shift equivalence, are examined and shown to preserve
either the graph groupoid, a construction of Kumjian, Pask, Raeburn, and
Renault, or the groupoid of a pointed version of the graph. Thus these
relations preserve either the isomorphism class or the Morita equivalence class
of the graph C*-algebra, as defined by Kumjian, Pask, and Raeburn.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 21:57:20 GMT""},{""version"":""v2"",""created"":""Wed, 3 Feb 1999 21:04:10 GMT""}]","2007-05-23"
"math/9810101","Viktor Ginzburg","Viktor L. Ginzburg, Victor L. Guillemin, and Yael Karshon","The relation between compact and non-compact equivariant cobordisms","Corrections to the proof of the main theorem and the statement of
  Theorem 4.3; AMS-LaTeX, 14 pages. Proceedings of the International Workshop
  on Topology, M. Farber, W. Lueck, and S. Weinberger (Editors); Publ. AMS,
  Contemporary Math. Series (to appear)",,,,"math.DG math.AT math.SG",,"  We show that the theory of stable complex $G$-cobordisms, for a torus $G$, is
embedded into the theory of stable complex $G$-cobordisms of not necessarily
compact manifolds equipped with proper abstract moment maps. Thus the
introduction of such non-compact cobordisms in the stable complex $G$-cobordism
theory does not lead to new relations.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 22:11:57 GMT""},{""version"":""v2"",""created"":""Sat, 5 Dec 1998 00:15:41 GMT""}]","2007-05-23"
"math/9810102","Stefan Kebekus","Stefan Kebekus, Thomas Peternell, Andrew J. Sommese and Jaroslaw
  Wisniewski","Projective Contact Manifolds","LaTeX 2e, revised version",,,,"math.AG",,"  We prove that a projective contact manifold X with second Betti number at
least 2 whose canonical bundle K_X is not nef, is always the projectivised
tangent bundle P(T_Y) of a projective manifold Y. It is expected that the
canonical bundle of a projective contact manifold is never nef; we prove this
unless possibly K_X^2 = 0 and K_X is not numerically trivial. Moreover we study
more generally nef subsheaves of rank 1 in the cotangent bundle which are
proportional to the canonical bundle.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 09:10:33 GMT""},{""version"":""v2"",""created"":""Mon, 27 Sep 1999 08:07:38 GMT""}]","2007-05-23"
"math/9810103","Hirschowitz","Ph. Ellia (Ferrara), A. Hirschowitz (Nice), L. Manivel(Grenoble)","Le probleme de Brill-Noether pour les fibre's de Steiner et application
  aux courbes gauches","22 pages, Latex, in French",,,,"math.AG",,"  A Steiner bundle over the projective 3-space is the kernel in a trivial
bundle of a morphism defined by a matrix of linear forms. We produce various
Steiner bundles E of rank n such that E(1) has n-1 sections, the dependency
locus of which is a smooth curve.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 13:05:53 GMT""}]","2007-05-23"
"nucl-ex/9810010","Anders Gardestig","R. Wurzinger, O. Bing, M. Boivin, P. Courtat, G. Faldt, R.
  Gacougnolle, A. Gardestig, F. Hibou, Y. Le Bornec, J.M. Martin, F. Plouin, B.
  Tatischeff, C. Wilkin, N. Willis, J. Yonnet, A. Zghiche","Study of the ABC Enhancement in the d d -> alpha X reaction","LaTeX2e, 10 pages, 3 eps figures, submitted to Physics Letters B","Phys.Lett.B445:423-427,1999","10.1016/S0370-2693(98)01464-6","TSL/ISV-98-0197","nucl-ex nucl-th",,"  The polarized d d -> alpha X reaction at beam energies close to the eta
threshold shows very strong structure in the missing mass corresponding to the
ABC enhancement. The deuteron tensor analysing power A_yy, and the slope of the
vector analysing power A_y with respect to angle, have been measured for this
reaction around the forward direction. Both signals are small, and their
variations with the alpha-particle momentum are in broad agreement with a
theoretical model in which each pair of nucleons in the projectile and target
deuterons undergoes pion production through the NN -> d pi reaction.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 10:38:40 GMT""}]","2008-11-26"
"nucl-ex/9810011","Thomas Baumann","T. Baumann, H. Geissel, H. Lenske, K. Markenroth, W. Schwab, M. H.
  Smedberg, T. Aumann, L. Axelsson, U. Bergmann, M. J. G. Borge, D.
  Cortina-Gil, L. Fraile, M. Hellstroem, M. Ivanov, N. Iwasa, R. Janik, B.
  Jonson, G. Muenzenberg, F. Nickel, T. Nilsson, A. Ozawa, A. Richter, K.
  Riisager, C. Scheidenberger, G. Schrieder, H. Simon, B. Sitar, P. Strmen, K.
  Suemmerer, T. Suzuki, M. Winkler, H. Wollnik and M. V. Zhukov","Longitudinal momentum distributions of {16,18}C fragments after
  one-neutron removal from {17,19}C","10 pages, 5 figures; uses elsart style; corrected list of authors;
  will be published in Phys. Lett. B","Phys.Lett. B439 (1998) 256-261","10.1016/S0370-2693(98)01097-1","GSI-Preprint-98-51","nucl-ex",,"  The fragment separator FRS at GSI was used as an energy-loss spectrometer to
measure the longitudinal momentum distributions of {16,18}C fragments after
one-neutron removal reactions in {17,19}C impinging on a carbon target at about
910 MeV/u. The distributions in the projectile frames are characterized by a
FWHM of 141+-6 MeV/c for {16}C and 69+-3 MeV/c for {18}C. The results are
compared with experimental data obtained at lower energies and discussed within
existing theoretical models.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 13:18:49 GMT""},{""version"":""v2"",""created"":""Wed, 21 Oct 1998 09:50:55 GMT""}]","2009-10-31"
"nucl-th/9810052","Joseph Kapusta","V. L. Eletsky and J. I. Kapusta","Dispersion Relation of the Rho-Meson at Finite Temperature and Density","7 pages, 5 figures","Phys. Rev. C 59, 2757 (1999)","10.1103/PhysRevC.59.2757","NUC-MINN-98/9-T and FAU-TP3-98/16","nucl-th",,"  The rho-meson mass shift, width broadening, and spectral density at finite
temperature and nucleon density are estimated using a general formula which
relates the self-energy to the real and imaginary parts of the forward
scattering amplitude on the constituents of the medium. We saturate the
scattering amplitude at low energies with resonances, while at high energies a
Regge approach is taken in combination with vector meson dominance;
experimental data is used wherever possible. The main result is that the
rho-meson becomes increasingly broad with increasing nucleon density. The
spectral density is suppressed in the resonance region 600 < M < 900 MeV and
enhanced in the subresonance region M < 600 MeV.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 20:42:13 GMT""}]","2009-10-31"
"nucl-th/9810053","Gianni Salme' -Sanita'","E. Pace (Rome University), G. Salme` (INFN-Rome) and S. Simula
  (INFN-Rome)","Investigation of N-N* Electromagnetic Form Factors within a Front-Form
  CQM","5 pages. Proceedings of XVI European Few-Body Conference on ""Few-Body
  Problems in Physics"", Autrans, June 1998. To appear in {\bf Few-Body
  Systems}, Suppl","Few Body Syst.Suppl.10:407-410,1999",,"INFN-1229/98","nucl-th",,"  The helicity amplitudes for the transitions $N-S_{11}$ and $N-S_{31}$ are
presented. The amplitudes have been obtained within our front-form CQM model,
based on hadron eigenstates of a relativistic mass operator and CQ current with
Dirac and Pauli form factors.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 11:24:05 GMT""}]","2011-04-15"
"nucl-th/9810054","Gianni Salme' -Sanita'","F.M. Lev (JINR-Dubna), E. Pace (Rome University), G. Salme`
  (INFN-Rome)","A Poincar\'e Covariant Current Operator for Low and High Energy
  Phenomena","5 pages. Proceedings of XVI European Few-Body Conference on ""Few-Body
  Problems in Physics"", Autrans, June 1998. To appear in {\bf Few-Body
  Systems}, Suppl","Few Body Syst.Suppl.10:135-138,1999",,"INFN-1230/98","nucl-th",,"  Within front-form dynamics and in the Breit frame where initial and final
three-momenta of the system are directed along the $z$ axis, Poincar\'e
covariance constrains the current operator only through kinematical rotations
around the $z$ axis. Therefore, in this frame the current can be taken in the
one-body form. Applications to deep inelastic structure functions in an exactly
solvable model and to the deuteron magnetic form factor are presented.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 11:24:58 GMT""}]","2011-04-15"
"physics/9810028","Boris Dubetsky","B. Dubetsky and P. R. Berman","Matter wave interference using two-level atoms and resonant optical
  fields","14 pages, 3 figures",,"10.1103/PhysRevA.59.2269",,"physics.atom-ph",,"  A theory of matter wave interference is developed in which resonant optical
fields interact with two-level atoms. When recoil effects are included, spatial
modulation of the atomic density can occur for times that are greater than or
comparable with the inverse recoil frequency. In this regime, the atoms exhibit
matter-wave interference. Two specific atom field geometries are considered. In
the first, atoms characterized by a homogeneous velocity distribution are
subjected to a single radiation pulse. The pulse excites the atoms which then
decay back to the lower state. The spatial modulation of the total atomic
density is calculated as a function of $t$, where $t$ is the time following the
pulse. In contrast to the normal Talbot effect, the spatially modulated density
is not a periodic function of $ t,$ owing to spontaneous emission; however,
after a sufficiently long time, the contribution from spontaneous processes no
longer plays a role and the Talbot periodicity is restored. In the second
atom-field geometry, there are two pulses separated by an interval $T$. The
atomic velocity distribution in this case is assumed to be inhomogeneously
broadened. In contrast to the normal Talbot-Lau effect, the spatially modulated
density is not a periodic function of $T$, owing to spontaneous emission;
however, for sufficiently long time, the contribution from spontaneous
processes no longer plays a role and the Talbot periodicity is restored. The
structure of the spatially modulated density is studied, and is found to mirror
the atomic density following the first pulse. The spatially modulated atomic
density serves as an indirect probe of the distribution of spontaneously
emitted radiation.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 19:34:43 GMT""}]","2009-10-31"
"physics/9810029","Ming-hong G. Wu","Minghong G. Wu and Michael W. Deem (UCLA Chem. Engr)","Efficient Monte Carlo Methods for Cyclic Peptides","LaTeX source, 10 EPS figures, to appear in Molecular Physics",,"10.1080/002689799163659",,"physics.bio-ph cond-mat.stat-mech physics.comp-ph",,"  We present a new, biased Monte Carlo scheme for simulating complex, cyclic
peptides. Backbone atoms are equilibrated with a biased rebridging scheme, and
side-chain atoms are equilibrated with a look-ahead configurational bias Monte
Carlo. Parallel tempering is shown to be an important ingredient in the
construction of an efficient approach.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 19:59:56 GMT""},{""version"":""v2"",""created"":""Thu, 8 Apr 1999 17:59:06 GMT""},{""version"":""v3"",""created"":""Fri, 9 Apr 1999 16:04:33 GMT""}]","2009-10-31"
"physics/9810030","Mario Encinosa","Mario Encinosa (Florida A & M University)","Guided random walk calculation of energies and $<\sq {r^2} >$ values of
  the $^1\Sigma_g$ state of H_2 in a magnetic field","10 pages, no figures",,"10.1103/PhysRevA.59.2521",,"physics.atm-clus physics.atom-ph",,"  Energies and spatial observables for the $^1\Sigma_g$ state of the hydrogen
molecule in magnetic fields parallel to the proton-proton axis are calculated
with a guided random walk Feynman-Kac algorithm. We demonstrate that the
accuracy of the results and the simplicity of the method may prove it a viable
alternative to large basis set expansions for small molecules in applied
fields.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 20:17:58 GMT""}]","2009-10-31"
"physics/9810031","David Wales","David J. Wales","Rearrangements of Water Dimer and Hexamer","26 pages, 12 figures. Paper prepared in October 1996 for ""Theory of
  Atomic and Molecular Physics"" edited by Julius Jelliek, which has still not
  appeared!",,"10.1007/978-3-642-58389-6_4",,"physics.atm-clus physics.chem-ph",,"  Rearrangement mechanisms of the water dimer and the cage form of the water
hexamer are examined theoretically with particular reference to tunneling
splittings and spectroscopy. The three lowest barrier rearrangements of the
water dimer are characterized by {\it ab initio} methods and compared with the
results of previous constrained calculations. The acceptor-tunneling pathway
does not proceed via a direct rotation around the $C_2$ axis of the acceptor,
but rather via relatively asynchronous rotation of the donor about the hydrogen
bond and an associated `wag' of the acceptor. Rearrangements between different
cage isomers of the water hexamer are studied for two empirical potentials. The
experimentally observed triplet splittings may be the result of flip and
bifurcation rearrangements of the two single-donor, single-acceptor monomers.
Two-dimensional quantum calculations of the nuclear dynamics suggest that
delocalization over more than one cage isomer may occur, especially in excited
states.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 10:24:24 GMT""}]","2015-06-26"
"physics/9810032","David Wales","David J. Wales","Rearrangements and Tunneling Splittings in Small Water Clusters","15 pages, 5 figures. This paper was prepared in August 1997 for the
  proceedings volume of the NATO-ASI meeting on ""Recent Theoretical and
  Experimental Advances in Hydrogen Bonded Clusters"" edited by Sotiris
  Xantheas, which has so far not appeared",,"10.1063/1.480183",,"physics.atm-clus physics.chem-ph",,"  Recent far-infrared vibration-rotation tunneling (FIR-VRT) experiments pose
new challenges to theory because the interpretation and prediction of such
spectra requires a detailed understanding of the potential energy surface (PES)
away from minima. In particular we need a global description of the PES in
terms of a complete reaction graph. Hence all the transition states and
associated mechanisms which might give rise to observable tunneling splittings
must be characterized. It may be possible to guess the detailed permutations of
atoms from the transition state alone, but experience suggests this is unwise.
  In this contribution a brief overview of the issues involved in treating the
large amplitude motions of such systems will be given, with references to more
detailed discussions and some specific examples. In particular we will consider
the effective molecular symmetry group, the classification of rearrangement
mechanisms, the location of minima and transition states and the calculation of
reaction pathways. The application of these theories to small water clusters
ranging from water dimer to water hexamer will then be considered. More details
can be found in recent reviews.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 10:47:02 GMT""}]","2009-10-31"
"quant-ph/9810049","Siergiej Leble","S. B. Leble, N.V. Ustinov","On exact solutions of Maxwell-Bloch system for two-level medium with
  degeneracy","LATEX, 11 pages","Chaos Solitons Fractals 11 (2000) 1763-1772",,,"quant-ph",,"  Maxwell-Bloch system describing the resonant propagation of electromagnetic
pulses in both two-level media with degeneracy in angle moment projection and
three-level media with equal oscillator forces is considered. The inhomogeneous
broadening of energy levels is accounted. Binary Darboux Transformation
generating the solutions of the system is constructed. Pulses corresponding to
the transition between levels with largest population difference are shown to
be stable. The solution describing the propargation of pulses in the medium
exited by the periodic wave is obtained. The hierarchy of infinitesimal
symmetries is obtained by means of Darboux transformation.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:34:27 GMT""}]","2007-05-23"
"quant-ph/9810050","Ruediger Schack","R. Schack (Royal Holloway, University of London), C. M. Caves
  (University of New Mexico)","Shifts on a finite qubit string: A class of quantum baker's maps","6 pages, LaTeX, contribution to Dagstuhl seminar on quantum
  algorithms","Appl.Algebra Engrg.Comm.Comput.10:305-310,2000",,,"quant-ph",,"  We present two complementary ways in which Saraceno's symmetric version of
the quantum baker's map can be written as a shift map on a string of quantum
bits. One of these representations leads naturally to a family of quantizations
of the baker's map.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 20:46:40 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jul 2000 12:06:51 GMT""}]","2011-04-15"
"quant-ph/9810051","Anil K. Patnaik","Anil K. Patnaik and G. S. Agarwal (Physical Research Laboratory,
  Ahmedabad, India)","Cavity-induced coherence effects in spontaneous emission from
  pre-Selection of polarization","6 pages in REVTEX multicolumn format, 5 figures, new references
  added, journal reference added","Physical Review A, Vol. 59, p. 3015 (1999)","10.1103/PhysRevA.59.3015",,"quant-ph",,"  Spontaneous emission can create coherences in a multilevel atom having close
lying levels, subject to the condition that the atomic dipole matrix elements
are non-orthogonal. This condition is rarely met in atomic systems. We report
the possibility of bypassing this condition and thereby creating coherences by
letting the atom with orthogonal dipoles to interact with the vacuum of a
pre-selected polarized cavity mode rather than the free space vacuum. We derive
a master equation for the reduced density operator of a model four level atomic
system, and obtain its analytical solution to describe the interference
effects. We report the quantum beat structure in the populations.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:35:14 GMT""},{""version"":""v2"",""created"":""Sun, 28 Mar 1999 07:20:32 GMT""}]","2009-10-31"
"quant-ph/9810052","Sunish Menon","G. S. Agarwal","Mesoscopic superpositions of states - approach to classicality and
  diagonalization in coherent state basis","10 pages, two figure pages, RevTeX",,"10.1103/PhysRevA.59.3071",,"quant-ph",,"  I consider the interaction of a superposition of mesoscopic coherent states
and its approach to a mixed state as a result of a suitably controlled
environment. I show how the presence of a gain medium in a cavity can lead to
diagonalization in coherent state basis in contrast to the standard model of
decoherence. I further show how the new model of decoherence can lead to the
generation of $s$ ordered quasi distributions.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 12:39:08 GMT""}]","2009-10-31"
"quant-ph/9810053","Erasmo Recami","J. Jakiel, V.S. Olkhovsky and Erasmo Recami","On Superluminal motions in photon and particle tunnelings","standard LaTeX file; accepted for publication in Phys. Lett. A","Phys.Lett. A248 (1998) 156-160","10.1016/S0375-9601(98)00626-4",,"quant-ph",,"  It is shown that the Hartman-Fletcher effect is valid for all the known
expressions of the mean tunnelling time, in various nonrelativistic approaches,
for the case of finite width barriers without absorption. Then, we show that
the same effect is not valid for the tunnelling time mean-square fluctuations.
On the basis of the Hartman-Fletcher effect and the known analogy between
photon and nonrelativistic-particle tunnelling, one can explain the
Superluminal group-velocities observed in various photon tunnelling experiments
(without violation of the so-called ""Einstein causality"").
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 15:33:35 GMT""}]","2009-10-31"
