"adap-org/9810002","Gafiychuk","I.A.Lubshevsky, V.V.Gafiychuk, M.G.Keijan","Nonlinear theory of autooscillations of quasiplanar interface during
  directional solidification","17 pages, 10 figures, REVTEX",,,,"adap-org nlin.AO",,"  Within the framework of the frozen temperature approximation we develop a
strongly-nonlinear theory of one-dimensional pattern formation during
directional solidification of binary mixture under nonequilibrium segregation.
In the case of small partition coefficient the full problem is reduced to the
system of two ordinary differential equations describing the interface motion
in terms of its velocity and position coordinate. The type of the oscillatory
instability bifurcation is studied in detail in different limits. For the
subcrytical bifurcaton relaxation interface oscillations are analyzed
analytically and numerically. We show that these oscillation exibit a number of
anomalous properies. In particular, such oscillations can be weakly- or
strongly-dissipative depending on the physical parameters and the amplitude of
the strongly-dissipative oscillations is determined not only by the form of the
corresponding nullcline but also by the behavior of the system for small values
of the interface velocity. Characteristic parameters of the superlattice
occuring in the growing crystal are estimated.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:22:47 GMT""}]","2007-05-23"
"hep-th/9810041","Philip Mark Cowdall","P.M.Cowdall (Cambridge University)","On Gauged Maximal Supergravity In Six Dimensions","26 pages, LaTeX, no figures. Significant simplifications of final
  results have been made. Also an appendix concerning the limit of D=5 N=4
  SU(2)xU(1) gauged supergravity, in which the U(1) coupling constant is turned
  off, has been added. Minor typos have been corrected. Complete bosonic and
  fermionic Lagrangians and susy transformation laws have been added as
  appendices","JHEP 9906 (1999) 018","10.1088/1126-6708/1999/06/018","DAMTP-1998-137","hep-th",,"  The maximal SO(5) gauged D=7 supergravity is dimensionally reduced to six
dimensions yielding a new SO(5) gauged D=6 model. It is shown that, unlike in
D=7, the SO(5) gauge coupling constant can be taken to zero to yield the
maximally extended supergravity in six dimensions. It is also shown that the
limit of D=5 N=4 SU(2)xU(1) gauged supergravity in which the U(1) coupling
constant is turned off can be obtained.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 14:24:20 GMT""},{""version"":""v2"",""created"":""Thu, 3 Dec 1998 12:48:44 GMT""},{""version"":""v3"",""created"":""Tue, 15 Dec 1998 12:40:36 GMT""},{""version"":""v4"",""created"":""Fri, 18 Jun 1999 10:08:20 GMT""}]","2009-10-31"
"math/9810023","John McCuan","John McCuan and Lafe Spietz","Rotations of the three-sphere and symmetry of the Clifford torus",,,,"MSRI Preprint 1998-052","math.MG",,"  We describe decomposition formulas for rotations of $R^3$ and $R^4$ that have
special properties with respect to stereographic projection. We use the lower
dimensional decomposition to analyze stereographic projections of great circles
in $S^2 \subset R^3$. This analysis provides a pattern for our analysis of
stereographic projections of the Clifford torus ${\mathcal C}\subset S^3
\subset R^4$. We use the higher dimensional decomposition to prove a symmetry
assertion for stereographic projections of ${\mathcal C}$ which we believe we
are the first to observe and which can be used to characterize the Clifford
torus among embedded minimal tori in $S^3$---though this last assertion goes
beyond the scope of this paper. An effort is made to intuitively motivate all
necessary concepts including rotation, stereographic projection, and symmetry.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 23:17:00 GMT""}]","2007-05-23"
"math/9810024","William Geller","Ethan M. Coven, William Geller, Sylvia Silberger, and William P.
  Thurston","The Symbolic Dynamics of Tiling the Integers",,,,"MSRI Preprint 1998-049","math.CO",,"  A finite collection $P$ of finite sets tiles the integers iff the integers
can be expressed as a disjoint union of translates of members of $P$. We
associate with such a tiling a doubly infinite sequence with entries from $P$.
The set of all such sequences is a sofic system, called a tiling system. We
show that, up to powers of the shift, every shift of finite type can be
realized as a tiling system.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:15:33 GMT""}]","2007-05-23"
"math/9810025","Frank Sottile","Nantel Bergeron and Frank Sottile","A Pieri-type formula for isotropic flag manifolds",,"Trans. Amer. Math. Soc., 354 No. 7, (2002), 2659-2705","10.1090/S0002-9947-02-02946-X","MSRI Preprint 1998-050","math.CO",,"  We give the formula for multiplying a Schubert class on an odd orthogonal or
symplectic flag manifold by a special Schubert class pulled back from a
Grassmannian of maximal isotropic subspaces. This is also the formula for
multiplying a type $B$ (respectively, type $C$) Schubert polynomial by the
Schur $P$-polynomial $p_m$ (respectively, the Schur $Q$-polynomial $q_m$).
Geometric constructions and intermediate results allow us to ultimately deduce
this from formulas for the classical flag manifold. These intermediate results
are concerned with the Bruhat order of the Coxeter group ${\mathcal B}_\infty$,
identities of the structure constants for the Schubert basis of cohomology, and
intersections of Schubert varieties. We show these identities follow from the
Pieri-type formula, except some `hidden symmetries' of the structure constants.
Our analysis leads to a new partial order on the Coxeter group ${\mathcal
B}_\infty$ and formulas for many of these structure constants.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:24:11 GMT""}]","2016-11-08"
"math/9810026","Joan Birman","Joan S. Birman (Columbia University), Nancy C. Wrinkle (Columbia
  University)","Holonomic and Legendrian parametrizations of knots","Final version, as it appears in J.Knot Theory and its Ramifications,
  9 No. 3 (2000), p. 293-309","J.Knot Theory and its Ramifications, 9 No. 3 (2000), p. 293-309",,,"math.GT",,"  Let $f:S^1\to R$ be a generic map. We may use $f$ to define a new map
$\tilde{f}:S^1\to R^3$ by $\tilde{f}(t) = (-f(t),f'(t),-f''(t))$, and if $f$ is
an embedding then the image of $\tilde{f}$ will be a knot. Knots defined by
such parametrizations are called holonomic knots. They were introduced in 1997
by Vassiliev, who proved that every knot type can be represented by a holonomic
knot. Our main result is that any two holonomic knots which represent the same
knot type are isotopic in the space of holonomic knots. A second result emerges
through the techniques used to prove the main result: strong and unexpected
connections between the topology of knots and the algebraic solution to the
conjugacy problem in the braid groups, via the work of Garside. We also discuss
related parametrizations of Legendrian knots, and uncover connections between
the concepts of holonomic and Legendrian parametrizations of knots.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 20:33:08 GMT""},{""version"":""v2"",""created"":""Wed, 16 Dec 1998 18:14:43 GMT""},{""version"":""v3"",""created"":""Fri, 21 May 1999 21:43:40 GMT""},{""version"":""v4"",""created"":""Wed, 17 May 2000 16:45:35 GMT""}]","2007-05-23"
"math/9810027","Roger Ellman","Roger Ellman (The-Origin Foundation, Inc)","A Concise and Direct Proof of ""Fermat's Last Theorem""","4 pages. Changes are correction of typographical errors and clearer
  presentation of latter part. http://www.The-Origin.org",,,,"math.GM",,"  The recently developed proof of Fermat's Last Theorem is very lengthy and
difficult, so much so as to be beyond all but a small body of specialists.
While certainly of value in the developments that resulted, that proof could
not be, nor was offered as being, possibly the proof Fermat had in mind. The
present proof being brief, direct and concise is a candidate for being what
Fermat had in mind. It is also completely accessible to any one trained in
common algebra. That critical suggestions offered by significant mathematics
authorities have been unable to invalidate this concise and direct proof would
tend to be major confirmation that: The proof stands, valid and not validly
challenged.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 19:48:44 GMT""},{""version"":""v2"",""created"":""Fri, 6 Nov 1998 02:47:03 GMT""},{""version"":""v3"",""created"":""Sun, 8 Nov 1998 21:19:10 GMT""},{""version"":""v4"",""created"":""Sun, 22 Nov 1998 16:41:03 GMT""},{""version"":""v5"",""created"":""Thu, 2 Sep 1999 22:03:58 GMT""}]","2007-05-23"
"math/9810028","Dmitri Nikshych","D. Nikshych, L. Vainerman","A characterization of depth 2 subfactors of II_1 factors","Latex, 26 pages, more precise statements of Theorems 4.17 and 5.7
  given, several minor errors corrected","J. Func. Analysis, 171 (2000), no.2, 278-307",,,"math.QA math.OA",,"  We characterize finite index depth 2 inclusions of type II_1 factors in terms
of actions of weak Kac algebras and weak C*-Hopf algebras. If N\subset M
\subset M_1 \subset M_2 \subset ... is the Jones tower constructed from such an
inclusion N\subset M, then B=M^\prime \cap M_2 has a natural structure of a
weak C*-Hopf algebra and there is a minimal action of B on M_1 such that M is
the fixed point subalgebra of M_1, and M_2 is isomorphic to the crossed product
of M_1 and B. This extends the well-known results for irreducible depth 2
inclusions.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 03:04:57 GMT""},{""version"":""v2"",""created"":""Wed, 4 Nov 1998 01:10:05 GMT""}]","2007-05-23"
"math/9810029","Michael Farber","Michael Farber and Vladimir Turaev","Absolute torsion","13 pages",,,,"math.DG math.AT",,"  In this paper we use the results of our previous work in order to compute the
phase of the torsion of an Euler structure in terms of its characteristic
class. Also, we introduce here a new notion of an absolute torsion, which does
not require a choice of any additional topological information (like an Euler
structure). We prove that in the case of closed 3-manifolds obtained by
0-framed surgery on a classical knot the absolute torsion is equivalent to the
Conway polynomial. Hence the absolute torsion can be viewed as a
high-dimensional generalization of the Conway polynomial.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 10:47:38 GMT""}]","2007-05-23"
"math/9810030","Michael Farber","Michael Farber","Massey products and critical points","5 pages",,,,"math.DG math.AT math.SG",,"  In this note I use cup-products and higher Massey products to find
topological lower bounds on the number of geometrically distinct critical
points of any closed 1-form in a given cohomology class.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 10:53:45 GMT""}]","2007-05-23"
"math/9810031","Robert Lazarsfeld","Lawrence Ein, Bo Ilic and Robert Lazarsfeld","A Remark on Projective Embeddings of Varieties with Non-Negative
  Cotangent Bundles",,,,,"math.AG",,"  We prove an elementary but somewhat unexpected result about projective
embeddings of smooth varieties X whose cotangent bundles are numerically
effective. Specifically, we show that the degree of X in any projective
embedding must grow (almost) exponentially in the dimension of X.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:52:30 GMT""}]","2007-05-23"
"nucl-ex/9810004","Kees de Jager","M. Bouwhuis, R. Alarcon, T. Botto, J.F.J. van den Brand, H.J. Bulten,
  S. Dolfini, R. Ent, M. Ferro-Luzzi, D.W. Higinbotham, C.W. de Jager, J. Lang,
  D.J.J. de Lange, N. Papadakis, I. Passchier, H.R. Poolman, E. Six, J.J.M.
  Steijger, N. Vodinas, H. de Vries and Z.-L. Zhou","Measurement of T20 in Elastic Electron-Deuteron Scattering",,"Phys.Rev.Lett.82:3755-3758,1999","10.1103/PhysRevLett.82.3755",,"nucl-ex",,"  We report on a measurement of the tensor-analyzing power T20 in elastic
electron-deuteron scattering in the range of four-momentum transfer from 1.8 to
3.2 fm-1. Electrons of 704 MeV were scattered from a polarized deuterium
internal target. The tensor polarization of the deuterium nuclei was determined
with an ion-extraction system, allowing an absolute measurement of T20. The
data are described well by a non-relativistic calculation that includes the
effects of meson-exchange currents.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:39:31 GMT""}]","2014-11-18"
"nucl-th/9810013","Ron Workman","R.L. Workman","The E2/M1 Ratio, a Status Report","Short overview of the E2/M1 problem given at the Baryons '98
  Conference, Bonn, Sept. 22-26 (1998). 6 pages of text",,,,"nucl-th",,"  Recent determinations of the E2/M1 ratio are reviewed. Many aspects of these
studies have been questioned. Here we focus on the selection of a database,
methods used in the extraction of this ratio, and interpretation(s) of the
results.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:10:53 GMT""}]","2007-05-23"
"nucl-th/9810014","Angels Ramos","A. Ramos (Univ. of Barcelona) and E. Oset (Univ. of Valencia)","KbarN interaction and Kaons in the nuclear medium","14 pages, 6 figures, talk presented at ""Mesons and Light Nuclei"",
  Pruhonice (Prague), Aug.31-Sep.4 (1998), to appear in the proceedings",,,,"nucl-th",,"  The s-wave meson-nucleon interaction in the S=-1 sector is studied by means
of a coupled-channel Lippmann Schwinger equation, using the lowest order chiral
Lagrangian and a cut off to regularize the loop integrals. The position and
width of the Lambda(1405) resonance and the K^- p scattering cross sections at
low energies are well reproduced. The inclusion of the eta Lambda, eta Sigma^0
channels in the coupled system is found very important and allows a solution in
terms of only the lowest order Lagrangian. The model is applied to calculate
the in-medium K^- self-energy to which we add a small p-wave piece resulting
from the coupling to hyperon particle-nucleon hole excitations. The K^- feels
an attraction of about -100 MeV at normal nuclear density. The Lambda(1405)
resonance shifts to energies above the $K^-p$ threshold and ends up dissolving
as density increases. It remains to be seen how these effects persist when the
dressing of the Kbar and the pi mesons is incorporated self-consistently in the
calculation.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:41:13 GMT""}]","2007-05-23"
"nucl-th/9810015","Ulf-G. Meissner","Ulf-G. Mei{\ss}ner","Effective field theory approaches to pion production in proton-proton
  collisions","12 pp, 5 figures, plenary talk, 8th International Conference on the
  Structure of Baryons (Baryons' 98), Bonn, Germany, Sept. 22-26, 1998, to
  appear in the proceedings",,,"FZJ-IKP(TH)-1998-25","nucl-th hep-ph",,"  I critically review the status of computations of threshold pion production
in proton-proton collisions in the framework of effective field theory
approaches or variants thereof. I also present the results of a novel
diagrammatic scheme.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 20:35:50 GMT""}]","2007-05-23"
"nucl-th/9810016","Kazuo Tsushima","K. Tsushima (1), D.H. Lu (1), A.W. Thomas (1), K. Saito (2) and R.H.
  Landau (3) ((1) CSSM and The University of Adelaide, Australia (2) Tohoku
  College of Pharmacy, Sendai, Japan (3) Oregon State University, USA)","Charmed Mesic Nuclei: Bound D and $\bar{D}$ states with ^{208}Pb","RevTex, 14 pages, 3 Postscript figures, version to appear in Phys.
  Rev. C, title, abstract, text, references are modified","Phys.Rev.C59:2824-2828,1999","10.1103/PhysRevC.59.2824","ADP-98-48/T317, OSUNT98-13","nucl-th hep-ph nucl-ex",,"  We show that the D^- meson will form narrow bound states with ^{208}Pb. Mean
field potentials for the D^0, D^0-bar and D^- in ^{208}Pb are calculated
self-consistently using the quark-meson coupling (QMC) model in local density
approximation. The meson-^{208}Pb bound state energies are then calculated by
solving the Klein-Gordon equation with these potentials. The experimental
confirmation and comparison with the D^0-bar and D^0 will provide distinctive
information on the nature of the interaction between the charmed meson and
matter.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 01:48:03 GMT""},{""version"":""v2"",""created"":""Fri, 12 Feb 1999 06:07:57 GMT""}]","2010-02-17"
"nucl-th/9810017","Georg Wagner","Georg Wagner (Institute for Theoretical Physics, University of
  Tuebingen)","Exchange currents in radiative hyperon decays and hyperon charge radii","4 pages, 1 eps figure, LaTeX, uses b98proc.cls, contribution to
  Baryons'98, Bonn, Sept.22-26,1998, proceedings to be published by World
  Scientific",,,,"nucl-th hep-ph",,"  Radiative decays of decuplet hyperons and octet hyperon charge radii are
evaluated in a chiral constituent quark model emphasizing the role of exchange
currents. Exchange currents largely cancel for the M1 decay amplitudes, while
they dominate the E2 amplitude. Due to the pseudoscalar meson cloud the charge
radii of Sigma^- and Xi^- are almost as large as the proton radius, in
agreement with recent experimental results from SELEX. Strangeness suppression
is weakened by exchange currents for several observables.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:01:27 GMT""}]","2007-05-23"
"nucl-th/9810018","Fernando Monti Steffens","F.M.Steffens, K.Tsushima, A.W.Thomas and K.Saito","Spin Dependent Parton Distributions in a Bound Nucleon","10 pages, 4 ps figures. Version to appear in Phys. Lett. B. A
  sentence was added","Phys.Lett.B447:233-239,1999","10.1016/S0370-2693(98)01591-3","ADP-98-65/T332","nucl-th hep-ex hep-ph",,"  The determination of the spin distribution functions for the neutron requires
an understanding of the changes induced by a nuclear medium. We present the
first estimates of the changes induced in the spin-dependent, valence parton
distributions of the proton and neutron bound in $^3$He and $^6$Li. For $^3$He
the result is quite reassuring, in that the off-shell correction to $g_{1n}$ is
very small. On the other hand, in $^6$Li the corrections to the spin
distributions in the bound proton are sufficiently large that they should be
taken into account if one aims for a precision of better than 10%. We provide a
simple parametrization of the off-shell changes in the valence spin
distributions of $^3$He and $^6$Li, which can be used with any conventional
estimate of nuclear binding and Fermi motion corrections.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 15:16:33 GMT""},{""version"":""v2"",""created"":""Wed, 16 Dec 1998 13:18:20 GMT""}]","2010-03-26"
"physics/9810010","Tom-Mike","T. Ostoma and M. Trushyk","Special Relativity Derived from Cellular Automata Theory: The Origin of
  the Universal Speed Limit","46 pages, 2 figures, the original document is in MS Word, and
  available from the authors at: emqg@rogerswave.ca",,,,"physics.gen-ph",,"  A new formulation of Special Relativity is described. It is based on Cellular
Automata theory and on a new theory of inertia called Quantum Inertia. The
universe consists of a huge 3D array of cells given by C(x,y,z), whose numeric
states are updated by every new CA clock period. The numeric state of the cells
depends on the contents of the imediate neigbours and on the mathematical rules
of the cell, with each cell containing the same set of rules. Photon motion on
the CA is represented by information patterns 'shifting' from cell to adjacent
cell at every clock cycle, and this represents the universal speed limit. The
Lorentz Transformations follow directly from this model of light motion. The
concept of mass and inertia is revised to be compatible with the CA model.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 03:35:10 GMT""}]","2007-05-23"
"physics/9810011","Mikhail G. Kozlov","S.G.Porsev, Yu.G.Rakhlina and M.G.Kozlov (Petersburg Nuclear Physics
  Institute)","Calculation of hyperfine structure constants for ytterbium","8 pages, latex, iopart class or ioplppt style, submitted to J. Phys.
  B","J. Phys. B, 32, 1113-20 (1999)","10.1088/0953-4075/32/5/006",,"physics.atom-ph",,"  We calculate energies and hyperfine structure constants A and B for low-lying
levels of $^{173}$Yb. The latter is treated as a two-electron atom. To account
for valence-valence correlations the configuration interaction method is used.
Valence-core correlations are accounted for within the many-body perturbation
theory which is used to construct effective two-electron operators in the
valence space.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:04:28 GMT""}]","2009-10-31"
"physics/9810012","L. V. Puzyrevich","A.P.Potylitsin","Thomson Scattering of Coherent Diffraction Radiation by an Electron
  Bunch","14 pages, LATEX, 6 ps.gz figures, submitted to Phys.Rev.E","Phys.Rev.E60:2272-2279,1999","10.1103/PhysRevE.60.2272",,"physics.acc-ph",,"  The paper considers the process of Thomson scattering of coherent diffraction
radiation (CDR) produced by the preceding bunch of the accelerator on one of
the following bunches. It is shown that the yield of scattered hard photons is
proportional to N$_e^3$, where N$_e$ is the number of electrons per bunch. A
geometry is chosen for the CDR generation and an expression is obtained for the
scattered photon spectrum with regard to the geometry used, that depends in an
explicit form on the bunch size. A technique is proposed for measuring the
bunch length using scattered radiation characteristics.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:08:01 GMT""}]","2016-09-08"
"physics/9810013","Carsten Henkel","Carsten Henkel and Vahid Sandoghdar","Single-molecule spectroscopy near structured dielectrics","to be published in Optics Communications (16 pages, 14 PostScript
  figures, uses LaTeX packages amsfonts, a4, graphicx, multicol)","Optics Comm. 158 (1998) 250-262","10.1016/S0030-4018(98)00519-7",,"physics.optics physics.atom-ph",,"  We present an analytical approach to the calculation of the linewidth and
lineshift of an atom or molecule in the near field of a structured dielectric
surface. For soft surface corrugations with amplitude lambda/50, we find
variations of the linewidth in the ten percent region. More strikingly, the
shift of the molecular resonance can reach several natural linewidths. We
demonstrate that the lateral resolution is of the order of the molecule-surface
distance. We give a semiquantitative explanation of the outcome of our
calculations that is based on simple intuitive models.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:30:29 GMT""}]","2009-10-31"
"quant-ph/9810013","Carlos Cabrillo","C. Cabrillo, J.I. Cirac, P. Garcia-Fernandez, P. Zoller","Creation of entangled states of distant atoms by interference","10 pages, 2 figures",,"10.1103/PhysRevA.59.1025",,"quant-ph",,"  We propose a scheme to create distant entangled atomic states. It is based on
driving two (or more) atoms with a weak laser pulse, so that the probability
that two atoms are excited is negligible. If the subsequent spontaneous
emission is detected, the entangled state is created. We have developed a model
to analyze the fidelity of the resulting state as a function of the dimensions
and location of the detector, and the motional properties of the atoms.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 18:41:16 GMT""}]","2009-10-31"
"quant-ph/9810014","Todd K. Timberlake","T. Timberlake and L. E. Reichl","Changes in Floquet state structure at avoided crossings: delocalization
  and harmonic generation","8 pages with 10 figures submitted to Physical Review A","Phys.Rev.A59:2886-2893,1999","10.1103/PhysRevA.59.2886",,"quant-ph",,"  Avoided crossings are common in the quasienergy spectra of strongly driven
nonlinear quantum wells. In this paper we examine the sinusoidally driven
particle in a square potential well to show that avoided crossings can alter
the structure of Floquet states in this system. Two types of avoided crossings
are identified: on type leads only to temporary changes (as a function of
driving field strength) in Floquet state structure while the second type can
lead to permanent delocalization of the Floquet states. Radiation spectra from
these latter states show significant increase in high harmonic generation as
the system passes through the avoided crossing.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 19:50:38 GMT""}]","2008-12-18"
"quant-ph/9810015","Kurt Jacobs","K. Jacobs (Imperial College, London)","Topics in Quantum Measurement and Quantum Noise","PhD Thesis, 117 pages, 4 figures. Contains an elementary introduction
  to quantum measurement theory, entanglement and non-locality, a simple
  introduction to stochastic calculus, and a detailed introduction to the
  input-output formulation of noise in optical cavities",,,,"quant-ph",,"  In this thesis we consider primarily the dynamics of quantum systems
subjected to continuous observation. In the Schr\""{o}dinger picture the
evolution of a continuously monitored quantum system, referred to as a `quantum
trajectory', may be described by a stochastic equation for the state vector. We
present a method of deriving explicit evolution operators for linear quantum
trajectories, and apply this to a number of physical examples of varying
mathematical complexity.
  In the Heisenberg picture evolution resulting from continuous observation may
be described by quantum Langevin equations. We use this method to examine the
noise spectrum that results from a continuous observation of the position of a
moving mirror, and examine the possibility of detecting the noise resulting
from the quantum back-action of the measurement.
  In addition to the work on continuous measurement theory, we also consider
the problem of reconstructing the state of a quantum system from a set of
measurements. We present a scheme for determining the state of a single cavity
mode from the photon statistics measured both before and after an interaction
with one or two two-level atoms.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 23:50:04 GMT""},{""version"":""v2"",""created"":""Tue, 6 Oct 1998 03:22:21 GMT""}]","2009-09-25"
"quant-ph/9810016","Robert B. Griffiths","Robert B. Griffiths","Consistent Histories and Quantum Delayed Choice","Latex 9 pages, 1 figure. Fundamental Problems in Quantum Theory,
  University of Maryland Baltimore, 1997","Fortsch.Phys.46:741,1998","10.1002/(SICI)1521-3978(199811)46:6/8<741::AID-PROP741>3.0.CO;2-D",,"quant-ph",,"  John Wheeler devised a gedanken experiment in which a piece of apparatus can
be altered just before the arrival of particle, and this ``delayed choice''
can, seemingly, alter the quantum state of the particle at a much earlier time,
long before the choice is made.
  A slightly different gedanken experiment, which exhibits the same conceptual
difficulty, is analyzed using the techniques of consistent history quantum
theory. The idea that the future influences the past disappears when proper
account is taken of the diversity of possible quantum descriptions of the
world, and their mutual compatibility or incompatibility.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 12:28:07 GMT""}]","2015-06-26"
"quant-ph/9810017","Castagnoli Giuseppe","Giuseppe Castagnoli (Information Technology Dept., Elsag Bailey,
  Genova, Italy)","An Inherently Quantum Computation Paradigm: NP-complete=P Under the
  Hypothetical Notion of Continuous Uncomplete von Neumann Measurement","1 figure. From the Quantum Computation and Communication Pathfinder
  Meeting in Helsinki (September 26-28, 1998) - extended version",,,,"quant-ph",,"  The topical quantum computation paradigm is a transposition of the Turing
machine into the quantum framework. Implementations based on this paradigm have
limitations as to the number of: qubits, computation steps, efficient quantum
algorithms (found so far). A new exclusively quantum paradigm (with no
classical counterpart) is propounded, based on the speculative notion of
continuous uncomplete von Neumann measurement. Under such a notion, NP-complete
is equal to P. This can provide a mathematical framework for the search of
implementable paradigms, possibly exploiting particle statistics.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 13:35:57 GMT""}]","2007-05-23"
