"adap-org/9801002","Fernando Fagundes Ferreira","F F Ferreira and J F Fontanari","Probabilistic Analysis of the Number Partitioning Problem","14 pages and 5 figures",,"10.1088/0305-4470/31/15/007",,"adap-org cond-mat.stat-mech math-ph math.MP nlin.AO",,"  Given a sequence of $N$ positive real numbers $\{a_1,a_2,..., a_N \}$, the
number partitioning problem consists of partitioning them into two sets such
that the absolute value of the difference of the sums of $a_j$ over the two
sets is minimized. In the case that the $a_j$'s are statistically independent
random variables uniformly distributed in the unit interval, this NP-complete
problem is equivalent to the problem of finding the ground state of an
infinite-range, random anti-ferromagnetic Ising model. We employ the annealed
approximation to derive analytical lower bounds to the average value of the
difference for the best constrained and unconstrained partitions in the large
$N$ limit. Furthermore, we calculate analytically the fraction of metastable
states, i.e. states that are stable against all single spin flips, and found
that it vanishes like $N^{-3/2}$.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:29:47 GMT""}]","2009-10-30"
"hep-ph/9801298","Daniel Gomez Dumm","D. Gomez Dumm, A. Pich","Long-distance contributions to the K_L --> mu+ mu- decay width","9 pages incl. 1 eps figure, REVTeX. Final version, to appear in Phys.
  Rev. Lett","Phys.Rev.Lett. 80 (1998) 4633-4636","10.1103/PhysRevLett.80.4633","FTUV/98-3, IFIC/98-3","hep-ph",,"  The dispersive two-photon contribution to the K_L --> mu+ mu- decay amplitude
is analyzed, using chiral perturbation theory techniques and large-N_C
considerations. A consistent description of the decays Pi^0 --> e+ e-, Eta -->
mu+ mu- and K_L --> mu+ mu- is obtained. As a byproduct, one predicts Br(Eta
--> e+ e-) = (5.8+-0.2) x 10^-9 and Br(K_L --> e+ e-) = (9.0+-0.4) x 10^-12.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 12:14:25 GMT""},{""version"":""v2"",""created"":""Tue, 21 Apr 1998 15:01:57 GMT""}]","2009-10-31"
"hep-ph/9801299","Juan Garcia-Bellido","Juan Garcia-Bellido (CERN-TH)","Inflation in softly broken Seiberg-Witten models","5 pages, LaTeX with sprocl.sty (included), 1 figure (included with
  epsf). To appear in the Conference Proceedings of COSMO-97",,"10.1142/9789814447263_0044","CERN-TH/98-20","hep-ph astro-ph",,"  In a recent paper we proposed a new model of inflation based on the
soft-breaking of N=2 supersymmetric SU(2) Yang-Mills theory. The advantage of
such a model is the fact that we can write an exact expression for the
effective scalar potential, including perturbative and non-perturbative
effects. We find that the scalar condensate that plays the role of the inflaton
can drive a long period of cosmological expansion in the weak coupling Higgs
region, and end inflation in the strong coupling monopole region, where
reheating takes place. The model predicts the right amount of temperature
anisotropies in the microwave background, a precise spectral tilt, $n=0.91$,
and negligible gravitational wave perturbations.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:22:41 GMT""}]","2016-10-26"
"hep-ph/9801300","Gaby Raedel","A. De Roeck (DESY,CERN), A. Deshpande (Yale), V. W. Hughes (Yale), J.
  Lichtenstadt (Tel Aviv), G. Radel (CERN)","A Study of the Polarized Structure Function g_1^p(x,Q^2) and the
  Polarized Gluon Distribution Delta g(x,Q^2) at HERA","20 pages including 7 figures, references added, discussion on
  systematic errors expanded, version to appear in Eur.Phys.J.C","Eur.Phys.J.C6:121-131,1999","10.1007/s100520050325","DESY 97-249","hep-ph",,"  We present estimates of possible data on spin-dependent asymmetries in
inclusive scattering of high energy polarized electrons by high energy
polarized protons at HERA with their statistical errors and discuss systematic
errors. We show that these data will provide important information on the low-x
behavior of the polarized structure function g_1, and will reduce the
uncertainty in the determination of the first moment of the polarized gluon
distribution Delta g(x,Q^2) obtained from the QCD analysis of g_1 in NLO.
Furthermore, using asymmetries for di-jet events from a polarized HERA would
substantially reduce the uncertainty in the shape of Delta g(x,Q^2). Using the
information on Delta g(x,Q^2) from the di-jet analysis in conjunction with the
NLO QCD analysis of g_1 will provide an accurate determination of Delta
g(x,Q^2) and its first moment.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 15:04:02 GMT""},{""version"":""v2"",""created"":""Mon, 20 Apr 1998 14:08:09 GMT""}]","2011-09-13"
"hep-th/9801085","Ichiro Oda","Ichiro Oda","Matrix Theory from Schild Action","8 pages, LaTex",,,"EDO-EP-18","hep-th",,"  Starting from the Schild action for membrane, we present an alternative
formulation of Matrix Theory. First of all, we construct the Schild action for
general bosonic p-brane which is classically equivalent to the Nambu-Goto
action for p-brane. Next, based on the constraint obtained from the variational
equation for the auxiliary field in the case of $p = 2$ (membrane), we
construct a new matrix model which is closely related to the matrix model of
M-theory as developed by Banks, Fischler, Shenker and Susskind (BFSS). Our
present formulation is a natural extension of the construction of type IIB
matrix model by Yoneya to the case of M-theory.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 19:20:59 GMT""}]","2007-05-23"
"hep-th/9801086","Norberto Granda","L.N.Granda","Topological chiral symmetry breaking in SUSY NJL in curved space-time","Latex file, three figures (not included), to be published in
  Mod.Phys.Lett.A","Mod.Phys.Lett. A13 (1998) 145-152","10.1142/S0217732398000188",,"hep-th",,"  The effective potential in the model introduced by
Buchbinder-Inagaki-Odintsov (BIO) which represents SUSY NJL model non-minimally
coupled with the external gravitational field is found. The topology of the
space is considered to be non-trivial. Chiral symmetry breaking under the
action of external curvature and non-trivial topology is investigated.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 21:07:32 GMT""}]","2009-10-31"
"hep-th/9801087","Daniel J. Waldram","Andre Lukas, Burt Ovrut (University of Pennsylvania), Daniel Waldram
  (Princeton University)","The Ten-dimensional Effective Action of Strongly Coupled Heterotic
  String Theory","18 pages, Latex2e with amsmath, corrected some typos","Nucl.Phys. B540 (1999) 230-246","10.1016/S0550-3213(98)00684-1","UPR-789-T, PUPT-1757","hep-th",,"  We derive the ten-dimensional effective action of the strongly coupled
heterotic string as the low energy limit of M-theory on S^1/Z_2. In contrast to
a conventional dimensional reduction, it is necessary to integrate out
nontrivial heavy modes which arise from the sources located on the orbifold
fixed hyperplanes. This procedure, characteristic of theories with dynamical
boundaries, is illustrated by a simple example. Using this method, we determine
a complete set of R^4, F^2R^2, and F^4 terms and the corresponding Chern-Simons
and Green-Schwarz terms in ten dimensions. As required by anomaly cancelation
and supersymmetry, these terms are found to exactly coincide with their weakly
coupled one-loop counterparts.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 00:16:49 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 1998 09:56:08 GMT""},{""version"":""v3"",""created"":""Tue, 20 Jan 1998 00:29:43 GMT""}]","2009-10-31"
"hep-th/9801088","Max Chaves","M. Chaves and H. Morales","Unification of SU(2)xU(1) Using a Generalized Covariant Derivative and
  U(3)","12 pages, no figures. To be published in Int. J. Mod. Phys. A","Mod.Phys.Lett. A13 (1998) 2021-2034","10.1142/S0217732398002126","UCR-EF-98-3","hep-th",,"  A generalization of the Yang-Mills covariant derivative, that uses both
vector and scalar fields and transforms as a 4-vector contracted with Dirac
matrices, is used to simplify and unify the Glashow-Weinberg-Salam model. Since
SU(3) assigns the wrong hypercharge to the Higgs boson, it is necessary to use
a special representation of U(3) to obtain all the correct quantum numbers. A
surplus gauge scalar boson emerges in the process, but it uncouples from all
other particles.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 01:10:45 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jun 1998 23:42:31 GMT""}]","2009-10-31"
"hep-th/9801090","Hermann Nicolai","Hermann Nicolai (AEI Potsdam)","On M-Theory","16 pages (Latex), contribution to the 31st Ahrenshoop International
  Symposium on the Theory of Elementary Particles, Buckow, Germany, 2-6
  September 1997, and the Discussion Meeting on Black Holes, Bangalore, India,
  8-10 December 1997. Changes in section 4, minor corrections in previous
  sections",,"10.1007/BF02702349","AEI-054","hep-th",,"  This contribution gives a personal view on recent attempts to find a unified
framework for non-perturbative string theories, with special emphasis on the
hidden symmetries of supergravity and their possible role in this endeavor. A
reformulation of $d=11$ supergravity with enlarged tangent space symmetry
SO(1,2) $\times$ SO(16) is discussed from this perspective, as well as an
ansatz to construct yet further versions with SO(1,1) $\times$ SO(16)$^\infty$
and possibly even SO(1,1)$_+$ $\times$ ISO(16)$^\infty$ tangent space symmetry.
It is suggested that upon ``third quantization'', dimensionally reduced maximal
supergravity may have an equally important role to play in this unification as
the dimensionally reduced maximally supersymmetric $SU(\infty)$ Yang Mills
theory.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:08:21 GMT""},{""version"":""v2"",""created"":""Tue, 27 Jan 1998 09:37:53 GMT""}]","2009-10-31"
"hep-th/9801091","Roger Bielawski","Roger Bielawski","Monopoles and the Gibbons-Manton metric","24 pages, AMS-Latex, to appear in Commun. Math. Phys","Commun.Math.Phys. 194 (1998) 297-321","10.1007/s002200050359","MPI 97-107","hep-th",,"  We show that, in the region where monopoles are well separated, the
L^2-metric on the moduli space of n-monopoles is exponentially close to the
T^n-invariant hyperk\""ahler metric proposed by Gibbons and Manton. The proof is
based on a description of the Gibbons-Manton metric as a metric on a certain
moduli space of solutions to Nahm's equations, and on twistor methods. In
particular, we show how the twistor description of monopole metrics determines
the asymptotic metric.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:13:28 GMT""}]","2009-10-31"
"hep-th/9801092","Roger Bielawski","Roger Bielawski","Asymptotic metrics for SU(N)-monopoles with maximal symmetry breaking","26 pages, AMS-Latex; comparison of metrics done differently and in
  greater detail; version submitted","Commun.Math.Phys. 199 (1998) 297-325","10.1007/s002200050503","MPI 97-108","hep-th",,"  We compute the asymptotic metrics for moduli spaces of SU(N) monopoles with
maximal symmetry breaking. These metrics are exponentially close to the exact
monopole metric as soon as, for each simple root, the individual monopoles
corresponding to that root are well separated. We also show that the estimates
can be differentiated term by term in natural coordinates, which is a new
result even for SU(2) monopoles.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:26:40 GMT""},{""version"":""v2"",""created"":""Wed, 18 Mar 1998 18:12:53 GMT""}]","2009-10-31"
"hep-th/9801093","Jan C. Plefka","Jan Plefka and Andrew Waldron (NIKHEF, Amsterdam)","Asymptotic Supergraviton States in Matrix Theory","7 pages, LaTeX, Talk presented at the ``31st International Symposium
  Ahrenshoop on the Theory of Elementary Particles'' Buckow, September 2-6,
  1997",,,"NIKHEF 98-001","hep-th",,"  We study the Matrix theory from a purely canonical viewpoint. In particular,
we identify free particle asymptotic states of the model corresponding to the
11D supergraviton multiplet along with the split of the matrix model
Hamiltonian into a free and an interacting part. Elementary quantum mechanical
perturbation theory then yields an effective potential for these particles as
an expansion in their inverse separation. We discuss how our scheme can be used
to compute the Matrix theory result for the 11D supergraviton S matrix and
briefly comment on non-eikonal and longitudinal momentum exchange processes.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 10:35:07 GMT""}]","2007-05-23"
"hep-th/9801094","Antonio Liguori","M. Gattobigio (INFN, Pisa & Pisa U.), A. Liguori (ISAAS, Trieste), M.
  Mintchev (INFN, Pisa & Pisa U.)","Quantization of the Nonlinear Schrodinger Equation on the Half Line","Revtex file, no figures, 8 pages","Phys.Lett. B428 (1998) 143-148","10.1016/S0370-2693(98)00399-2","IFUP-TH 2/98, SISSA REF 3/98/FM","hep-th nlin.SI solv-int",,"  We establish the second quantized solution of the nonlinear Schrodinger
equation on the half line with a mixed boundary condition. The solution is
based on a new algebraic structure, which we call boundary exchange algebra and
which substitutes, in the presence of boundaries, the familiar
Zamolodchikov-Faddeev algebra.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:06:26 GMT""}]","2009-10-31"
"hep-th/9801095","Riccardo D'Auria","S. Ferrara","BPS black holes, supersymmetry and orbits of exceptional groups","8 pages, LaTeX; Talk given at the Workshop on ``Quantum Aspects of
  Gauge Theories, Supersymmetry and Unification"", Neuch\^atel, Switzerland,
  18--23 September 1997","Fortsch.Phys.47:159-165,1999","10.1002/(SICI)1521-3978(199901)47:1/3<159::AID-PROP159>3.0.CO;2-8","CERN-TH/98-10","hep-th",,"  We report on duality invariant constraints, which allow a classification of
BPS black holes preserving different fractions of supersymmetry. We then relate
this analysis to the orbits of the exceptional groups $E_{6(6)}, E_{7(7)}$,
relevant for black holes in five and four dimensions.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 12:13:06 GMT""}]","2015-06-26"
"hep-th/9801096",,"Izumi Tsutsui, Masaomi Kimura, Hiroyuki Kobayashi","Hopf Term, Fractional Spin and Soliton Operators in the O(3) Nonlinear
  Sigma Model","23 pages, Plain Tex","Nucl.Phys.B527:624-642,1998","10.1016/S0550-3213(98)00389-7",,"hep-th cond-mat",,"  We re-examine three issues, the Hopf term, fractional spin and the soliton
operators, in the 2+1 dimensional O(3) nonlinear sigma model based on the
adjoint orbit parameterization (AOP) introduced earlier. It is shown that the
Hopf Term is well-defined for configurations of any soliton charge $Q$ if we
adopt a time independent boundary condition at spatial infinity. We then
develop the Hamiltonian formulation of the model in the AOP and thereby argue
that the well-known $Q^2$-formula for fractional spin holds only for a
restricted class of configurations. Operators which create states of given
classical configurations of any soliton number in the (physical) Hilbert space
are constructed. Our results clarify some of the points which are crucial for
the above three topological issues and yet have remained obscure in the
literature.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:08:41 GMT""}]","2010-11-19"
"math/9801064","Nathan M. Dunfield","Nathan M. Dunfield","Examples of non-trivial roots of unity at ideal points of hyperbolic
  3-manifolds","12 pages, 1 figure, LaTeX2e. Minor changes, additional remarks, new
  description of 2nd example. To appear in_Topology_","Topology, Vol 38, No. 2, pp 457-465, 1999",,,"math.GT",,"  This paper gives examples of hyperbolic 3-manifolds whose SL(2,C) character
varieties have ideal points whose associated roots of unity are not 1 or -1.
This answers a question of Cooper, Culler, Gillet, Long, and Shalen as to
whether roots of unity other than 1 and -1 occur.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 16:16:33 GMT""},{""version"":""v2"",""created"":""Mon, 27 Apr 1998 12:40:16 GMT""}]","2007-05-23"
"math/9801065","Fedor Malikov","Igor B. Frenkel and Feodor Malikov","Annihilating ideals and tilting functors","Latex 29 pages",,,,"math.QA",,"  We use Kazhdan-Lusztig tensoring to, first, describe annihilating ideals of
highest weight modules over an affine Lie algebra in terms of the corresponding
VOA and, second, to classify tilting functors, an affine analogue of projective
functors known in the case of a simple Lie algebra. For the sake of
completeness, the classification of annihilating ideals is borrowed from our
previous work, q-alg/9711011; the part on tilting functors is new.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:24:22 GMT""}]","2007-05-23"
"math/9801066","Jim Propp","James Propp (MIT)","Generating Random Elements of Finite Distributive Lattices","13 pages","Electronic Journal of Mathematics 4(2) (1997) R15",,,"math.CO",,"  This survey article describes a method for choosing uniformly at random from
any finite set whose objects can be viewed as constituting a distributive
lattice. The method is based on ideas of the author and David Wilson for using
``coupling from the past'' to remove initialization bias from Monte Carlo
randomization. The article describes several applications to specific kinds of
combinatorial objects such as tilings, constrained lattice paths, and
alternating-sign matrices.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:27:52 GMT""}]","2007-05-23"
"math/9801067","Jim Propp","James Propp (Wisconsin) and Richard Stanley (MIT)","Domino tilings with barriers","5 pages (two-column format), 1 figure","J. Combin. Theory Ser. A 87 no.2 347--356 (1999)",,,"math.CO",,"  In this paper, we continue the study of domino-tilings of Aztec diamonds. In
particular, we look at certain ways of placing ``barriers'' in the Aztec
diamond, with the constraint that no domino may cross a barrier. Remarkably,
the number of constrained tilings is independent of the placement of the
barriers. We do not know of a combinatorial explanation of this fact; our proof
uses the Jacobi-Trudi identity.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 18:14:43 GMT""},{""version"":""v2"",""created"":""Wed, 6 Jan 1999 03:45:44 GMT""},{""version"":""v3"",""created"":""Mon, 21 Jun 1999 01:58:13 GMT""}]","2007-05-23"
"math/9801068","Jim Propp","William Jockusch (Wizards of the Coast), James Propp (MIT), Peter Shor
  (AT&T Labs)","Random Domino Tilings and the Arctic Circle Theorem","37 pages of text plus 9 pages of figures (separate). [Note: This is
  not the final draft of this article.]",,,,"math.CO",,"  In this article we study domino tilings of a family of finite regions called
Aztec diamonds. Every such tiling determines a partition of the Aztec diamond
into five sub-regions; in the four outer sub-regions, every tile lines up with
nearby tiles, while in the fifth, central sub-region, differently-oriented
tiles co-exist side by side. We show that when n is sufficiently large, the
shape of the central sub-region becomes arbitrarily close to a perfect circle
of radius n/sqrt(2) for all but a negligible proportion of the tilings. Our
proof uses techniques from the theory of interacting particle systems. In
particular, we prove and make use of a classification of the stationary
behaviors of a totally asymmetric one-dimensional exclusion process in discrete
time.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 18:16:47 GMT""}]","2007-05-23"
"math/9801069","John Quigg","Siegfried Echterhoff, John Quigg","Induced coactions of discrete groups on C*-algebras","26 pages, Latex",,,,"math.OA math.FA",,"  Using the close relationship between coactions of discrete groups and Fell
bundles, we introduce a procedure for inducing a C*-coaction of a quotient
group G/N of a discrete group G to a C*-coaction of G itself on an induced
C*-algebra. We show that induced coactions behave in many respects similarly to
induced actions. In particular, as an analogue of the well known imprimitivity
theorem for induced actions we prove that the crossed products of the original
and the induced coactions are always Morita equivalent. We also obtain
nonabelian analogues of a theorem of Olesen and Pedersen which show that there
is a duality between induced coactions and twisted actions in the sense of
Green. We further investigate amenability of Fell bundles corresponding to
induced coactions.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 20:59:00 GMT""}]","2007-05-23"
"math/9801070","A. Libgober","A.Libgober","Characteristic varieties of algebraic curves","50p. Expanded version. To appear in Proceedings of NATO workshop on
  applications of algebraic Geometry, Elsevier",,,,"math.AG",,"  We study tori attached to the fundamental groups of plane curves with
arbitrary singularities. These tori provide complete information about homology
of finite abelian covers of the plane branched along the curve. We calculate
these tori in terms of certain linear systems determined by the singularities
of the curve. In the case of the complements to a union of lines they can be
calculated from the lattice of the arrangement and are closely related to the
components of the space of Aomoto complexes with prescribed homology.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 22:37:31 GMT""},{""version"":""v2"",""created"":""Thu, 2 Aug 2001 21:50:44 GMT""}]","2007-05-23"
"math/9801071","Joel Hass","Colin Adams, Joel Hass and Peter Scott","Simple Closed Geodesics in Hyperbolic 3-Manifolds","7 pages, to appear in the Bulletin of the London Mathematical Society",,,,"math.GT math.DG",,"  This paper determines which orientable hyperbolic 3-manifolds contain simple
closed geodesics. The Fuchsian group corresponding to the thrice-punctured
sphere generates the only example of a complete non-elementary orientable
hyperbolic 3-manifold that does not contain a simple closed geodesic. We do not
assume that the manifold is geometrically finite or that it has finitely
generated fundamental group.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 00:20:01 GMT""}]","2007-05-23"
"math/9801072","Barry Brent","Barry Brent","Quadratic minima and modular forms","To appear in ""Experimental Mathematics"". 25 pages. Section 5 cuts
  omit ""weakly level 1"" results, since weakly level 1 => level 1 (as pointed
  out to me by Rainer Schulze-Pillot.)","Exp. Math., 7 (1998) 257-274",,,"math.NT",,"  We give upper bounds on the size of the gap between the constant term and the
next non-zero Fourier coefficient of an entire modular form of given weight for
\Gamma_0(2). Numerical evidence indicates that a sharper bound holds for the
weights h \equiv 2 . We derive upper bounds for the minimum positive integer
represented by level two even positive-definite quadratic forms. Our data
suggest that, for certain meromorphic modular forms and p=2,3, the p-order of
the constant term is related to the base-p expansion of the order of the pole
at infinity, and they suggest a connection between divisibility properties of
the Ramanujan tau function and those of the Fourier coefficients of 1/j.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:33:54 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 1998 01:04:43 GMT""},{""version"":""v3"",""created"":""Sun, 1 Mar 1998 00:00:46 GMT""}]","2007-05-23"
"nucl-ex/9801002",,"Anthony J. Baltz, Chellis Chasman, and Sebastian N. White (BNL)","Correlated forward-backward dissociation and neutron spectra as a
  luminosity monitor in heavy ion colliders","16 pages, latex, revtex source, four postscript figures","Nucl.Instrum.Meth.A417:1-8,1998","10.1016/S0168-9002(98)00575-0",,"nucl-ex nucl-th",,"  Detection in zero degree calorimeters of the correlated forward-backward
Coulomb or nuclear dissociation of two colliding nuclei is presented as a
practical luminosity monitor in heavy ion colliders. Complementary predictions
are given for total correlated Coulomb plus nuclear dissociation and for
correlated forward-backward single neutrons from the giant dipole peak.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 20:50:30 GMT""}]","2008-11-26"
"nucl-th/9801018","Hendrik Witala","H. Witala, W. Gloeckle, D. Hueber, J. Golak, H. Kamada","The cross section minima in elastic Nd scattering: a ``smoking gun'' for
  three nucleon force effects","11 pages, 6 figures","Phys.Rev.Lett. 81 (1998) 1183-1186","10.1103/PhysRevLett.81.1183",,"nucl-th",,"  Neutron-deuteron elastic scattering cross sections are calculated at
different energies using modern nucleon-nucleon interactions and the
Tucson-Melbourne three-nucleon force adjusted to the triton binding energy.
Predictions based on NN forces only underestimate nucleon-deuteron data in the
minima at higher energies starting around 60 MeV. Adding the three-nucleon
forces fills up those minima and reduces the discrepancies significantly.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 18:33:04 GMT""}]","2009-10-31"
"nucl-th/9801019","Erich Ormand","W.E. Ormand (Louisiana State University)","Effects of isospin-symmetry violation on tests of the standard model
  using parity-violating electron scattering","12 pages, 2 postscript figures, RevTex. Submitted to Phys. Rev. Lett","Phys.Rev.Lett. 82 (1999) 1101-1104","10.1103/PhysRevLett.82.1101",,"nucl-th",,"  The effects of isospin-symmetry breaking on the observables for
parity-violating electron scattering are investigated within the framework of
the nuclear shell model for 12C, 16O, and 28Si. Contributions due to mixing
with low-lying states as well as admixtures of 1p-1h configurations (via the
radial wave functions) are accounted for. It is found that isospin-mixing can
be important, and the consequences regarding precision tests of the standard
model are addressed.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 23:14:52 GMT""}]","2009-10-31"
"nucl-th/9801020",,"G. Chanfray, J. Delorme and M. Ericson","Chiral Symmetry Restoration and Parity Mixing","Latex, 15 pages. Several references and one figure added. New
  discussion of some points has been included. Treatment of the renormali-
  zation of the nucleon axial coupling constant has been developed","Nucl.Phys. A637 (1998) 421-432","10.1016/S0375-9474(98)00237-1",,"nucl-th hep-ph",,"  We derive the expressions of the vector and axial current from a chiral
Lagrangian restricted to nucleons and pions. They display mixing terms between
the axial and vector currents. We study the modifications in the nuclear medium
of the coupling constants of the axial current, namely the pion decay constant
and the nucleonic axial one due to the requirements of chiral symmetry. We
express the renormalizations in terms of the local scalar pion density. The
latter also governs the quark condensate evolu- tion and we discuss the link
between this evolution and the renormaliza- tions. In the case of the nucleon
axial coupling constant this renormali- zation corresponds to a new type of
exchange currents, with two exchanged pions. We give an estimate for the
resulting quenching. Although moderate it helps explaining the quenching
experimentally observed.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:16:41 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jan 1998 09:13:03 GMT""},{""version"":""v3"",""created"":""Tue, 12 May 1998 14:02:08 GMT""}]","2009-10-31"
"physics/9801017",,"Alexander A.Vlasov","Radiation Reaction in Classical Electrodynamics: the Case of Rotating
  Charged Sphere","9 pages, LATEX",,,,"physics.class-ph hep-th",,"  In classical electrodynamics for rotating with variable angular velocity
charged rigid sphere are found: the exact values of electromagnetic fields, the
flux of radiating energy and the exact integral equation of rotation including
the terms of self-rotation. The analysis of this eq. shows that on one hand,
there is no ""runaway"" solutions, peculiar to the Lorentz-Dirac eq. of radiating
point particle, on the other hand, there appear new problems, among them is the
nonexistence of solution for some external moments of force.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:51:30 GMT""}]","2007-05-23"
"quant-ph/9801025","Ivan H. Deutsch","S. E. Hamann, D. L. Haycock, G. Klose, P. H. Pax, I. H. Deutsch and P.
  S. Jessen","Resolved-sideband Raman cooling to the ground state of an optical
  lattice","PDF file, 13 pages including 3 figures","Phys.Rev.Lett. 80 (1998) 4149-4152","10.1103/PhysRevLett.80.4149",,"quant-ph",,"  We trap neutral Cs atoms in a two-dimensional optical lattice and cool them
close to the zero-point of motion by resolved-sideband Raman cooling. Sideband
cooling occurs via transitions between the vibrational manifolds associated
with a pair of magnetic sublevels and the required Raman coupling is provided
by the lattice potential itself. We obtain mean vibrational excitations
\bar{n}_x \approx \bar{n}_y \approx 0.01, corresponding to a population \sim
98% in the vibrational ground state. Atoms in the ground state of an optical
lattice provide a new system in which to explore quantum state control and
subrecoil laser cooling
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:52:20 GMT""}]","2009-10-31"
"quant-ph/9801026","Atushi Tanaka","Atushi Tanaka (University of Tsukuba)","Phase space caustics in multi-component systems","6 pages, 7 ps figures, To appear in Phys. Rev. Lett","Phys. Rev. Lett. 80, 1414 (1998)","10.1103/PhysRevLett.80.1414",,"quant-ph chao-dyn nlin.CD",,"  As examples of quantum-""classical"" coupling systems, multi-component systems
are studied by semiclassical evaluations of the Feynman kernels in the
coherent-state representation. From the observation of the phase space caustics
due to the presence of the internal degree of freedom (IDF), two phenomena are
explained in terms of the semiclassical theory: (1) The quantum oscillations of
the IDF induce quantum interference patterns in the Hushimi representation; (2)
Chaotic dynamics destroys the coherence of the quantum oscillations.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:00:42 GMT""}]","2009-03-19"
"quant-ph/9801027","Jonathan A. Jones","J. A. Jones and M. Mosca (University of Oxford, UK)","Implementation of a Quantum Algorithm to Solve Deutsch's Problem on a
  Nuclear Magnetic Resonance Quantum Computer","16 pages including 6 figures. Minor clarifications as requested by
  the referee plus updated references. Journal of Chemical Physics, in press
  (expected publication date August 1st 1998)","J.Chem.Phys. 109 (1998) 1648-1653","10.1063/1.476739","JAJQP-98-01","quant-ph",,"  We demonstrate the use of an NMR quantum computer based on the pyrimidine
base cytosine, and the implementation of a quantum algorithm to solve Deutsch's
problem.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:36:24 GMT""},{""version"":""v2"",""created"":""Thu, 30 Apr 1998 11:46:38 GMT""}]","2009-10-31"
"quant-ph/9801028","Tamas Kiss","T. Kiss, U. Herzog, and U. Leonhardt","Reply on the ``Comment on `Loss-error compensation in quantum- state
  measurements' ''","LaTex, 2 pages, 1 Figure; to be published in Physical Review A",,"10.1103/PhysRevA.57.3134","QP-97-01","quant-ph",,"  The authors of the Comment [G. M. D'Ariano and C. Macchiavello to be
published in Phys. Rev. A, quant-ph/9701009] tried to reestablish a 0.5
efficiency bound for loss compensation in optical homodyne tomography. In our
reply we demonstrate that neither does such a rigorous bound exist nor is the
bound required for ruling out the state reconstruction of an individual system
[G. M. D'Ariano and H. P. Yuen, Phys. Rev. Lett. 76, 2832 (1996)].
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 09:55:06 GMT""}]","2009-10-31"
"quant-ph/9801029","Krzysztof Kowalski","K. Kowalski, J. Rembielinski and L.C. Papaloucas","Coherent states for a quantum particle on a circle","23 pages LaTeX, uses ioplppt.sty","J.Phys.A29:4149-4167,1996","10.1088/0305-4470/29/14/034","kft-96-55","quant-ph",,"  The coherent states for the quantum particle on the circle are introduced.
The Bargmann representation within the actual treatment provides the
representation of the algebra $[\hat J,U]=U$, where $U$ is unitary, which is a
direct consequence of the Heisenberg algebra $[\hat \phi, \hat J]=i$, but it is
more adequate for the study of the circlular motion.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 14:04:39 GMT""}]","2008-11-26"
