"adap-org/9811002","Barbara Drossel","Barbara Drossel","A simple model for the formation of a complex organism","Final version, including more references, to appear in PRL","Phys. Rev. Lett. 82, 5144 (1999)","10.1103/PhysRevLett.82.5144",,"adap-org nlin.AO q-bio",,"  A simple model for the formation of a complex organism is introduced.
Individuals can communicate and specialize, leading to an increase in
productivity. If there are limits to the capacity of individuals to communicate
with other individuals, the individuals form groups that interact with each
other, leading to a complex organism that has interacting units on all scales.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:56:54 GMT""},{""version"":""v2"",""created"":""Mon, 10 May 1999 13:52:22 GMT""}]","2009-10-30"
"hep-th/9811104","Won Tae Kim","Won Tae Kim, Chang-Yeong Lee, and Dong Won Lee","Batalin-Vilkovisky quantization of symmetric Chern-Simons theory","10 pages, Latex, no figures",,,"SOGANG-HEP 248/98","hep-th",,"  We study the manifestly covariant three-dimensional symmetric Chern-Simons
action in terms of the Batalin-Vilkovisky quantization method. We find that the
Lorentz covariant gauge fixed version of this action is reduced to the usual
Chern-Simons type action after a proper field redefinition. Furthermore, the
renormalizability of the symmetric Chern-Simons theory turns out to be the same
as that of the original Chern-Simons theory.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 05:58:30 GMT""}]","2007-05-23"
"hep-th/9811105","Asmita","Asmita Mukherjee and Somdatta Bhattacharya","Elecromagnetic Duality on the Light-Front in the Presence of External
  Sources","13 pages, revtex, Title and presentation slightly changed, main
  results unchanged","Int.J.Mod.Phys. A15 (2000) 4739-4748","10.1142/S0217751X00001385",,"hep-th",,"  We investigate the issue of electromagnetic duality on the light front. We
work with Zwanziger's theory of electric and magnetic sources which is
appropriate for treating duality. When quantized on the light-front in the
light front gauge, this theory yields two independent phase space degrees of
freedom, namely the two transverse field components, the right number to
describe the gauge field sector of normal light-front QED and also the
appropriate commutator between them. The electromagnetic duality transformation
formulated in terms of them is similar in form to the Susskind transformation
proposed for the free theory, provided one identifies them as the dynamical
field components of the photon on the light-front in the presence of magnetic
sources. The Hamiltonian density written in terms of these components is
invariant under the duality transformation.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 07:56:04 GMT""},{""version"":""v2"",""created"":""Wed, 6 Oct 1999 05:55:33 GMT""}]","2016-12-28"
"hep-th/9811108","Jean-Loup Gervais","Jean-Loup Gervais and Mikhail Saveliev","Progress in classically solving ten dimensional supersymmetric reduced
  Yang-Mills theories","17 pages Latex non figures","Nucl.Phys. B554 (1999) 183-197","10.1016/S0550-3213(99)00296-5","LPTENS-98/41","hep-th math-ph math.MP nlin.SI physics.class-ph solv-int",,"  It is shown that there exists an on-shell light cone gauge where half of the
fermionic components of the super vector potential vanish, so that part of the
superspace flatness conditions becomes linear. After reduction to $(1+1)$
space-time dimensions, the general solution of this subset of equations is
derived. The remaining non-linear equations are written in a form which is
analogous to Yang equations, albeit with superderivatives involving sixteen
fermionic coordinates. It is shown that this non-linear part may, nevertheless,
be solved by methods similar to powerful technics previously developed for the
(purely bosonic) self-dual Yang Mills equations in four dimensions.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:15:05 GMT""}]","2009-10-31"
"hep-th/9811109","Larisa Jonke","Ivan Andric, Velimir Bardek, Larisa Jonke (Rudjer Boskovic Institute,
  Croatia)","Quantum fluctuations of the Chern-Simons theory and dynamical
  dimensional reduction","10 pages, 2 figures","Phys.Rev. D59 (1999) 107702","10.1103/PhysRevD.59.107702","IRB-TH-7/98","hep-th",,"  We consider a large-N Chern-Simons theory for the attractive bosonic matter
(Jackiw-Pi model) in the Hamiltonian collective-field approach based on the 1/N
expansion. We show that the dynamics of low-lying density excitations around
the ground-state vortex configuration is equivalent to that of the Sutherland
model. The relationship between the Chern-Simons coupling constant lambda and
the Calogero-Sutherland statistical parameter lambda_s signalizes some sort of
statistical transmutation accompanying the dimensional reduction of the initial
problem.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:31:18 GMT""}]","2009-10-31"
"hep-th/9811110","Armen Nersessian","A.Nersessian","Supergeometry in Equivariant Cohomology","7 pages, to be published in the memorial volume, dedicated to
  V.I.Ogievetsky","Lect.Notes Phys. 524 (1997) 90-96","10.1007/BFb0104590",,"hep-th",,"  We analyze $S^1$ equivariant cohomology from the supergeometrical point of
view. For this purpose we equip the external algebra of given manifold with
equivariant even super(pre)symplectic structure, and show, that its
Poincare-Cartan invariant defines equivariant Euler classes of surfaces. This
allows to derive localization formulae by use of superanalog of Stockes
theorem.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 12:57:58 GMT""}]","2009-10-31"
"hep-th/9811111","Marek Pawlowski","M. Pawlowski, V.V. Papoyan, V. N. Pervushin, V. I. Smirichinski","Conformal Unification of General Relativity and Standard Model","8 pages, latex, no figures, to appear in Physics Letters B","Phys.Lett. B444 (1998) 293-298","10.1016/S0370-2693(98)01394-X",,"hep-th",,"  The unification of general relativity and standard model for strong and
electro-weak interactions is considered on the base of the conformal symmetry
principle. The Penrose-Chernikov-Tagirov Lagrangian is used to describe the
Higgs scalar field modulus and gravitation. We show that the procedure of the
Hamiltonian reduction converts the homogeneous part of the Higgs field into the
dynamical parameter of evolution of the equivalent reduced system. The equation
of dynamics of the ""proper time"" of an observer with respect to the evolution
parameter reproduces the Friedmann-like equation, which reflects the
cosmological evolution of elementary particle masses. The value of the Higgs
field is determined, at the present time, by the values of mean density of
matter and the Hubble parameter in satisfactory agreement with the data of
cosmological observations.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 14:36:26 GMT""}]","2009-10-31"
"hep-th/9811113","Pierre Mathieu","L. B\'egin (Laval), C. Cummins (Concordia) and P. Mathieu (Laval)","Generating functions for tensor products","Harvmac (b mode : 60 p; l mode: 68 p) and Pictex",,,"LAVAL-PHY-98-28","hep-th",,"  This is the first of two articles devoted to a comprehensive exposition of
the generating-function method for computing fusion rules in affine Lie
algebras. The present paper is entirely devoted to the study of the
tensor-product (infinite-level) limit of fusions rules. We consider thus in
detail the problem of constructing tensor-product generating functions in
finite Lie algebras. From the beginning, the problem is recast in terms of the
concept of a model, which is an algebra whose Poincar\'e series is the
generating function under study. We start by reviewing Sharp's character
method. Simple examples are worked out in detail, illustrating thereby its
intrinsic limitations. An alternative approach is then presented; it is based
on the reformulation of the problem of calculating tensor products in terms of
the solution of a set of linear and homogeneous Diophantine equations whose
elementary solutions represent ``elementary couplings''. Grobner bases provide
a tool for generating the complete set of relations between elementary
couplings and, most importantly, as an algorithm for specifying a complete,
compatible set of ``forbidden couplings''. This machinery is then applied to
the construction of various tensor-product generating functions.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:22:05 GMT""}]","2007-05-23"
"math-ph/9811008","Alex Kasman","Alex Kasman","Grassmannians, Nonlinear Wave Equations and Generalized Schur Functions","To appear in ""Contemporary Mathematics"". (Modified as per requests of
  editor and referees. No serious changes.)",,,,"math-ph math.AG math.AP math.FA math.MP",,"  A set of functions is introduced which generalizes the famous Schur
polynomials and their connection to Grasmannian manifolds. These functions are
shown to provide a new method of constructing solutions to the KP hierarchy of
nonlinear partial differential equations. Specifically, just as the Schur
polynomials are used to expand tau-functions as a sum, it is shown that it is
natural to expand a quotient of tau-functions in terms of these generalized
Schur functions. The coefficients in this expansion are found to be constrained
by the Pl\""ucker relations of a grassmannian.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 21:58:37 GMT""},{""version"":""v2"",""created"":""Wed, 18 Nov 1998 22:27:02 GMT""},{""version"":""v3"",""created"":""Fri, 26 Feb 1999 19:21:32 GMT""}]","2007-05-23"
"math/9811081","Alex Kasman","Alex Kasman","n-Schur Functions and Determinants on an Infinite Grassmannian",,,,,"math.AG math-ph math.CO math.MP",,"  A set of functions is defined which is indexed by a positive integer $n$ and
partitions of integers. The case $n=1$ reproduces the standard Schur
polynomials. These functions are seen to arise naturally as a determinant of an
action on the frame bundle of an infinite grassmannian. This fact is well known
in the case of the Schur polynomials ($n=1$) and has been used to decompose the
$\tau$-functions of the KP hierarchy as a sum. In the same way, the new
functions introduced here ($n>1$) are used to expand quotients of
$\tau$-functions as a sum with Plucker coordinates as coefficients.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 22:08:06 GMT""}]","2007-05-23"
"math/9811082","Marc Lackenby","Daryl Cooper, Marc Lackenby","Dehn surgery and negatively curved 3-manifolds","35 pages, 2 figures. To be published in JDG",,,,"math.GT",,"  We show that, for any given 3-manifold M, there are at most finitely many
hyperbolic knots K in the 3-sphere and fractions p/q (with q > 22), such that M
is obtained by p/q surgery along K. This is a corollary of the following
result. If M is obtained by Dehn filling the cusps of a hyperbolic 3-manifold
X, where each filling slope has length more than 2 \pi + \epsilon, then, for
any given M and \epsilon > 0, there are only finitely many possibilities for X
and for the filling slopes. In this paper, we also investigate the length of
boundary slopes, and sequences of negatively curved metrics on a given
3-manifold.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 10:43:04 GMT""}]","2007-05-23"
"math/9811083","Emilia Mezzetti","Emilia Mezzetti, Dario Portelli","Linear systems representing threefolds which are scrolls on a rational
  surface","14 pages, Plain-TeX, to be published in Collectanea Mathematica",,,,"math.AG",,"  Let X be a scroll over a rational surface. We construct a linear system of
surfaces in P^3 yielding a birational map from P^3 to X. We apply this
construction to the scrolls of Bordiga and Palatini.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 14:16:22 GMT""}]","2007-05-23"
"nucl-ex/9811006","Zhangbu Xu","Zhangbu Xu, for E864 Collaboration","Search for positively charged strangelets and other related results with
  E864 at the AGS","8 pages, 4 figures; Talk at SQM'98, Padova, Italy (July 20-24th,
  1998)","J.Phys.G25:403-410,1999","10.1088/0954-3899/25/2/029",,"nucl-ex",,"  We report on the latest results in the search for positively charged
strangelets from E864's 96/97 run at the AGS with sensitivity of about $8\times
10^{-9}$ per central collision. This contribution also contains new results of
a search for highly charged strangelets with $Z=+3$. Production of light
nuclei, such as $^6He$ and $^6Li$, is presented as well. Measurements of yields
of these rarely produced isotopes near midrapidity will help constrain the
production levels of strangelets via coalescence. E864 also measures antiproton
production which includes decays from antihyperons. Comparisons with antiproton
yields measured by E878 as a function of centrality indicate a large
antihyperon-to-antiproton ratio in central collisions.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 22:21:47 GMT""}]","2008-11-26"
"nucl-ex/9811007","Joakim Nystrand","Joakim Nystrand and Spencer Klein and the STAR Collaboration","Two-Photon Physics in Nucleus-Nucleus Collisions at RHIC","15 pages, 7 figures",,,"LBNL-42524","nucl-ex hep-ph",,"  Ultra-relativistic heavy-ions carry strong electromagnetic and nuclear
fields. Interactions between these fields in peripheral nucleus-nucleus
collisions can probe many interesting physics topics. This presentation will
focus on coherent two-photon and photonuclear processes at RHIC. The rates for
these interactions will be high. The coherent coupling of all the protons in
the nucleus enhances the equivalent photon flux by a factor Z^2 up to an energy
of ~3 GeV. The plans for studying coherent interactions with the STAR
experiment will be discussed. Experimental techniques for separating signal
from background will be presented.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 02:05:28 GMT""},{""version"":""v2"",""created"":""Wed, 18 Nov 1998 02:58:22 GMT""}]","2007-05-23"
"nucl-th/9811042","Alexandr Korchin","A. Yu. Korchin, O. Scholten, R. G. E. Timmermans","Pion and photon couplings of N* resonances from scattering on the proton","12 pages, 3 figures, Revtex","Phys.Lett. B438 (1998) 1-8","10.1016/S0370-2693(98)01041-7",,"nucl-th",,"  Results of a relativistic model for pion- and photon-induced reactions on the
proton are presented. The model is crossing symmetric and gauge invariant. The
nucleon resonances P_11 (1440), P_11 (1710), D_13 (1520), S_11 (1535), S_11
(1650), P_33 (1232), P_33 (1600), S_31 (1620), and D_33 (1700) have been
included explicitly in the calculation. Unitarity within the channel space \pi
N + \gamma N below the two-pion production threshold has been achieved by using
the K-matrix approach. Strong and electromagnetic coupling parameters of the N*
resonances have been determined from a fit to the pion-nucleon phase shifts,
pion-photoproduction multipoles and Compton-scattering cross sections. The
model is shown to describe simultaneously most of the available data. Results
for the electric and magnetic polarizabilities of the nucleon are presented.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 16:46:42 GMT""}]","2009-10-31"
"nucl-th/9811043","Jacek Dobaczewski","J. Dobaczewski","Superdeformation: Perspectives and prospects","12 pages, 5 EPS figures included, uses aipproc2.sty and epsf.sty.
  Invited talk at the NS98 conference, Gatlinburg, August 1998","AIPConf.Proc.381:315-326,1999","10.1063/1.59551",,"nucl-th",,"  We present a review of the mean-field approaches describing superdeformed
states, which are currently used and/or being developed. As an example, we
discuss in more details the properties of superdeformed A~60 nuclei, and
present results of calculations for the rotational band in the doubly magic
superdeformed nucleus 32S.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 11:38:57 GMT""}]","2009-10-31"
"quant-ph/9811025","Stefan Keppeler","Jens Bolte and Stefan Keppeler","A semiclassical approach to the Dirac equation",,"Annals Phys. 274 (1999) 125-162","10.1006/aphy.1999.5912","ULM-TP/98-6","quant-ph chao-dyn math-ph math.MP nlin.CD",,"  We derive a semiclassical time evolution kernel and a trace formula for the
Dirac equation. The classical trajectories that enter the expressions are
determined by the dynamics of relativistic point particles. We carefully
investigate the transport of the spin degrees of freedom along the trajectories
which can be understood geometrically as parallel transport in a vector bundle
with SU(2) holonomy. Furthermore, we give an interpretation in terms of a
classical spin vector that is transported along the trajectories and whose
dynamics, dictated by the equation of Thomas precession, gives rise to
dynamical and geometric phases every orbit is weighted by. We also present an
analogous approach to the Pauli equation which we analyse in two different
limits.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 13:22:23 GMT""}]","2009-10-31"
"quant-ph/9811026","Juan Pablo Paz","Juan Pablo Paz and Wojciech Hubert Zurek","Quantum limit of decoherence: Environment induced superselection of
  energy eigenstates","4 pages, no figures","Phys.Rev.Lett.82:5181-5185,1999","10.1103/PhysRevLett.82.5181",,"quant-ph",,"  We investigate decoherence in the limit where the interaction with the
environment is weak and the evolution is dominated by the self Hamiltonian of
the system. We show that in this case quantized eigenstates of energy emerge as
pointer states selected through the predictability sieve.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 14:52:03 GMT""}]","2011-08-04"
"solv-int/9811009","Alex Kasman","Alex Kasman","Spectral Difference Equations Satisfied by KP Soliton Wavefunctions","to appear in ""Inverse Problems""",,"10.1088/0266-5611/14/6/008",,"solv-int nlin.SI",,"  The Baker-Akhiezer (wave) functions corresponding to soliton solutions of the
KP hierarchy are shown to satisfy eigenvalue equations for a commutative ring
of translational operators in the spectral parameter. In the rational limit,
these translational operators converge to the differential operators in the
spectral parameter previously discussed as part of the theory of
""bispectrality"". Consequently, these translational operators can be seen as
demonstrating a form of bispectrality for the non-rational solitons as well.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 22:16:39 GMT""}]","2009-10-31"
