"astro-ph/9811422","Ibrahim Arbab Arbab","Arbab I.Arbab","Primordial Black Holes With Variable Gravity","A more revised version",,,,"astro-ph gr-qc",,"  We have studied the evolution of primordial black holes (PBHs) in a universe
with a variable gravitational constant and bulk viscosity. We have found that
the strength of gravity has changed appreciably in the early universe. The
gravitational constant attained its greatest value at t=10^{-23} sec after the
Big Bang. PBHs formed at the GUT and electroweak epochs would have masses about
$1.85\times 10^9 g$ and $1.8\times 10^{-7} g$ respectively. Their temperatures
when they explode are $6\times 10^8K$ and 6 K respectively. PBHs formed during
nuclear epoch are hard to detect at the present time. The gravitational
constant ($G$) is found to increase as $G\propto t^2$ in the radiation epoch.
The gamma rays bursts (GRBs) may have their origin in the evaporation of the
PBHs formed during GUT time.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 22:43:21 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 22:59:17 GMT""},{""version"":""v3"",""created"":""Thu, 3 Dec 1998 17:07:32 GMT""},{""version"":""v4"",""created"":""Mon, 14 Jun 1999 16:09:42 GMT""}]","2007-05-23"
"hep-ph/9811489","Chung Kao","V. Barger and Chung Kao (University of Wisconsin)","Trilepton Signature of Minimal Supergravity at the Upgraded Tevatron","Version to appear in Physical Review D","Phys.Rev.D60:115015,1999","10.1103/PhysRevD.60.115015","Fermilab-Pub-98/342-T; MADPH-98-1085","hep-ph",,"  The prospects for detecting trilepton events ($\ell = e$ or $\mu$) from
chargino-neutralino ($\chi^\pm_1 \chi^0_2$) associated production are
investigated for the upgraded Fermilab Tevatron Collider in the context of the
minimal supergravity model (mSUGRA). In some regions of parameter space,
$\chi^\pm_1$ and $\chi^0_2$ decay dominantly into final states with $\tau$
leptons and the contributions from $\tau-$leptonic decays enhance the trilepton
signal substantially when soft cuts on lepton transverse momenta are used.
Additional sources of the mSUGRA trilepton signal and dominant irreducible
backgrounds are discussed. The dilepton ($\ell^+\ell^-$) invariant mass
distribution near the endpoint is considered as a test of mSUGRA mass
relations. Discovery contours for $p\bar{p} \to 3\ell +X$ at 2 TeV with an
integrated luminosity of 2 fb$^{-1}$ to 30 fb$^{-1}$ are presented in the
mSUGRA parameter space of $(m_0,m_{1/2})$ for several choices of $\tan\beta$.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 05:22:34 GMT""},{""version"":""v2"",""created"":""Tue, 8 Dec 1998 02:20:30 GMT""},{""version"":""v3"",""created"":""Fri, 9 Jul 1999 22:11:06 GMT""},{""version"":""v4"",""created"":""Tue, 14 Sep 1999 15:57:50 GMT""}]","2009-09-15"
"hep-ph/9811490",,"C.S. Lim (Kobe U.)","Grand Unified Theories and Lepton-Flavour Violation","17 pages, LaTeX209 file, using axodraw.sty",,,"KOBE-TH-98-07","hep-ph",,"  Lepton-flavour violating processes, such as $\mu \to e\gamma$, are studied in
ordinary (non-SUSY) SU(5) and SUSY SU(5) grand unified theories. First given
are some introductory argument on the mechanism of U.V. divergence cancellation
in flavour changing neutral current processes and on the decoupling of
particles with GUT scale masses . We next see that such general argument is
confirmed by an explicit calculation of the amplitude of $\mu \to e\gamma$ in
ordinary SU(5), which shows that logarithmic divergence really cancels among
diagrams and remaining finite part are suppressed by at least $1/M_{GUT}^2$. In
SUSY SU(5), flavour changing slepton mass-squared term get a logarithmic
correction, as recently claimed. However, when the effect of flavour changing
wave function renormalization is also taken into account such logarithmic
correction turns out to disappear, provided a condition is met among SUSY
breaking soft masses. In SUGRA-inspired SUSY GUT, such condition is not
satisfied. But the remaining logarithmic effect is argued not to be taken as a
prediction of the theory associated with an irrelevant operator. We find that
the log-correction should not exist in models with gauge mediated SUSY
breaking.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 06:54:54 GMT""},{""version"":""v2"",""created"":""Wed, 2 Dec 1998 08:16:23 GMT""}]","2007-05-23"
"hep-ph/9811491","Eduardo de Rafael","Eduardo de Rafael (CPT-Luminy)","Large-Nc QCD and Spontaneous Chiral Symmetry Breaking","6 pages, invited talk to the conference ""QCD98"", Montpellier","Nucl.Phys.Proc.Suppl. 74 (1999) 399-404","10.1016/S0920-5632(99)00205-4",,"hep-ph",,"  I report on recent work done in collaboration with M. Knecht on patterns of
spontaneous chiral symmetry breaking in the large-Nc limit of QCD-like
theories, and with S. Peris and M. Perrottet concerning the question of
matching long and short distances in large-Nc QCD.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:07:27 GMT""}]","2009-10-31"
"hep-ph/9811492","Zack E. Sullivan","D. Dicus, T. Stelzer, Z. Sullivan and S. Willenbrock","Higgs-Boson Production in Association with Bottom Quarks at
  Next-to-Leading Order","To appear in PRD, typos corrected, 18 pages, LaTeX, 8 ps figures","Phys.Rev. D59 (1999) 094016","10.1103/PhysRevD.59.094016",,"hep-ph",,"  We argue that the leading-order subprocess for Higgs-boson production in
association with bottom quarks is (b\bar{b} -> H). This process is an important
source of Higgs bosons with enhanced Yukawa coupling to bottom quarks. We
calculate the corrections to this cross section at next-to-leading-order in
1/ln(m_H/m_b) and alpha_s and at next-to-next-to-leading order in
1/ln(m_H/m_b).
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:23:45 GMT""},{""version"":""v2"",""created"":""Thu, 11 Feb 1999 01:02:04 GMT""}]","2009-10-31"
"hep-ph/9811493","Peter Lichard","Peter Lichard (Institute of Physics, Silesian University, Opava, Czech
  Republic and Department of Physics and Astronomy, University of Pittsburgh,
  USA)","Are the production and decay of a resonance always independent?","15 pages, LaTeX 2.09, epsf.sty, 6 embedded figures, submitted to Acta
  Physica Slovaca. Dedicated to Jan Pisut on the occasion of his 60th birthday","Acta Phys.Slov. 49 (1999) 215-230",,,"hep-ph hep-ex",,"  The widely accepted assumption that the decay of a resonance proceeds
independently of its production, quantitatively expressed as a factorizing
formula for the differential cross section in the invariant mass of unpolarized
resonance debris, is put under scrutiny. It is shown that the factorization is
always valid for scalar and pseudoscalar resonances, although the usual version
of the formula is not entirely correct. For resonances with nonzero spins the
factorization does not generally take place. We deal in more detail with the
spin-one case, where we show a condition on the decay matrix element that
ensures the validity of the same factorizing formula as in the spinless case.
This condition is satisfied for rho --> pi pi but not, e.g., for K* --> pi K or
a1 --> pi rho. The formalism is applied also to the case when the resonance is
produced not in two-body collisions but in the decay of a heavier particle or
resonance (chain decay). Application of our formulas to the e+e- production in
one-photon approximation agrees with what is known from quantum electrodynamics
and thus provides another test of their soundness.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:46:43 GMT""}]","2007-05-23"
"hep-ph/9811494","Arwed Schiller","G.L. Kotkin, E.A. Kuraev, A. Schiller, V.G. Serbo","Production of para-- and orthopositronium at relativistic heavy ion
  colliders","22 pages, 5 figures, RevTeX, misprint corrected","Phys.Rev. C59 (1999) 2734-2743","10.1103/PhysRevC.59.2734","UL-NTZ 31/98","hep-ph nucl-th",,"  We consider the ortho-- and parapositronium production in the process $AA \to
AA+$ Ps where A is a nucleus with the charge number Z. The inclusive cross
section and the energy distribution of the relativistic Ps are calculated which
are of primary interest from the experimental point of view. The accuracy of
the corresponding cross sections is given by omitting terms $\sim (Z\alpha
)^2/L^2$ for the para--Ps and $\sim (Z\alpha)^2/L$ for the ortho--Ps production
where $L=\ln{\gamma^2} \approx 9$ and 16 for the RHIC and the LHC. Within this
accuracy the multiphoton (Coulomb) corrections are taken into account. We show
that the RHIC and the LHC will be Ps factories with a productions rate of about
$10^5 \div 10^8$ relativistic Ps per day. The fraction of the ortho--Ps is
expected to be of the same order as that of the para--Ps for Au--Au and Pb--Pb
collisions.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:59:22 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 16:27:36 GMT""}]","2009-10-31"
"hep-ph/9811495","Naotoshi Okamura","K. Hagiwara and N. Okamura (Theory Group, KEK)","Quark and Lepton Flavor Mixings in the SU(5) Grand Unification Theory","30 pages, no figure","Nucl.Phys.B548:60-86,1999","10.1016/S0550-3213(99)00049-8","KEK-TH/605","hep-ph",,"  We explain the imbalance of the flavor mixing angles between the quark and
the lepton sectors in the context of the SU(5) GUT with the see-saw mechanism.
The quark masses and the CKM matrix elements are obtained by using,
respectively, the Fritzsch and Branco - Silva-Marcos form for the up- and
down-quark Yukawa matrices (y^u and y^d) at the GUT scale. The charged-lepton
Yukawa matrix (y^e) is the transpose of y^d, modified by the Georgi-Jarlskog
factor. We show that the neutrino masses and mixing angles suggested by the
recent solar and atmospheric neutrinos are then obtained from a simple texture
of the neutrino Yukawa matrix (y^\nu) and a diagonal right-handed Majorana mass
matrix at the GUT scale.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 15:04:42 GMT""}]","2008-11-26"
"hep-th/9811227","Christian Jaekel","Christian Jaekel","Nuclearity and split for thermal quantum field theories","plain tex, 29 pages; heuristic arguments leading to the nuclearity
  conditon revised",,,,"hep-th",,"  We review the heuristic arguments suggesting that any thermal quantum field
theory, which can be interpreted as a quantum statistical mechanics of
(interacting) relativistic particles, obeys certain restrictions on its number
of local degrees of freedom. As in the vacuum representation, these
restrictions can be expressed by a `nuclearity condition'. If a model satisfies
this nuclearity condition, then the net of von Neumann algebras representing
the local observables in the thermal representation has the split property.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 16:06:54 GMT""},{""version"":""v2"",""created"":""Fri, 9 Apr 1999 10:11:56 GMT""},{""version"":""v3"",""created"":""Wed, 5 Jan 2000 14:01:06 GMT""}]","2007-05-23"
"hep-th/9811228","Wolfgang Lerche","W. Lerche, S. Stieberger and N.P. Warner","Quartic Gauge Couplings from K3 Geometry","32 p, harvmac; One footnote on page 11 extended; results unchanged;
  Version subm. to ATMP","Adv.Theor.Math.Phys.3:1575-1611,1999",,"CERN-TH/98-378","hep-th",,"  We show how certain F^4 couplings in eight dimensions can be computed using
the mirror map and K3 data. They perfectly match with the corresponding
heterotic one-loop couplings, and therefore this amounts to a successful test
of the conjectured duality between the heterotic string on T^2 and F-theory on
K3. The underlying quantum geometry appears to be a 5-fold, consisting of a
hyperk""ahler 4-fold fibered over a IP^1 base. The natural candidate for this
fiber is the symmetric product Sym^2(K3). We are lead to this structure by
analyzing the implications of higher powers of E_2 in the relevant Borcherds
counting functions, and in particular the appropriate generalizations of the
Picard-Fuchs equations for the K3.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:30:54 GMT""},{""version"":""v2"",""created"":""Wed, 8 Dec 1999 23:55:43 GMT""},{""version"":""v3"",""created"":""Mon, 27 Dec 1999 21:54:26 GMT""}]","2010-11-26"
"hep-th/9811229","Alexey Deriglazov","A.A. Deriglazov and D.M. Gitman","Classical description of spinning degrees of freedom of relativistic
  particles by means of commuting spinors","18 pages, LaTex file","Mod.Phys.Lett. A14 (1999) 709-720","10.1142/S0217732399000754","Publica\c{c}\~ao IFUSP 1324/98","hep-th",,"  We consider a possibility to describe spin one-half and higher spins of
massive relativistic particles by means of commuting spinors. We present two
classical gauge models with the variables $x^\mu,\xi_\alpha,\chi_\alpha$, where
$\xi,\chi$ are commuting Majorana spinors. In course of quantization both
models reproduce Dirac equation. We analyze the possibility to introduce an
interaction with an external electromagnetic background into the models and to
generalize them to higher spin description. The first model admits a minimal
interaction with the external electromagnetic field, but leads to reducible
representations of the Poincare group being generalized for higher spins. The
second model turns out to be appropriate for description of the massive higher
spins. However, it seams to be difficult to introduce a minimal interaction
with an external electromagnetic field into this model. We compare our approach
with one, which uses Grassman variables, and establish a relation between them.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 21:17:13 GMT""}]","2015-06-26"
"hep-th/9811232",,"M. Rocek and A.A. Tseytlin","Partial breaking of global D=4 supersymmetry, constrained superfields,
  and 3-brane actions","28 pages, harvmac. v4: a mistake in eq.(3.24) (pointed out by S.
  Kuzenko) corrected","Phys.Rev.D59:106001,1999","10.1103/PhysRevD.59.106001","ITP-SB-98-68, Imperial/TP/98-99/13","hep-th",,"  We show that the connection between partial breaking of supersymmetry and
nonlinear actions is not accidental and has to do with constraints that lead
directly to nonlinear actions of the Born-Infeld type. We develop a constrained
superfield approach that gives a universal way of deriving and using these
actions. In particular, we find the manifestly supersymmetric form of the
action of the 3-brane in 6-dimensional space in terms of N=1 superfields by
using the tensor multiplet as a tool. We explain the relation between the
Born-Infeld action and the model of partial N=2 supersymmetry breaking by a
dual D-term. We represent the Born-Infeld action in a novel form quadratic in
the gauge field strengths by introducing two auxiliary complex scalar fields;
this makes duality covariance and the connection with the N=1 supersymmetric
extension of the action very transparent. We also suggest a general procedure
for deriving manifestly duality symmetric actions, explaining in a systematic
way relations between previously discussed Lorentz covariant and noncovariant
actions.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:25:06 GMT""},{""version"":""v2"",""created"":""Mon, 7 Dec 1998 11:03:48 GMT""},{""version"":""v3"",""created"":""Thu, 21 Jan 1999 19:35:56 GMT""},{""version"":""v4"",""created"":""Wed, 31 Oct 2001 14:39:53 GMT""}]","2009-09-17"
"hep-th/9811233","Detlev Buchholz","Detlev Buchholz","Current trends in axiomatic quantum field theory","22 pages, Latex, (changes: completion of sentence in first paragraph
  of Sec. 8)","Lect.Notes Phys.558:43-64,2000",,,"hep-th math-ph math.MP",,"  In this article a non--technical survey is given of the present status of
Axiomatic Quantum Field Theory and interesting future directions of this
approach are outlined. The topics covered are the universal structure of the
local algebras of observables, their relation to the underlying fields and the
significance of their relative positions. Moreover, the physical interpretation
of the theory is discussed with emphasis on problems appearing in gauge
theories, such as the revision of the particle concept, the determination of
symmetries and statistics from the superselection structure, the analysis of
the short distance properties and the specific features of relativistic thermal
states. Some problems appearing in quantum field theory on curved spacetimes
are also briefly mentioned.
  (Talk given at Ringberg Symposium on Quantum Field Theory, Ringberg Castle,
June 1998)
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:36:15 GMT""},{""version"":""v2"",""created"":""Thu, 3 Dec 1998 18:25:08 GMT""}]","2010-11-19"
"hep-th/9811234","Arne Lykke Larsen","F. Aldabe and A.L. Larsen","The SO(32) Heterotic and Type IIB Membranes","12 pages, Latex","JHEP 9811 (1998) 012","10.1088/1126-6708/1998/11/012",,"hep-th",,"  A two dimensional anomaly cancellation argument is used to construct the
SO(32) heterotic and type IIB membranes. By imposing different boundary
conditions at the two boundaries of a membrane, we shift all of the two
dimensional anomaly to one of the boundaries. The topology of these membranes
is that of a 2-dimensional cone propagating in the 11-dimensional target space.
Dimensional reduction of these membranes yields the SO(32) heterotic and type
IIB strings.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:42:30 GMT""}]","2009-10-31"
"hep-th/9811235","Kazuo Fujikawa","Kazuo Fujikawa (Department of Physics, University of Tokyo)","A continuum limit of the chiral Jacobian in lattice gauge theory","Some of the statements were made more precise, and a footnote was
  added. To be published in Nuclear Physics B. 19 pages","Nucl.Phys. B546 (1999) 480-494","10.1016/S0550-3213(99)00042-5","UT-830","hep-th hep-lat",,"  We study the implications of the index theorem and chiral Jacobian in lattice
gauge theory, which have been formulated by Hasenfratz, Laliena and Niedermayer
and by L\""{u}scher, on the continuum formulation of the chiral Jacobian and
anomaly. We take a continuum limit of the lattice Jacobian factor without
referring to perturbative expansion and recover the result of continuum theory
by using only the general properties of the lattice Dirac operator. This
procedure is based on a set of well-defined rules and thus provides an
alternative approach to the conventional analysis of the chiral Jacobian and
related anomaly in continuum theory. By using an explicit form of the lattice
Dirac operator introduced by Neuberger, which satisfies the Ginsparg-Wilson
relation, we illustrate our calculation in some detail. We also briefly comment
on the index theorem with a finite cut-off from the present viewpoint.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 10:00:13 GMT""},{""version"":""v2"",""created"":""Tue, 26 Jan 1999 08:48:32 GMT""}]","2009-10-31"
"hep-th/9811236","Petr Jizba","P.Jizba and E.S.Tututi (DAMTP-Cambridge)","Pressure of the Non-equilibrium O(N) Phi^{4} Theory in the Large N Limit","11 pages, REVTeX, 5 figures","Phys.Rev.D60:105013,1999","10.1103/PhysRevD.60.105013",,"hep-th hep-ph",,"  We calculate the off-equilibrium hydrostatic pressure for the O(N) Phi^{4}
theory to the leading order in 1/N. The present paper, the first of a series,
concentrates on the calculation of pressure in the non-equilibrium but
translationally invariant medium. The Jaynes-Gibbs principle of maximal entropy
is used to introduce the relevant density matrix which is then directly
implemented into dynamical equations through generalised Kubo-Martin-Schwinger
(KMS) conditions. We show that in the large N limit use of Ward identities
enables the pressure to be expressed in terms of two point Green's functions.
These satisfy the Kadanoff-Baym equations which are exactly solvable, and we
explicitly calculate the pressure for three illustrative choices of \rho.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 11:45:47 GMT""},{""version"":""v2"",""created"":""Sat, 28 Nov 1998 15:27:10 GMT""}]","2011-07-19"
"hep-th/9811237","Volker Schomerus","A. Recknagel and V. Schomerus","Boundary Deformation Theory and Moduli Spaces of D-Branes","62 pages, LaTeX, 3 ps-figures. References added, some typos
  corrected, final version to appear in Nucl. Phys. B","Nucl.Phys. B545 (1999) 233-282","10.1016/S0550-3213(99)00060-7","MIS-98-60, DESY 98-185","hep-th",,"  Boundary conformal field theory is the suitable framework for a microscopic
treatment of D-branes in arbitrary CFT backgrounds. In this work, we develop
boundary deformation theory in order to study the changes of boundary
conditions generated by marginal boundary fields. The deformation parameters
may be regarded as continuous moduli of D-branes. We identify a large class of
boundary fields which are shown to be truly marginal, and we derive closed
formulas describing the associated deformations to all orders in perturbation
theory. This allows us to study the global topology properties of the moduli
space rather than local aspects only. As an example, we analyse in detail the
moduli space of c=1 theories, which displays various stringy phenomena.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:20:46 GMT""},{""version"":""v2"",""created"":""Wed, 10 Feb 1999 12:06:48 GMT""}]","2009-10-31"
"hep-th/9811238","Tom Weidig","Tom Weidig (Centre for Particle Theory, University of Durham)","The baby Skyrme models and their multi-skyrmions","new version, LaTeX, 16 pages, more pictures on
  http://dirac.phy.umist.ac.uk/~weidig/","Nonlinearity Vol. 12, No. 6, November 1999, 1489-1503","10.1088/0951-7715/12/6/303",,"hep-th",,"  We study the structure of minimal-energy solutions of the baby Skyrme models
for any topological charge n; the baby multi-skyrmions. Unlike in the (3+1)D
nuclear Skyrme model, a potential term must be present in the (2+1)D Skyrme
model to ensure stability. The form of this potential term has a crucial effect
on the existence and structure of baby multi-skyrmions. The simplest
holomorphic model has no known stable minimal-energy solution for n greater
than one. The other baby Skyrme model studied in the literature possesses
non-radially symmetric minimal-energy configurations that look like `skyrmion
lattices' formed by skyrmions with n=2. We discuss a baby Skyrme model with a
potential that has two vacua. Surprisingly, the minimal-energy solution for
every n is radially-symmetric and the energy grows linearly for large n.
Further, these multi-skyrmions are tighter bound, have less energy and the same
large r behaviour than in the model with one vacuum. We rely on numerical
studies and approximations to test and verify this observation.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 12:39:57 GMT""},{""version"":""v2"",""created"":""Fri, 5 Nov 1999 14:35:15 GMT""}]","2009-10-31"
"math/9811156","Omar Foda","Omar Foda and Trevor A. Welsh","Melzer's identities revisited","Requires LaTexe2, 'Contemporary Mathematics' AMS macro which is
  included. 27 pages. Includes a number of eps figures","Recent developments in quantum affine algebras and related topics
  (Raleigh, NC, 1998), 207--234, Contemp. Math., 248, Amer. Math. Soc.,
  Providence, RI, 1999.",,,"math.QA hep-th math.CO",,"  We further develop the finite length path generating transforms introduced
previously, and use them to obtain constant sign polynomial expressions that
reduce, in the limit of infinite path lengths, to parafermion and ABF Virasoro
characters. This provides us, in the ABF case, with combinatorial proofs of
Melzer's boson-fermion polynomial identities.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 23:47:37 GMT""}]","2007-05-23"
"math/9811158","Sultan Catto","Sultan Catto, Jonathan Huntley, Jay Jorgenson and David Tepper","On an Analog of Selberg's Eigenvalue Conjecture for SL_3(Z)",,,,,"math.SP",,"  Let H be the homogeneous space associated to the group PGL_3(R). Let
X=\Gamma/H where \Gamma=SL_3(Z) and consider the first non-trivial eigenvalue
\lambda_1 of the Laplacian on L^2(X). Using geometric considerations, we prove
the inequality \lambda_1<pi^2/10. Since the continuous spectrum is represented
by the band [1,\infty), our bound on \lambda_1 can be viewed as an analogue of
Selberg's eigenvalue conjecture for quotients of the hyperbolic half space.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 01:06:30 GMT""}]","2007-05-23"
"math/9811159","Mark Andrea A. de Cataldo","Mark Andrea A. de Cataldo and Luca Migliorini","The Douady space of a complex surface","Latex; 23 pages",,,,"math.AG",,"  We prove that a standard realization of the direct image complex via the
so-called Douady-Barlet morphism associated with a smooth complex analytic
surface admits a natural decomposition in the form of an injective
quasi-isomorphism of complexes. This is a more precise form of a special case
of the decomposition theorems of Beilinson-Bernstein-Deligne-Gabber and M.
Saito.
  The proof hinges on the special case of the bi-disk in the complex affine
plane where we make explicit use of a construction of Nakajima's and of the
corresponding representation-theoretic interpretation foreseen by Vafa-Witten.
Some consequences of the decomposition theorem: G\""ottsche Formula holds for
complex surfaces; interpretation of the rational cohomologies of Douady spaces
as a kind of Fock space; new proofs of results of Brian\c{c}on and
Ellingsrud-Stromme on punctual Hilbert schemes; computation of the mixed Hodge
structure of the Douady spaces in the K\""ahler case. We also derive a natural
connection with Equivariant K-Theory for which, in the case of algebraic
surfaces, Bezrukavnikov-Ginzburg have proposed a different approach.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 02:37:53 GMT""}]","2007-05-23"
"math/9811160","Stephen Montgomery-Smith","Stephen Clark (University of Missouri-Rolla), Yuri Latushkin
  (University of Missouri-Columbia), Stephen J. Montgomery-Smith (University of
  Missouri-Columbia), Tim Randolph (University of Missouri-Rolla)","Stability radius and internal versus external stability in Banach
  spaces: an evolution semigroup approach","Also at http://www.math.missouri.edu/~stephen/preprints","S.I.A.M. J. of Control Optim, 38, (2000), 1757-1793.",,,"math.DS math.AP math.FA math.OA math.OC",,"  In this paper the theory of evolution semigroups is developed and used to
provide a framework to study the stability of general linear control systems.
These include time-varying systems modeled with unbounded state-space operators
acting on Banach spaces. This approach allows one to apply the classical theory
of strongly continuous semigroups to time-varying systems. In particular, the
complex stability radius may be expressed explicitly in terms of the generator
of a (evolution) semigroup. Examples are given to show that classical formulas
for the stability radius of an autonomous Hilbert-space system fail in more
general settings. Upper and lower bounds on the stability radius are provided
for these general systems. In addition, it is shown that the theory of
evolution semigroups allows for a straightforward operator-theoretic analysis
of internal stability as determined by classical frequency-domain and
input-output operators, even for nonautonomous Banach-space systems
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 04:15:09 GMT""},{""version"":""v2"",""created"":""Mon, 17 May 1999 04:34:36 GMT""},{""version"":""v3"",""created"":""Wed, 8 Dec 1999 17:08:19 GMT""}]","2007-05-23"
"math/9811161","Stephen Montgomery-Smith","Stephen J. Montgomery-Smith (University of Missouri-Columbia)","Global regularity of the Navier-Stokes equation on thin three
  dimensional domains with periodic boundary conditions","Also available at http://math.missouri.edu/~stephen/preprints","Electronic J. Differential Equations, 1999, (1999), no. 11, 1-19",,,"math.AP math-ph math.CA math.FA math.MP",,"  This paper gives another version of results due to Raugel and Sell, and
similar results due to Moise, Temam and Ziane, that state the following: the
solution of the Navier-Stokes equation on a thin 3 dimensional domain with
periodic boundary conditions has global regularity, as long as there is some
control on the size of the initial data and the forcing term, where the control
is larger than that obtainable via ``small data'' estimates. The approach taken
is to consider the three dimensional equation as a perturbation of the equation
when the vector field does not depend upon the coordinate in the thin
direction.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 04:37:32 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 15:48:00 GMT""}]","2007-05-23"
"math/9811162","Sylvain Gervais","Sylvain Gervais","A finite presentation of the mapping class group of an oriented surface","22 pages, LaTeX2e. See also
  http://www.math.sciences.univ-nantes.fr/~gervais/",,,,"math.GT",,"  We give a finite presentation of the mapping class group of an oriented
(possibly bounded) surface of genus greater or equal than 1, considering Dehn
twists on a very simple set of curves.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 15:19:12 GMT""}]","2007-05-23"
"nucl-th/9811095","Gabriel Martinez-Pinedo","G. Martinez-Pinedo, K. Langanke, and D. J. Dean","Competition of electron capture and beta-decay rates in supernova
  collapse","9 pages, 3 figures, RevTeX","Astrophys.J.Suppl. 126 (2000) 493-500","10.1086/313297",,"nucl-th astro-ph",,"  We calculate supernova electron capture and beta decay rates for various
pf-shell nuclei using large-scale shell model techniques. We show that the
centroid of the Gamow-Teller strength distribution has been systematically
misplaced in previous rate estimates. Our total electron capture rates are
significantly smaller than currently adopted in core collapse calculations,
while the total beta decay rates change less. Our calculation shows that for
electron-to-baryon ratios Ye=0.42-0.46 beta decay rates are larger than the
competing electron capture rates.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:29:51 GMT""}]","2009-10-31"
"nucl-th/9811096","Hungchong Kim","Hungchong Kim, Su Houng Lee, Makoto Oka","Two-point correlation function with pion in QCD sum rules","slightly revised. version accepted for publication in Physical Review
  D","Phys.Rev. D60 (1999) 034007","10.1103/PhysRevD.60.034007","TIT/HEP-407/NP","nucl-th hep-ph",,"  Within the framework of the conventional QCD sum rules, we study the pion
two-point correlation function, $i\int d^4x e^{iq\cdot x} < 0| T J_N(x) {\bar
J}_N(0)|\pi(p)>$, beyond the soft-pion limit. We construct sum rules from the
three distinct Dirac structures, $i \gamma_5 \notp, i \gamma_5, \gamma_5
\sigma_{\mu \nu} {q^\mu p^\nu}$ and study the reliability of each sum rule. The
sum rule from the third structure is found to be insensitive to the continuum
threshold, $S_\pi$, and contains relatively small contribution from the
undetermined single pole which we denote as $b$. The sum rule from the $i
\gamma_5$ structure is very different even though it contains similar
contributions from $S_\pi$ and $b$ as the ones coming from the $\gamma_5
\sigma_{\mu \nu} {q^\mu p^\nu}$ structure. On the other hand, the sum rule from
the $i \gamma_5 \notp$ structure has strong dependence on both $S_\pi$ and $b$,
which is clearly in constrast with the sum rule for $\gamma_5 \sigma_{\mu \nu}
{q^\mu p^\nu}$. We identify the source of the sensitivity for each of the sum
rules by making specific models for higher resonance contributions and discuss
the implication.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 03:26:06 GMT""},{""version"":""v2"",""created"":""Thu, 15 Apr 1999 03:10:50 GMT""}]","2009-10-31"
"nucl-th/9811097","Santosh Samaddar","J. N. De, B. K. Agrawal and S. K. Samaddar","Equation of state for finite nuclei and liquid-gas phase transition","uuencoded gzipped file containing 11 pages of text in REVTEX format,
  5 figures (Postscript files). Physical Review C (in press)","Phys.Rev.C59:1-4,1999","10.1103/PhysRevC.59.1",,"nucl-th",,"  We construct the equation of state (EOS) of finite nuclei including surface
and Coulomb effects in a Thomas-Fermi framework using a finite range, momentum
and density dependent two-body interaction. We identify critical temperatures
for nuclei below which the EOS so constructed shows clear signals for
liquid-gas phase transition in these finite systems. Comparison with the EOS of
infinite nuclear matter shows that the critical density and temperature of the
phase transition in nuclei are influenced by the mentioned finite size effects.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 06:53:43 GMT""}]","2008-11-26"
