"adap-org/9809003","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Autocatalytic Sets and the Growth of Complexity in an Evolutionary Model","13 pages REVTEX (including figures), 4 Postscript figures",,"10.1103/PhysRevLett.81.5684","IISc-CTS/9/98","adap-org cond-mat nlin.AO",,"  A model of $s$ interacting species is considered with two types of dynamical
variables. The fast variables are the populations of the species and slow
variables the links of a directed graph that defines the catalytic interactions
among them. The graph evolves via mutations of the least fit species. Starting
from a sparse random graph, we find that an autocatalytic set (ACS) inevitably
appears and triggers a cascade of exponentially increasing connectivity until
it spans the whole graph. The connectivity subsequently saturates in a
statistical steady state. The time scales for the appearance of an ACS in the
graph and its growth have a power law dependence on $s$ and the catalytic
probability. At the end of the growth period the network is highly non-random,
being localized on an exponentially small region of graph space for large $s$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 05:02:32 GMT""}]","2009-10-30"
"hep-lat/9809131","Gudmar Thorleifsson","Gudmar Thorleifsson (Bielefeld University)","Lattice Gravity and Random Surfaces","22 pages, Latex2e, 13 eps-figures. Review talk presented at LATTICE98
  (Boulder)","Nucl.Phys.Proc.Suppl. 73 (1999) 133-145","10.1016/S0920-5632(99)85013-0","BI-TP 98/31","hep-lat gr-qc",,"  I review recent progress in simplicial quantum gravity in three and four
dimensions, in particular new results on the phase structure of modified models
of dynamical triangulations, the application of a strong-coupling expansion,
and the benefits provided by including degenerate triangulations. In addition,
I describe some recent numerical and analytical results on anisotropic
crystalline membranes.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 17:54:19 GMT""}]","2009-10-31"
"hep-lat/9809132","Dmitri Dolgov","D.Dolgov (MIT), R.Brower (MIT), J.W.Negele (MIT), A.Pochinsky (MIT)","Study of Instanton Contributions to Moments of Nucleon Spin-Dependent
  Structure Functions","LATTICE98(matrixelement), 3 pages, 1 figure","Nucl.Phys.Proc.Suppl.73:300-302,1999","10.1016/S0920-5632(99)85054-3",,"hep-lat",,"  Instantons are the natural mechanism in non-perturbative QCD to remove
helicity from valence quarks and transfer it to gluons and quark-antiquark
pairs. To understand the extent to which instantons explain the so-called ""spin
crisis"" in the nucleon, we calculate moments of spin-dependent structure
functions in quenched QCD and compare them with the results obtained with
cooled configurations from which essentially all gluon contributions except
instantons have been removed. Preliminary results are presented.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 19:45:49 GMT""}]","2008-11-26"
"hep-lat/9809133","Oleg Borisenko","O. Borisenko, V. Kushnir, A. Velytsky","Low-temperature expansion and perturbation theory in 2D models with
  unbroken symmetry: a new approach","20 pages, Latex, 1 fig. Typo in Eq.(46) which led to wrong result is
  corrected. Agreement with conventional method is recovered","Phys.Rev. D62 (2000) 025013","10.1103/PhysRevD.62.025013",,"hep-lat cond-mat hep-th",,"  A new method of constructing a weak coupling expansion of two dimensional
(2D) models with an unbroken continuous symmetry is developed. The method is
based on an analogy with the abelian XY model, respects the Mermin-Wagner (MW)
theorem and uses a link representation of the partition and correlation
functions. An expansion of the free energy and of the correlation functions at
small temperatures is performed and first order coefficients are calculated
explicitly. They are shown to coincide with the results of the conventional
perturbation theory. We discuss an applicability of our method to analysis of
uniformity of the low-temperature expansion.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 21:55:18 GMT""},{""version"":""v2"",""created"":""Fri, 5 Feb 1999 13:55:19 GMT""},{""version"":""v3"",""created"":""Wed, 3 Mar 1999 16:54:47 GMT""}]","2009-10-31"
"hep-lat/9809135","Jurgen Riedler","E. Bittner, H. Markum, J. Riedler (Institut f. Kernphysik, Vienna
  University of Technology)","2d quantum gravity with discrete edge lengths","3 pages, 4 figures, contribution to LATTICE'98, to be published in
  Nucl. Phys. B (Proc. Suppl.)","Nucl.Phys.Proc.Suppl. 73 (1999) 789-791","10.1016/S0920-5632(99)85204-9",,"hep-lat",,"  An approximation of the Standard Regge Calculus (SRC) was proposed by the
$Z_2$-Regge Model ($Z_2$RM). There the edge lengths of the simplicial complexes
are restricted to only two possible values, both always compatible with the
triangle inequalities. To examine the effect of discrete edge lengths, we
define two models to describe the transition from the $Z_2$RM to the SRC. These
models allow to choose the number of possible link lengths to be $n =
{4,8,16,32,64,...}$ and differ mainly in the scaling of the quadratic link
lengths. The first extension, the $X^1_n$-Model, keeps the edge lengths limited
and still behaves rather similar to the ""spin-like"" $Z_2$RM. The vanishing
critical cosmological constant is reproduced by the second extension, the
$X^C_n$-Model, which allows for increasing edge lengths. In addition the area
expectation values are consistent with the scaling relation of the SRC.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 12:14:43 GMT""}]","2009-10-31"
"hep-ph/9809414","Peter Petreczky","F. Karsch, M. Oevers, A. Patkos, P. Petreczky, Zs. Szep","QCD thermodynamics from 3d adjoint Higgs model","Talk given at the 5th International Workshop on Thermal Field Theory
  and their Applications, Regensburg (Germany), August 1998, corrected typos",,,"BI-TP 98/26","hep-ph",,"  The screening masses of hot SU(N) gauge theory, defined as poles of the
corresponding propagators are studied in 3d adjoint Higgs model, considered as
an effective theory of QCD, using coupled gap equations and lattice Monte-Carlo
simulations (for N=2). Using so-called lambda gauges non-perturbative evidence
for gauge independence of the pole masses within this class of gauges is given.
A possible application of the screening masses for the resummation of the free
energy is discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 17:27:02 GMT""},{""version"":""v2"",""created"":""Fri, 30 Oct 1998 17:28:38 GMT""}]","2007-05-23"
"hep-ph/9809417","Vittorio Lubicz","Vittorio Lubicz","Light quark masses and CKM matrix elements from lattice QCD","5 pages, 4 figures, uses espcrc2.sty (included). Based on invited
  talk given at the QCD 98 Euroconference, Montpellier, France, 2-8 July 1998","Nucl.Phys.Proc.Suppl. 74 (1999) 291-295","10.1016/S0920-5632(99)00180-2",,"hep-ph hep-lat",,"  I give a brief overview of recent results from lattice QCD calculations which
are relevant for the phenomenology of the Standard Model. I discuss, in
particular, the lattice determination of light quark masses and the calculation
of those hadronic quantities, such as semileptonic form factors, decay
constants and B-parameters, which are of particular interest for the analysis
of the CKM mixing matrix and the origin of CP violation.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:23:51 GMT""}]","2009-10-31"
"hep-ph/9809418","Asmaa Abada","A. Abada, J. Matias and R. Pittau (CERN, TH-Division)","Five-leg photon-neutrino interactions","6 pages, axodraw, ltwol2e, 5 figures, contributed paper to the 29th
  International Conference on High Energy Physics (Vancouver)",,,"CERN-TH/98-305, LPTHE Orsay-98/59","hep-ph",,"  In a first part, we justify the feasibility of substituting a photon leg by a
neutrino current in the Euler-Heisenberg Lagrangian to obtain an effective
Lagrangian for the process $\gamma\nu\to\gamma\gamma \nu$ and its crossed
reactions.
  We establish the link between these processes and the four-photon scattering
in both the Standard Model and the effective theory. As an application, we
compute in this effective theory the processes $\gamma\nu\to\gamma\gamma\nu$
and $\gamma\gamma\to\gamma{\nu}\bar\nu$ and show how to use the
$\gamma\gamma\to\gamma\gamma$ results as a check. We settle the question of the
disagreement between two computations in the literature concerning the reaction
$\gamma\gamma\to \gamma \nu\bar\nu$. In the second part, we present results of
the direct computation of the photon-neutrino five-leg processes in the
Standard Model, discuss possible astrophysical implications of our results, and
provide simple fits to the exact expressions.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:09:40 GMT""}]","2007-05-23"
"hep-ph/9809419","Joern Knoll","J. Knoll, Yu. B. Ivanov, D. N. Voskresensky","Towards a Quantum Transport Description of Particles with finite Mass
  Width","Talk presented by J.K. at the Thermal-Field-Theory Workshop, TFT 98,
  Regensburg/Germany, Aug. 10-15, 1998; 10 pages, 2 ps-figures (revised
  version: a few references have been added according to the referee's
  suggestion)",,,"GSI-Preprint-98-34","hep-ph",,"  The effects of the propagation of particles which have a finite life time and
an according width in their mass spectrum are discussed in the context of
transport descriptions. In the first part the coupling of soft photon modes to
a source of charged particles is studied in a classical model which can be
solved completely in analytical terms. The solution corresponds to a
re-summation of certain field theory diagrams. The second part addresses the
derivation of transport equations which also account for the damping width of
the particles. The $\Phi$-derivable method of Baym is used to derive a
self-consistent and conserving scheme. For this scheme a conserved
energy-momentum tensor can be constructed. Furthermore, a kinetic entropy can
be derived which besides the standard quasi-particle part also includes
contributions from fluctuation.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:26:08 GMT""},{""version"":""v2"",""created"":""Fri, 27 Nov 1998 13:25:39 GMT""}]","2013-01-16"
"hep-ph/9809420","Valeri V. Ianovski","I.V. Kolokolov, P.V. Vorob'ev and V.V. Ianovski","Slow Magnetic Monopole: Interaction with Matter and New Possibility of
  Their Detection","LaTeX 23 pages, no figures. This revised version subm to Phys. Rev. D",,,"Talk was given at XXXII PNPI Winter School, St. Petersburg, 1998","hep-ph astro-ph cond-mat.mtrl-sci hep-ex physics.ins-det",,"  The possibility of existence of a magnetic monopole has been surveyed by P.
Dirac even in 1931, and then from the point of view of the modern theory by
A.M. Polyakov and G.~ 'tHooft in 1974. Numerous and unsuccessful attempts of
experimental search for monopole in cosmic rays and on accelerators in high
energy particle collisions have been done. Also the searches have been carried
out in mica for monopole tracks as well as for relict monopoles, entrapped by
ferromagnetic inclusions in iron-ores, moon rock and meteorites. These
entrapped monopoles, when released, would have the lowest velocities
$\beta<10^{-6}$ and do not yield ionization at all, and are hard to detect.
Therefore it is necessary to examine thoroughly the mechanisms of slow heavy
monopole interaction with matter and their scale of energy loss.
  We discuss here the interaction of a massive slow magnetic monopole with
magnetically ordered matter, with conductors, superconductors and with
condensed matter in general. Our results indicate that the energy loss of a
slow supermassive monopole reach $10^{8} eV/cm$ and more if we take into
consideration the Cherenkov radiation of magnons or phonons and conductivity of
the media. A new method of search for cosmic and relict monopoles by
magnetically ordered film is considered too. This approach resembles the
traditional method of nuclear emulsion chamber. Apparently the proposed method
is particularly attractive for detection of relict monopoles, released from
melting iron ore.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 19:35:28 GMT""},{""version"":""v2"",""created"":""Sun, 20 Sep 1998 06:41:12 GMT""},{""version"":""v3"",""created"":""Fri, 3 Dec 1999 07:34:35 GMT""}]","2007-05-23"
"hep-ph/9809421","Kaustubh Agashe","Kaustubh Agashe (LBNL and ITS, University of Oregon)","GUT and SUSY Breaking by the Same Field","LaTeX, 14 pages","Phys.Lett.B444:61-67,1998","10.1016/S0370-2693(98)01310-0","LBNL-42271, OITS-659","hep-ph",,"  We present a model in which the same modulus field breaks both SUSY and a
simple GUT gauge group down to the SM gauge group. The modulus is stabilized by
the inverted hierarchy mechanism in a perturbative region so that the model is
calculable. This is the first example of this kind in the literature. All mass
scales (other than the Planck scale) are generated dynamically. In one of the
models doublet-triplet splitting is achieved naturally by the sliding singlet
mechanism while another model requires fine tuning. The gauge mediation
contribution to the right handed slepton (mass)$^2$ is negative. But, for the
modulus vacuum expectation value close to the GUT scale, the supergravity
contribution to the slepton (mass)$^2$ is comparable to the gauge mediation
contribution and thus a realistic spectrum can be attained.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 21:16:27 GMT""}]","2014-11-17"
"hep-ph/9809422","Nir Polonsky","Nir Polonsky","Supergravity Miracles: Phenomenology with Gravitational Divergences","5 pages. LaTex + sprocl.sty (included). Talk presented at PASCOS-98",,,"RU-98-31","hep-ph",,"  The properties of singlet fields in supergravity background are discussed.
Particularly, it is shown that the ${\cal{O}}(\Lambda^{2})$ contributions to
their one-point function lead to novel derivations of effective scales such as
the $\mu$ parameter, a messenger scale, an intermediate symmetry-breaking
scale, and the unification scale, in terms of the scale of spontaneous
supersymmetry-breaking in a hidden sector.The singlet one-point function
effectively serves as a messenger of supersymmetry breaking.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 21:25:45 GMT""}]","2007-05-23"
"hep-ph/9809423","Zoltan Ligeti","Andre H. Hoang, Zoltan Ligeti and Aneesh V. Manohar","B decay and the Upsilon mass","8 pages revtex","Phys.Rev.Lett. 82 (1999) 277-280","10.1103/PhysRevLett.82.277","UCSD/PTH 98-31","hep-ph",,"  Theoretical predictions for inclusive semileptonic B decay rates are
rewritten in terms of the Upsilon(1S) meson mass instead of the b quark mass,
using a modified perturbation expansion. This method gives theoretically
consistent and phenomenologically useful results. Perturbation theory is well
behaved, and the largest theoretical error in the predictions coming from the
uncertainty in the quark mass is eliminated. The results are applied to the
determination of $|V_{cb}|$, $|V_{ub}|$, and $\lambda_1$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 01:12:16 GMT""}]","2009-10-31"
"hep-ph/9809424","Sandhya","Sandhya Choubey, Debasish Majumdar and Kamales Kar","Effect of Flavour Oscillations on the Detection of Supernova Neutrinos","13 pages LaTeX, 2 postscript figures","J.Phys.G25:1001-1008,1999","10.1088/0954-3899/25/5/305","SINP/TNP/98-23","hep-ph",,"  Neutrinos and antineutrinos of all three flavours are emitted during the post
bounce phase of a core collapse supernova with $\numu/\nutau (\anumu/\anutau)$
having average energies more than that of $\nue(\anue)$. They can be detected
by the new earth bound detector like SNO and Super-Kamiokande which are
sensitive to neutrinos of all three flavours. In this letter we consider the
effect of flavour oscillations on the neutrino flux and their expected number
of events at the detector. We do a three-generation analysis and for the mass
and mixing schemes we first consider the threefold maximal mixing model
consistent with the solar and the atmospheric neutrino data and next a scenario
with one $\Delta m^2 \sim 10^{-11} eV^2$ (solar range) and the other $\Delta
m^2 \sim 10^{-18} eV^2$, for which the oscillation length is of the order of
the supernova distance. In both these scenarios there are no matter effects in
the resultant neutrino spectrum and one is concerned with vacuum oscillations.
We find that though neutrino oscillations result in a depletion in the number
of $\nue$ and $\anue$ coming from the supernova, the actual signals at the
detectors are appreciable enhanced.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:02:17 GMT""}]","2008-11-26"
"hep-ph/9809425","H. Sazdjian","H. Sazdjian (U. of Orsay)","Pionium lifetime corrections","9 pages, Latex. Uses Dubna98.sty. Talk given at the Int. Workshop
  ""Hadronic Atoms and Positronium in the Standard Model"", Dubna, 26-31 May
  1998. To appear in the Proceedings","Proceedings, Dubna (1998) 50-58",,,"hep-ph",,"  Pionium lifetime corrections are evaluated in the frameworks of constrained
Bethe-Salpeter equation and chiral perturbation theory. Corrections of order
$O(\alpha)$ are calculated with respect to the conventional lowest-order
formula, in which the strong interaction amplitude has been calculated to
two-loop order with charged pion masses. The total correction is found to be of
the order of $(6.1\pm 2.0)%$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 07:42:23 GMT""}]","2011-02-09"
"hep-ph/9809426","Yasunori Nomura","K. Hamaguchi, Yasunori Nomura, and T. Yanagida","Long Lived Superheavy Dark Matter with Discrete Gauge Symmetries","27 pages, Latex","Phys.Rev.D59:063507,1999","10.1103/PhysRevD.59.063507","UT-825","hep-ph astro-ph",,"  The recently observed ultra-high energy (UHE) cosmic rays beyond the
Greisen-Zatsepin-Kuzmin bound can be explained by the decays of some superheavy
$X$ particles forming a part of dark matter in our universe. We consider
various discrete gauge symmetries ${\bf Z}_N$ to ensure the required long
lifetime ($\tau_X \simeq 10^{10}-10^{22} years$) of the $X$ particle to explain
the UHE cosmic rays in the minimal supersymmetric standard model (MSSM) with
massive Majorana neutrinos. We show that there is no anomaly-free discrete
gauge symmetry to make the lifetime of the $X$ particle sufficiently long in
the MSSM with the $X$ particle. We find, however, possible solutions to this
problem especially by enlarging the particle contents in the MSSM. We show a
number of solutions introducing an extra pair of singlets $Y$ and $\bar{Y}$
which have fractional ${\bf Z}_N$ (N=2,3) charges. The present experimental
constraints on the $X$ particle are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:13:15 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jan 1999 03:12:20 GMT""}]","2009-09-29"
"hep-ph/9809427","Raju Venugopalan","Larry McLerran (Minnesota) and Raju Venugopalan (NBI)","Fock Space Distributions, Structure Functions, Higher Twists and Small x","52 pages Latex, Revised with minor typos corrected","Phys.Rev. D59 (1999) 094002","10.1103/PhysRevD.59.094002","NBI-98-25,TPI-MINN-98/16-T","hep-ph nucl-th",,"  We compute quark structure functions and the intrinsic Fock space
distribution of sea quarks in a hadron wavefunction at small x. The computation
is performed in an effective theory at small x where the gluon field is treated
classically. At $Q^2$ large compared to an intrinsic scale associated with the
density of gluons $\mu^2$, large compared to the QCD scale $\Lambda^2_{QCD}$,
and large compared to the quark mass squared $M^2$, the Fock space distribution
of quarks is identical to the distribution function measured in deep inelastic
scattering. For $Q^2 \le M^2$ but $Q^2 >> \mu^2$, the quark distribution is
computed in terms of the gluon distribution function and explicit expressions
are obtained. For $Q^2 \le \mu^2$ but $Q^2 >> \Lambda_{QCD}^2$ we obtain formal
expressions for the quark distribution functions in terms of the glue. An
evaluation of these requires a renormalization group analysis of the gluon
distribution function in the regime of high parton density. For light quarks at
high $Q^2$, the DGLAP flavor singlet evolution equations for the parton
distributions are recovered. Explicit expressions are given for heavy quark
structure functions at small x.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:14:51 GMT""},{""version"":""v2"",""created"":""Sat, 3 Apr 1999 23:14:21 GMT""}]","2009-10-31"
"hep-ph/9809428","Baacke","J. Baacke and H. Sprenger","The nucleon in the chiral quark model: an alternative computation scheme","33 pages, 9 figures","Phys.Rev. D60 (1999) 054017","10.1103/PhysRevD.60.054017","DO-TH-98/19","hep-ph nucl-th",,"  We formulate the quark sea contributions to the energy and various physical
observables in terms of Euclidean Green functions and their K-spin partial wave
reduction. In this framework it is not necessary to discretize the continuous
spectrum by introducing a finite boundary. Using this formulation we perform a
new self-consistent computation of the nucleon state in the Nambu-Jona-Lasinio
model. Besides this technical advantage such an alternative computation scheme
makes it possible to obtain the numerical predictions of the model in an
entirely independent way. We use the Pauli-Villars cutoff to define the model.
Our results for the nucleon energy, the mesonic profile, and various
observables essentially confirm results obtained by other groups using this
regularization. The results for $g\sub{A}$, obtained on the basis of quark
currents, are close to the experimental value.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 09:07:53 GMT""},{""version"":""v2"",""created"":""Wed, 5 May 1999 14:03:15 GMT""}]","2009-10-31"
"hep-ph/9809429","E. W. N. Glover","J. M. Campbell (Fermilab), M.A. Cullen and E. W. N. Glover (Durham
  University)","Four jet event shapes in electron-positron annihilation","41 pages, LaTeX, 16 figures, discussion of Aplanarity added","Eur.Phys.J.C9:245-265,1999","10.1007/s100529900034","DTP/98/58","hep-ph",,"  We report next-to-leading order perturbative QCD predictions of 4 jet event
shape variables for the process e+e- \to 4 jets obtained using the general
purpose Monte Carlo EERAD2. This program is based on the known `squared' one
loop matrix elements for the virtual \gamma^* \to 4 parton contribution and
squared matrix elements for 5 parton production. To combine the two distinct
final states numerically we present a hybrid of the commonly used subtraction
and slicing schemes based on the colour antenna structure of the final state
which can be readily applied to other processes. We have checked that the
numerical results obtained with EERAD2 are consistent with next-to-leading
order estimates of the distributions of previously determined four jet-like
event variables. We also report the next-to-leading order scale independent
coefficients for some previously uncalculated observables; the light hemisphere
mass, narrow jet broadening, Aplanarity and the 4 jet transition variables with
respect to the JADE and Geneva jet finding algorithms. For each of these
observables, the next-to-leading order corrections calculated at the physical
scale significantly increase the rate compared to leading order (the K factor
is approximately 1.5 -- 2). With the exception of the 4 jet transition
variables, the published DELPHI data lies well above the O(\alpha_s^3)
predictions. The renormalisation scale uncertainty is still large and in most
cases the data prefers a scale significantly smaller than the physical scale.
This situation is reminiscent of that for three jet shape variables, and should
be improved by the inclusion of power corrections and resummation of large
infrared logarithms.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:42:14 GMT""},{""version"":""v2"",""created"":""Tue, 17 Nov 1998 10:36:19 GMT""}]","2008-11-26"
"hep-ph/9809430","Claude Bourrely","C. Bourrely and J. Soffer","Proton-helium elastic scattering: a possible high-energy polarimeter at
  RHIC-BNL","8 pages, Latex, 4 figures","Phys.Lett. B442 (1998) 479-483","10.1016/S0370-2693(98)01272-6","CPT-98/P.3688","hep-ph",,"  We examine a suggestion to use ${p-} ^4{He}$ elastic scattering, as an
absolute polarimeter for high-energy polarized proton beams, by means of a
Coulomb-Nuclear Interference effect for the single-spin asymmetry $A_N(t)$,
around the diffractive minimum of the differential cross section $|t|\sim 0.21
GeV^2$. Although this reaction has a fairly simple dynamical structure, our
theoretical uncertainties and the present experimental inaccuracy of the
differential cross section in this $t$ region, allows one to generate dramatic
effects for $A_N(t)$, which will be discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 09:49:59 GMT""}]","2009-10-31"
"hep-ph/9809432","Jan Govaerts","Jan Govaerts (Univ. of Louvain, Belgium)","Symmetry Tests within the Standard Model and Beyond from Nuclear Muon
  Capture","12 pages, LaTeX file",,"10.1023/A:1012668032143",,"hep-ph nucl-th",,"  Precision measurements in nuclear muon capture on the proton and $^3$He allow
for tests of the Standard Model for the strong and electroweak interactions,
complementary to those achieved in high energy experiments. The present
situation and future prospects are reviewed, emphasizing where renewed efforts
could prove to be rewarding in exploring ever further beyond the confines of
the Standard Model.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 11:55:09 GMT""}]","2009-10-31"
"hep-ph/9809433","Raju Venugopalan","Alex Krasnitz (University of the Algarve) and Raju Venugopalan (NBI)","Non-perturbative computation of gluon mini-jet production in nuclear
  collisions at very high energies","50 pages Latex, includes 7 figures, revised version, Nuclear Physics
  B, in press","Nucl.Phys. B557 (1999) 237","10.1016/S0550-3213(99)00366-1","NBI-98-21, UALG/TP/98-6","hep-ph hep-lat nucl-th",,"  At very high energies, in the infinite momentum frame and in light cone
gauge, a hard scale proportional to the high parton density arises in QCD. In
an effective theory of QCD at small $x$, this scale is of order $\alpha_S\mu$,
where $\mu$ is simply related to the gluon density at higher rapidities. The ab
initio real time evolution of small $x$ modes in a nuclear collision can be
described consistently in the classical effective theory and various features
of interest can be studied non-perturbatively. In this paper, we discuss
results from a real time lattice computation of the production of gluon jets at
very high energies. At very large transverse momenta, $k_t\geq \mu$, our
results match the predictions from pQCD based mini-jet calculations. Novel
non-perturbative behaviour of the small $x$ modes is seen at smaller momenta
$k_t\sim \alpha_S\mu$. Gauge invariant energy-energy correlators are used to
estimate energy distributions evolving in proper time.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:13:35 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jul 1999 04:45:43 GMT""}]","2009-10-31"
"hep-ph/9809434","Tarasov A. V.","L. Afanasyev and O. Voskresenskaya (JINR, Dubna)","The eikonal approach to calculation of the multiphoton exchange
  contributions to the total cross sections of \pi^+pi^- atom interaction with
  ordinary atoms","5 pages, LaTeX2e, 4 PostScript figure",,,,"hep-ph",,"  The total cross sections of interaction of relativistic \pi^+\pi^- atom with
ordinary atoms are obtained in the eikonal approach, which takes into
consideration all multiphoton exchange processes. Contribution of these
processes strongly depends on the atom nucleus charge Z and varies from 1.5%
for Titanium (Z=22) to 14% for Tantalum (Z=73)
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:17:52 GMT""},{""version"":""v2"",""created"":""Thu, 24 Sep 1998 14:27:04 GMT""},{""version"":""v3"",""created"":""Mon, 11 Jan 1999 09:32:58 GMT""}]","2007-05-23"
"hep-ph/9809435","Kari Rummukainen","K. Kajantie, M. Laine, K. Rummukainen, M. Shaposhnikov and M. Tsypin","The universal properties of the electroweak phase transition","Talk presented by K.R. at the 5th International Workshop on Thermal
  Field Theory and their applications, Regensburg, Germany, August 1998",,,"NORDITA-98/69HE","hep-ph",,"  The first order electroweak phase transition in the Standard Model turns into
a regular cross-over at a critical Higgs mass m_{H,c} approximately 75 GeV. At
the critical point the transition is of second order. We make a detailed
investigation of the critical properties of the electroweak theory at the
critical point, and we find that the transition falls into the 3d Ising
universality class. The continuum limit extrapolation of the critical Higgs
mass is m_{H,c} = 72(2) GeV, which implies that there is no electroweak phase
transition in the Standard Model.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:08:19 GMT""}]","2007-05-23"
"hep-ph/9809436","Owe Philipsen","Owe Philipsen","Confinement vs. screening in 3d (effective high T) gauge theories","7 pages Latex, Figure labels, captions and typos corrected",,,"HD-THEP-98-47","hep-ph",,"  The physics of electric and magnetic screening in non-Abelian finite
temperature field theory is closely related to the non-perturbative properties
of the corresponding three-dimensional effective theories which are confining.
I discuss recent lattice results obtained for the mass spectrum, string tension
and the static potential in SU(2) pure gauge theory and the SU(2) Higgs model
and their connection to screening masses. The non-perturbative $O(g_3^2)$
corrections to the Debye mass are evaluated.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:20:01 GMT""},{""version"":""v2"",""created"":""Mon, 5 Oct 1998 08:25:28 GMT""}]","2007-05-23"
"hep-th/9809119","Jan Govaerts","Jan Govaerts (Univ. of Louvain, Belgium) and John R. Klauder (Univ. of
  Florida, Gainesville, USA)","Solving Gauge Invariant Systems without Gauge Fixing: the Physical
  Projector in 0+1 Dimensional Theories","32 pages, LaTeX file","Annals Phys. 274 (1999) 251-288","10.1006/aphy.1999.5917",,"hep-th math-ph math.MP quant-ph",,"  The projector onto gauge invariant physical states was recently constructed
for arbitrary constrained systems. This approach, which does not require gauge
fixing nor any additional degrees of freedom beyond the original ones---two
characteristic features of all other available methods for quantising
constrained dynamics---is put to work in the context of a general class of
quantum mechanical gauge invariant systems. The cases of SO(2) and SO(3) gauge
groups are considered specifically, and a comprehensive understanding of the
corresponding physical spectra is achieved in a straightforward manner, using
only standard methods of coherent states and group theory which are directly
amenable to generalisation to other Lie algebras. Results extend by far the few
examples available in the literature from much more subtle and delicate
analyses implying gauge fixing and the characterization of modular space.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:34:14 GMT""}]","2009-10-31"
"hep-th/9809120","Oleksandr Pavlyk","Paolo Budinich","On conformal reflections in compactified phase space","13 pages, no figures, requires JHEP.cls","AIP Conf.Proc.453:186-198,1998","10.1063/1.57096",,"hep-th",,"  Some results from arguments of research dealt with R. Raczka are exposed and
extended. In particular new arguments are brought in favor of the conjecture,
formulated with him, that both space-time and momentum may be conformally
compactified, building up a compact phase space of automorphism for the
conformal group, where conformal reflections determine a convolution between
space-time and momentum space which may have consequences of interest for both
classical and quantum physics.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:58:19 GMT""}]","2010-12-13"
"hep-th/9809121","Sergei Ketov","Sergei V. Ketov (ITP, University of Hannover)","A manifestly N=2 supersymmetric Born-Infeld action","11 pages, LaTeX, eq.(42) is corrected","Mod.Phys.Lett. A14 (1999) 501-510","10.1142/S0217732399000559","DESY 98--138 and ITP-UH-22/98","hep-th",,"  A manifestly N=2 supersymmetric completion of the four-dimensional
Nambu-Goto-Born-Infeld action, which is self-dual with respect to
electric-magnetic duality, is constructed in terms of the abelian N=2
superfield strength W in the conventional N=2 superspace. A relation to the
known N=1 supersymmetric Born-Infeld action in N=1 superspace is established.
The action found can be considered either as the Goldstone action associated
with partial breaking of N=4 supersymmetry down to N=2, with the N=2 vector
superfield being a Goldstone field, or, equivalently, as the gauge-fixed
superfield action of a D-3-brane in flat six-dimensional ambient spacetime.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 19:23:38 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 17:17:36 GMT""},{""version"":""v3"",""created"":""Fri, 20 Nov 1998 15:33:19 GMT""},{""version"":""v4"",""created"":""Wed, 25 Nov 1998 18:36:24 GMT""},{""version"":""v5"",""created"":""Thu, 28 Jan 1999 11:16:42 GMT""}]","2009-10-31"
