"astro-ph/9809163","Arnon Dar","Arnon Dar","Cosmic Rays and Gamma Ray Bursts From Microblazars","Cosmic rays above the GZK cutoff will be discussed in a separate
  publication",,,,"astro-ph hep-ph",,"  Highly relativistic jets from merger and accretion induced collapse of
compact stellar objects, which may produce the cosmological gamma ray bursts
(GRBs), are also very efficient and powerful cosmic ray accelerators. The
expected luminosity, energy spectrum and chemical composition of cosmic rays
from Galactic GRBs, most of which do not point in our direction, can explain
the observed properties of Galactic cosmic rays.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 17:29:58 GMT""}]","2007-05-23"
"hep-th/9809095","Michele Caselle","M.Billo', M.Caselle, A.D'Adda and P.Provero","Matrix string states in pure 2d Yang Mills theories","Latex file of 38 pages plus 6 eps figures. A note and few references
  added, figures improved","Nucl.Phys. B543 (1999) 141-169","10.1016/S0550-3213(98)00865-7","DFTT 56/98","hep-th",,"  We quantize pure 2d Yang-Mills theory on a torus in the gauge where the field
strength is diagonal. Because of the topological obstructions to a global
smooth diagonalization, we find string-like states in the spectrum similar to
the ones introduced by various authors in Matrix string theory. We write
explicitly the partition function, which generalizes the one already known in
the literature, and we discuss the role of these states in preserving modular
invariance. Some speculations are presented about the interpretation of 2d
Yang-Mills theory as a Matrix string theory.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:09:31 GMT""},{""version"":""v2"",""created"":""Wed, 4 Nov 1998 10:04:24 GMT""}]","2009-10-31"
"hep-th/9809096","Anastasios Petkou","Anastasios C. Petkou and Nicholas D. Vlachos","Finite-Size and Finite-Temperature Effects in the Conformally Invariant
  O(N) Vector Model for 2<d<4","4 pages, 2 eps figures, work presented at the 5th International
  Workshop on Thermal Field Theories and Their Applications, Regensburg,
  Germany, August 10-14, 1998",,,"DO-TH 98/17, THES-TP 98/7","hep-th cond-mat.stat-mech hep-ph",,"  We study the operator product expansion (OPE) of the auxiliary scalar field
\lambda(x) with itself, in the conformally invariant O(N) Vector Model for
2<d<4, to leading order in 1/N in a strip-like geometry with one finite
dimension of length L. We show that consistency of the finite-geometry OPE with
bulk OPE calculations requires the physical conditions of, either finite-size
scaling at criticality, or finite-temperature phase transition.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:38:16 GMT""},{""version"":""v2"",""created"":""Mon, 9 Nov 1998 09:01:00 GMT""}]","2007-05-23"
"math/9809067","Alessandro Verra","A. Verra (University of Roma Tre)","The degree of the Gauss map for a general Prym Theta Divisor","25 pages",,,,"math.AG",,"  Refereed version to appear on Journal of Algebraic Geometry. Unchanged
content. Strongly ameliorated presentation thanks to referee's action.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:06:01 GMT""},{""version"":""v2"",""created"":""Tue, 15 Sep 1998 06:38:17 GMT""},{""version"":""v3"",""created"":""Fri, 8 Sep 2000 11:52:38 GMT""}]","2007-05-23"
"math/9809071","J. Maurice Rojas","J. Maurice Rojas","Solving Degenerate Sparse Polynomial Systems Faster","This is the final journal version of math.AG/9702222 (``Toric
  Generalized Characteristic Polynomials''). This final version is a major
  revision with several new theorems, examples, and references. The prior
  results are also significantly improved",,,,"math.AG cs.CC cs.NA math.NA",,"  Consider a system F of n polynomial equations in n unknowns, over an
algebraically closed field of arbitrary characteristic. We present a fast
method to find a point in every irreducible component of the zero set Z of F.
Our techniques allow us to sharpen and lower prior complexity bounds for this
problem by fully taking into account the monomial term structure. As a
corollary of our development we also obtain new explicit formulae for the exact
number of isolated roots of F and the intersection multiplicity of the
positive-dimensional part of Z. Finally, we present a combinatorial
construction of non-degenerate polynomial systems, with specified monomial term
structure and maximally many isolated roots, which may be of independent
interest.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 07:46:19 GMT""},{""version"":""v2"",""created"":""Tue, 15 Sep 1998 03:05:13 GMT""}]","2007-05-23"
"math/9809072","Mark Gross","Mark Gross","Special Lagrangian Fibrations II: Geometry","72 Pages; Minor changes in the text and reference added",,,,"math.AG math.DG",,"  We continue the study of the Strominger-Yau-Zaslow mirror symmetry
conjecture. Roughly put, this states that if two Calabi-Yau manifolds X and Y
are mirror partners, then X and Y have special Lagrangian torus fibrations
which are dual to each other. Much work on this conjecture is necessarily of a
speculative nature, as in dimension 3 it is still a very difficult problem of
how to construct such fibrations. Nevertheless, assuming the existence of such
fibrations there are many things one can prove. This paper covers a number of
issues. First it applies results from the theory of completely integrable
hamiltonian systems to understand some aspects of the geometry of such
fibrations. From this, using reasonable regularity assumptions on the
fibrations, one can understand how the cohomology of dual fibrations are
related. We then study the question of how, given one such fibration, one would
put a symplectic and complex structure on the dual fibrations, generalising
work of Hitchin. While this question cannot be answered at this stage, these
results should give insight into the nature of the problem. We sum up these
ideas in a refined version of the Strominger-Yau-Zaslow conjecture.
  Finally, to give evidence for this conjecture, we prove it explicitly for K3
surfaces. One finds a construction of mirror symmetry for K3 surfaces which
does not require the use of Torelli theorems, and is much more differential
geometric in nature than previous constructions.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:16:24 GMT""},{""version"":""v2"",""created"":""Thu, 25 Feb 1999 13:39:09 GMT""}]","2007-05-23"
"nucl-th/9809038","Kenichi Matsuyanagi","Masayuki Yamagami and Kenichi Matsuyanagi","Exotic Shapes in ^{32}S suggested by the Symmetry-Unrestricted Cranked
  Hartree-Fock Calculations","10 pages including 6 PS figures, Talk at the Nuclear Structure '98
  International Conference","AIPConf.Proc.381:327-332,1999","10.1063/1.59518","Kyoto University preprint KUNS1529","nucl-th",,"  High-spin structure of ^{32}S is investigated by means of the cranked
Skyrme-Hartree-Fock method in the three-dimensional Cartesian-mesh
representation. Some interesting suggestions are obtained: 1) An internal
structure change (toward hyperdeformation) may occur at I>20 in the
superdeformed band, 2) A non-axial Y_{31} deformed band may appear in the yrast
line with 4<I<14.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 09:35:13 GMT""}]","2009-10-31"
"nucl-th/9809039","Wojciech Broniowski","W. Broniowski, W. Florkowski (INP, Cracow), and B. Hiller (Coimbra)","omega -> pi pi decay in nuclear medium","8 pages","Acta Phys.Polon. B30 (1999) 1079-1086",,"INP 1803/PH","nucl-th hep-ph",,"  We calculate the width for the omega -> pi pi decay in nuclear medium. Chiral
dynamics and low-density approximation are used. At densities around twice the
nuclear saturation density we estimate the partial width for the decay of the
longitudinal mode to be of the order of a few tens of MeV, and for the
transverse mode a few times less.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 10:10:57 GMT""}]","2007-05-23"
"nucl-th/9809040","C. Ciofi degli Atti","C. Ciofi degli Atti, D. Faralli, A. Yu. Umnikov, L. P. Kaptari","Relativistic Structure of the Deuteron: 1.Electro-disintegration and
  y-scaling","32 LaTeX pages, 18 eps-figures. Final version to appear in Phys. Rev.
  C","Phys.Rev.C60:034003,1999","10.1103/PhysRevC.60.034003",,"nucl-th",,"  Realistic solutions of the spinor-spinor Bethe-Salpeter equation for the
deuteron with realistic interaction kernel including the exchange of pi, sigma,
omega, rho, eta and delta mesons, are used to systematically investigate
relativistic effects in inclusive quasi-elastic electron-deuteron scattering
within the relativistic impulse approximation. Relativistic y-scaling is
considered by generalising the non relativistic scaling function to the
relativistic case, and it is shown that y-scaling does occur in the usual
relativistic scaling variable resulting from the energy conservation in the
instant form of dynamics. The present approach of y-scaling is fully covariant,
with the deuteron being described by eight components, viz. the 3S_1^{++},
3S_1^{--}, 3D_1^{++}, 3D_1^{--}, 3P_1^{+-}, 3P_1^{-+}, 1P_1^{+-}, 1P_1^{-+}
waves. It is demonstrated that if the negative relative energy states 1P_1,
3P_1 are disregarded, the concept of covariant momentum distributions N(p_0,p),
with p_0=M_D/2-\sqrt{p^2+m^2}, can be introduced, and that calculations of
lectro-disintegration cross section in terms of these distributions agree
within few percents with the exact calculations which include the 1P_1, 3P_1
states, provided the nucleon three momentum |p|\<= 1 GeV/c; in this momentum
range, the asymptotic relativistic scaling function is shown to coincide with
the longitudinal covariant momentum distribution.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 11:32:03 GMT""},{""version"":""v2"",""created"":""Tue, 25 May 1999 15:24:37 GMT""}]","2011-07-19"
"nucl-th/9809041","Serguei L. Yakovlev","S.L.Yakovlev, I.N.Filikhin","Low-energy scattering in four nucleon systems. Method of Cluster
  Reduction","LaTeX, Contribution to 16 European Conference on Few-Body Problems in
  Physics. Autrans (France) June 1-6 1998","Few Body Syst.Suppl.10:37-40,1999",,,"nucl-th",,"  A method using an expansion of the four-body Yakubovsky wave function
components onto the basis of the Faddeev-equation solutions for the two-cluster
sub-Hamiltonian eigenfunctions is exploited for computations of low-energy
scattering parameters in four nucleon systems. Results of calculations of
low-energy scattering parameters in $n-{^3}$H, $n-{^3}$He are presented.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 11:56:32 GMT""}]","2011-04-15"
"nucl-th/9809042","Chris Batty","C.J.Batty (Rutherford Appleton Lab.), E.Friedman and A.Gal (Racah
  Institute of Physics, The Hebrew University, Jerusalem)","Experiments with $\Xi^-$ atoms","27 pages, 12 figures","Phys.Rev.C59:295-304,1999","10.1103/PhysRevC.59.295",,"nucl-th",,"  Experiments with $\Xi^-$ atoms are proposed in order to study the nuclear
interaction of $\Xi$ hyperons. The production of $\Xi^-$ in the ($K^{-}$,
$K^{+}$) reaction, the $\Xi^-$ stopping in matter, and its atomic cascade are
incorporated within a realistic evaluation of the results expected for $\Xi^-$
X-ray spectra across the periodic table, using an assumed $\Xi$-nucleus optical
potential $V_{opt}$. Several optimal targets for measuring the
strong-interaction shift and width of the X-ray transition to the `last' atomic
level observed are singled out: F, Cl, I, Pb. The sensitivity of these
observables to the parameters of $V_{opt}$ is considered. The relevance of such
experiments is discussed in the context of strangeness -2 nuclear physics and
multistrange nuclear matter. Finally, with particular reference to searches for
the $H$ dibaryon, the properties of $\Xi^-d$ atoms are also discussed. The role
of Stark mixing, its effect on $S$ and $P$ state capture of $\Xi^-$ by the
deuteron, together with estimates of the resulting probability for producing
the $H$ dibaryon are considered in detail.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:20:22 GMT""}]","2008-11-26"
"nucl-th/9809043","Christian Fuchs","Z. S. Wang, C. Fuchs, Amand Faessler and T. Gross-Boelting","Kaon squeeze-out in heavy ion reactions","24 pages Latex using Elsevier style, 7 PS figures, accepted for
  publication in Euro. Phys. Jour. A","Eur.Phys.J. A5 (1999) 275-283",,,"nucl-th",,"  The squeeze-out phenomenon of $K^+$ and $K^-$ mesons, i.e. the azimuthal
asymmetry of $K^+$ and $K^-$ mesons emitted at midrapidity in heavy ion
reactions, is investigated for beam energies of 1-2 A.GeV. It is found that the
squeeze-out signal is strongly affected by in-medium potentials of these
mesons. The repulsive $K^+$-nucleus potential gives rise to a pronounced
out-of-plane emission of $K^+$'s at midrapidity. With the $K^+$ potential we
reproduce well the experimental data of the $K^+$ azimuthal distribution. It is
found that the attractive $K^-$-nucleus potential cancels to a large extent the
influence of rescattering and reabsorption of the $K^-$ mesons on the
projectile and target residuals (i.e. shadowing). This results in an
azimuthally isotropic emission of the midrapidity $K^-$ mesons with transverse
momentum up to 0.8 GeV/c. Since it is well accepted that the shadowing alone
would lead to a significant out-of-plane preference of particle emission, in
particular at high transverse momenta, the disappearance of the out-of-plane
preference for the $K^-$ mesons can serve as an unambiguous signal of the
attractive $K^-$ potential. We also apply a covariant formalism of the kaon
dynamics to the squeeze-out phenomenon. Discrepancies between the theory and
the experiments and possible solutions are discussed.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:57:57 GMT""},{""version"":""v2"",""created"":""Fri, 12 Mar 1999 13:50:43 GMT""}]","2007-05-23"
"physics/9809019","Andres Aguado","Andres Aguado, Jose M. Lopez, Julio A. Alonso, and Malcolm J. Stott","Orbital-Free Molecular Dynamics Simulations of Melting in Na8 and Na20:
  Melting in Steps","Revised version, accepted for publication in J. Chem. Phys. The
  changes include longer simulations for the Na20 microcluster, a more complete
  comparison to previous theoretical results, and the discussion of some
  technical details of the method applied","J. Chem. Phys. 111 (1999) 6026","10.1063/1.479899",,"physics.atm-clus cond-mat",,"  The melting-like transitions of Na8 and Na20 are investigated by ab initio
constant energy molecular dynamics simulations, using a variant of the
Car-Parrinello method which employs an explicit electronic kinetic energy
functional of the density, thus avoiding the use of one-particle orbitals.
Several melting indicators are evaluated in order to determine the nature of
the various transitions, and compared with other simulations. Both Na8 and Na20
melt over a wide temperature range. For Na8, a transition is observed to begin
at approx. 110 K, between a rigid phase and a phase involving isomerizations
between the different permutational isomers of the ground state structure. The
``liquid'' phase is completely established at approx. 220 K. For Na20, two
transitions are observed: the first, at approx. 110 K, is associated with
isomerization transitions between those permutational isomers of the ground
state structure which are obtained by interchanging the positions of the
surface-like atoms; the second, at approx. 160 K, involves a structural
transition from the ground state isomer to a new set of isomers with the
surface molten. The cluster is completely ``liquid'' at approx. 220 K.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:54:29 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jul 1999 17:06:27 GMT""}]","2009-10-31"
"quant-ph/9809037","Paul T. Cochrane","P. T. Cochrane, G. J. Milburn and W. J. Munro","Macroscopically distinct quantum superposition states as a bosonic code
  for amplitude damping","4 pages, 2 postscript figures, LaTeX2e, RevTeX, minor changes, 1
  reference added","Phys.Rev. A59 (1999) 2631","10.1103/PhysRevA.59.2631",,"quant-ph",,"  We show how macroscopically distinct quantum superposition states
(Schroedinger cat states) may be used as logical qubit encodings for the
correction of spontaneous emission errors. Spontaneous emission causes a bit
flip error which is easily corrected by a standard error correction circuit.
The method works arbitrarily well as the distance between the amplitudes of the
superposed coherent states increases.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 02:12:53 GMT""},{""version"":""v2"",""created"":""Mon, 23 Nov 1998 06:36:42 GMT""}]","2009-10-31"
