"adap-org/9809002","Sergey Gavrilets","Sergey Gavrilets","Dynamics of clade diversification on the morphological hypercube","8 pages, Latex, 2 postscript figures, submitted to Proc.R.Soc.Lond.B",,,,"adap-org nlin.AO q-bio",,"  Understanding the relationship between taxonomic and morphological changes is
important in identifying the reasons for accelerated morphological
diversification early in the history of animal phyla. Here, a simple general
model describing the joint dynamics of taxonomic diversity and morphological
disparity is presented and applied to the data on the diversification of
blastozoans. I show that the observed patterns of deceleration in clade
diversification can be explicable in terms of the geometric structure of the
morphospace and the effects of extinction and speciation on morphological
disparity without invoking major declines in the size of morphological
transitions or taxonomic turnover rates. The model allows testing of hypotheses
about patterns of diversification and estimation of rates of morphological
evolution. In the case of blastozoans, I find no evidence that major changes in
evolutionary rates and mechanisms are responsible for the deceleration of
morphological diversification seen during the period of this clade's expansion.
At the same time, there is evidence for a moderate decline in overall rates of
morphological diversification concordant with a major change (from positive to
negative values) in the clade's growth rate.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:20:56 GMT""}]","2007-05-23"
"hep-ph/9809404",,"Arjun Berera, Thomas W. Kephart, and Stuart D. Wick","GUT Cosmic Magnetic Fields in a Warm Inflationary Universe","15 pages, Latex, In press Physical Review D","Phys.Rev. D59 (1999) 043510","10.1103/PhysRevD.59.043510","Vand-TH-98-14","hep-ph astro-ph gr-qc hep-th",,"  Sources of magnetic fields from grand unified theories are studied in the
warm inflation regime. A ferromagnetic Savvidy vacuum scenario is presented
that yields observationally interesting large scale magnetic fields. As an
intermediate step, a general analysis is made of defect production at the onset
of warm inflation and monopole constraints are obtained. Many features of this
Savvidy vacuum scenario are applicable within a supercooled inflation regime
and these points are discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 21:16:42 GMT""},{""version"":""v2"",""created"":""Tue, 3 Nov 1998 03:35:09 GMT""}]","2009-10-31"
"hep-ph/9809405","Eric Braaten","Eric Braaten","Bose-Einstein Condensation of Atoms and Thermal Field Theory","7 pages, Revtex, invited talk presented at the workshop on Thermal
  Field Theory, Regensburg, August 1998",,,,"hep-ph",,"  The Bose-Einstein condensation of atoms can be conveniently formulated as a
problem in thermal quantum field theory. There are many properties of the
equilibrium system and its collective excitations that can be studied
experimentally. The remarkable experimental control over all aspects of the
system make it an ideal testing ground for the methods of thermal field theory.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 21:36:27 GMT""},{""version"":""v2"",""created"":""Tue, 24 Nov 1998 18:57:58 GMT""}]","2007-05-23"
"hep-ph/9809406","Keith Dienes","Keith R. Dienes, Emilian Dudas, Tony Gherghetta, Antonio Riotto","Cosmological Phase Transitions and Radius Stabilization in Higher
  Dimensions","37 pages, LaTeX, 5 figures","Nucl.Phys. B543 (1999) 387-422","10.1016/S0550-3213(98)00855-4","CERN-TH/98-259 (September 1998)","hep-ph astro-ph hep-th",,"  Recently there has been considerable interest in field theories and string
theories with large extra spacetime dimensions. In this paper, we explore the
role of such extra dimensions for cosmology, focusing on cosmological phase
transitions in field theory and the Hagedorn transition and radius
stabilization in string theory. In each case, we find that significant
distinctions emerge from the usual case in which such large extra dimensions
are absent. For example, for temperatures larger than the scale of the
compactification radii, we show that the critical temperature above which
symmetry restoration occurs is reduced relative to the usual four-dimensional
case, and consequently cosmological phase transitions in extra dimensions are
delayed. Furthermore, we argue that if phase transitions do occur at
temperatures larger than the compactification scale, then they cannot be of
first-order type. Extending our analysis to string theories with large internal
dimensions, we focus on the Hagedorn transition and the new features that arise
due to the presence of large internal dimensions. We also consider the role of
thermal effects in establishing a potential for the radius of the compactified
dimension, and we use this to propose a thermal mechanism for generating and
stabilizing a large radius of compactification.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 22:13:05 GMT""}]","2009-10-31"
"hep-ph/9809407","Hilmar Forkel","Hilmar Forkel","Fuzzy Bag Models","9 pages, 4 Postscript figures; Corrected typos, minor improvements of
  discussion, results and conclusions unchanged","Phys.Lett. B455 (1999) 49-54","10.1016/S0370-2693(99)00427-X","HD-TVP 97-12","hep-ph nucl-th",,"  We show how hadronic bag models can be generalized to implement effects of a
smooth and extended boundary. Our approach is based on fuzzy set theory and can
be straightforwardly applied to any type of bag model. We illustrate the
underlying ideas by calculating static nucleon properties in a fuzzy chiral bag
model.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 22:29:17 GMT""},{""version"":""v2"",""created"":""Thu, 29 Apr 1999 20:08:47 GMT""}]","2009-10-31"
"hep-ph/9809408","Michael Ogilvie","Andy Gopie and Michael C. Ogilvie","Monte Carlo Estimate of Finite Size Effects in Quark-Gluon Plasma
  Formation","4 pages, RevTex, poster presented at the 5th International Workshop
  on Thermal Field Theories, Regensburg, Germany",,,,"hep-ph",,"  Using lattice simulations of quenched QCD we estimate the finite size effects
present when a gluon plasma equilibrates in a slab geometry, i.e., finite width
but large transverse dimensions. Significant differences are observed in the
free energy density for the slab when compared with bulk behavior. A small
shift in the critical temperature is also seen. The free energy required to
liberate heavy quarks relative to bulk is measured using Polyakov loops; the
additional free energy required is on the order of 30-40 MeV at 2-3 T_c.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 22:40:23 GMT""}]","2007-05-23"
"hep-ph/9809409","Andrei Linde","Jun'ichi Yokoyama and Andrei Linde","Is Warm Inflation Possible?","22 pages, revtex","Phys.Rev.D60:083509,1999","10.1103/PhysRevD.60.083509","SU-ITP-98/52, YITP-98-49","hep-ph astro-ph gr-qc hep-th",,"  We show that it is extremely difficult and perhaps even impossible to have
inflation supported by thermal effects.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 06:00:02 GMT""}]","2009-09-29"
"hep-ph/9809410","Red Hat Linux User","Palash B. Pal, Kamales Kar","How degenerate can cosmological neutrinos be?","5 pages, Latex, uses epsf.sty. (Some details added at the referee's
  request. One reference added.)","Phys.Lett. B451 (1999) 136-139","10.1016/S0370-2693(99)00218-X","SINP/TNP/98-21","hep-ph astro-ph",,"  There are well-known bounds on light neutrino masses from cosmological energy
density arguments. These arguments assume the neutrinos to be non-degenerate.
We show how these bounds are affected if the neutrinos are degenerate. In this
case, we obtain correlated bounds between neutrino mass and degeneracy.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 05:42:51 GMT""},{""version"":""v2"",""created"":""Tue, 9 Feb 1999 09:32:54 GMT""},{""version"":""v3"",""created"":""Mon, 15 Feb 1999 04:55:07 GMT""}]","2009-10-31"
"hep-ph/9809411","Wilhelmus van Neerven","V. Ravindran and W.L. van Neerven","Second order QCD corrections to the forward-backward asymmetry in e^+e^-
  - collisions","11 pages Latex","Phys.Lett. B445 (1998) 214-222","10.1016/S0370-2693(98)01436-1","DESY 98-137","hep-ph",,"  The sentence, 11th line below Eq. (30), starting with ""Further in [14] one
has included all interference terms ...."" is wrong and has been corrected.
Second line below Eq. (40) m_bar(m)=m is replaced by m_bar(\mu_0)=\mu_0 with
\mu_0=4.10 GeV, \mu_0=1.30 GeV and \mu_0=166.1 GeV for bottom, charm and top
respectively. The numbers in the second and third column of table 3 are a
little bit changed. In the acknowledgement the funding agency is mentioned and
one reference i.e. [20] is added.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 08:50:32 GMT""},{""version"":""v2"",""created"":""Thu, 12 Nov 1998 09:49:32 GMT""}]","2009-10-31"
"hep-ph/9809412","Marek Gazdzicki","Marek Gazdzicki","On J/psi Production in Nuclear Collisions","15 pages, 5 figures, significant changes introduced","Phys.Rev. C60 (1999) 054903","10.1103/PhysRevC.60.054903","IKF--HENPG/3--98","hep-ph",,"  Data on J/psi production in inelastic proton-proton, proton-nucleus and
nucleus-nucleus interactions at 158 A GeV are analyzed and it is shown that the
ratio of mean multiplicities of J/psi mesons and pions is the same for all
these collisions. This observation is difficult to understand within current
models of J/psi production in nuclear collisions based on the assumption of
hard QCD creation of charm quarks.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:49:10 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 10:05:25 GMT""},{""version"":""v3"",""created"":""Thu, 26 Nov 1998 18:27:56 GMT""}]","2009-10-31"
"hep-ph/9809413","Avtandil Tkabladze","Wolf-Dieter Nowak and Avto Tkabladze (DESY, Zeuthen)","Double Spin Asymmetries in P-wave Charmonium Hadroproduction","10 pages, LaTeX, with 5 eps figs included with epsfig.sty","Phys.Lett. B443 (1998) 379-386","10.1016/S0370-2693(98)01289-1","DESY 98-139","hep-ph",,"  We discuss the double spin asymmetries in P-wave charmonium hadroproduction
with non-zero transverse momenta at fixed target energies, $\sqrt{s}\simeq40$
GeV, within the framework of the NRQCD factorization approach. The size of the
asymmetries and the projected statistical errors in a future option of HERA
with longitudinally polarized protons scattering off a polarized target
(HERA-$\vec N$) are calculated. Measurements of the $\chi_{c1}$ and $\chi_{c2}$
decays into dilepton plus photon should allow to distinguish between different
parametrizations for the polarized gluon distribution in the proton. At higher
energies ($\sqrt{s}=200$ GeV) the situation appears less favourable with the
presently envisaged integrated luminosities of the polarized RHIC collider.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:37:15 GMT""}]","2009-10-31"
"hep-ph/9809415",,"R. N. Mohapatra and S. Nussinov","Bimaximal Neutrino Mixing and Neutrino Mass Matrix","New material strengthening the argument of the paper added; 10 pages
  latex; UMD-PP-99-20","Phys.Rev. D60 (1999) 013002","10.1103/PhysRevD.60.013002",,"hep-ph",,"  We show that the bimaximal neutrino mixing pattern suggested by the solar and
atmospheric neutrino data can be derived from the maximal, symmetric, four
neutrino mixing in the limit that one of the neutrinos is made heavy. Imposing
the constraints of no neutrinoless double beta decay and a 20% hot dark matter
component of the universe leads to a three neutrino mass matrix recently
suggested by Georgi and Glashow. Our result can be useful in constructing
theoretical models for the bimaximal pattern. We illustrate this by a simple
example.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:58:30 GMT""},{""version"":""v2"",""created"":""Mon, 21 Sep 1998 19:37:14 GMT""},{""version"":""v3"",""created"":""Mon, 30 Nov 1998 16:18:03 GMT""}]","2009-10-31"
"hep-ph/9809416","Xin He Meng","Xin He Meng","Allowed parameter regions for a general inflation moded","5 figs, Latex","Commun.Theor.Phys. 35 (2001) 125-128",,,"hep-ph",,"  The early Universe inflation is well known as a promising theory to explain
the origin of large scale structure of Universe and to solve the early universe
pressing problems. For a resonable inflation model, the potential during
inflation must be very flat in, at least, the direction of the inflaton. To
construct the inflaton potential all the known related astrophysics
observations should be included. For a general tree-level hybrid inflation
potential, which is not discussed fully so far, the parameters in it are shown
how to be constrained via the astrophysics data observed and to be obtained to
the expected accuracy, and consistent cosmology requirements.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:59:49 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 15:44:18 GMT""}]","2007-05-23"
"hep-th/9809106","Akikazu Hashimoto","Akikazu Hashimoto and Yaron Oz","Aspects of QCD Dynamics from String Theory","LaTeX. 13 pages; v2. Minor changes; v3. changes in the detailed form
  of the parameterization of fluctuating degrees of freedom in eqs (2.8) and
  (2.9) and the numerical coefficient of the string tension reported in eqs
  (6.1). Conclusions are unchanged","Nucl.Phys.B548:167-179,1999","10.1016/S0550-3213(99)00120-0","NSF-ITP-98-089, CERN-TH/98-298","hep-th hep-lat hep-ph",,"  We study dynamical aspects of large N QCD_4 via supergravity on Anti de
Sitter black hole geometry. We compute the mass spectrum, the topological
susceptibility and the gluon condensate and make a comparison to lattice
simulations. We present analogous results for QCD_3.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 21:32:42 GMT""},{""version"":""v2"",""created"":""Wed, 3 Feb 1999 05:09:34 GMT""},{""version"":""v3"",""created"":""Wed, 10 Mar 1999 18:32:34 GMT""}]","2009-09-29"
"hep-th/9809110","Petr Jizba","P.Jizba and E.S.Tututi (DAMTP-Cambridge)","The Jaynes-Gibbs principle of maximal entropy and the non-equilibrium
  propagators of the O(N) phi^4 theory at large N","4 pages, REVTeX, no figures, references added, minor corrections in
  text",,,,"hep-th hep-ph",,"  We present a novel procedure for calculating non-equilibrium two-point
Green's functions in the $O(N) \phi^{4}$ theory at large $N$. The
non-equilibrium density matrix $\rho$ is constructed via the Jaynes-Gibbs
principle of maximal entropy and it is directly implemented into the
Dyson-Schwinger equations through initial value conditions. In the large $N$
limit we perform an explicit evaluation of two-point Green's functions for two
illustrative choices of $\rho$.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 20:55:08 GMT""},{""version"":""v2"",""created"":""Thu, 12 Nov 1998 19:31:47 GMT""}]","2007-05-23"
"hep-th/9809111","Ashoke Sen","Ashoke Sen","Type I D-particle and its Interactions","LaTeX file, 13 pages, An additional rule has been given for world
  sheet diagrams with cuts associated with the (-1)^F operator","JHEP 9810:021,1998","10.1088/1126-6708/1998/10/021","MRI-PHY/P980960","hep-th",,"  In a previous paper (hep-th/9808141) we showed that the type I string theory
contains a stable non-BPS D-particle carrying SO(32) spinor charge. In this
paper we formulate the rules for computing the spectrum and interaction of open
strings with one or both ends lying on this D-particle.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:23:02 GMT""},{""version"":""v2"",""created"":""Sun, 20 Sep 1998 10:44:00 GMT""}]","2009-10-31"
"hep-th/9809112","Hagen Kleinert","H. Kleinert, E. Babaev","Two Phase Transitions in Chiral Gross-Neveu Model in $2+ \epsilon$
  Dimensions at Low N","Author Information under
  http://www.physik.fu-berlin.de/~kleinert/institution.html . Latest update of
  paper also at
  http://www.physik.fu-berlin.de/~kleinert/kleiner_re269/preprint.html","Phys.Lett. B438 (1998) 311-320","10.1016/S0370-2693(98)00983-6",,"hep-th",,"  We show that the chiral Gross-Neveu model in $2+ \epsilon$ dimensions has for
a small number $N$ of fermions two phase transitions corresponding to pair
formation and pair condensation.
  In the first transition, fermions and antifermions acquire spontaneously a
mass and are bound to pairs which behave like a Bose liquid in a chirally
symmetric state. In the second transition, the Bose liquid condenses into a
coherent state which breaks chiral symmetry. This suggests the possibility that
in particle physics, the generation of quark masses may also happen separately
from the breakdown of chiral symmetry.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 06:18:20 GMT""}]","2009-10-31"
"hep-th/9809113","Makoto Sakaguchi","M. Sakaguchi","Type-II Superstrings and New Spacetime Superalgebras","18 pages. Latex. typos fixed. references added","Phys.Rev.D59:046007,1999","10.1103/PhysRevD.59.046007","KEK-TH-590, KEK Preprint 98-152","hep-th",,"  We present a geometric formulation of type-IIA and -IIB superstring theories
in which the Wess-Zumino term is second order in the supersymmetric currents.
The currents are constructed using supergroup manifolds corresponding to
superalgebras: the IIA superalgebra derived from M-algebra and the IIB
superalgebra obtained by a T-duality transformation of the IIA superalgebra. We
find that a slight modification of the IIB superalgebra is needed to describe
D-string theories, in which the U(1) gauge field on the worldsheet is
explicitly constructed in terms of D-string charges. A unification of the
superalgebras in a (10+1)-dimensional N=2 superalgebra is discussed too.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 06:29:53 GMT""},{""version"":""v2"",""created"":""Wed, 23 Sep 1998 08:05:16 GMT""}]","2011-04-05"
"hep-th/9809114","Georg Junker","Georg Junker (Institute for Theoretical Physics, University of
  Erlangen-Nurnberg) and John R. Klauder (Departments of Physics and
  Mathematics, University of Florida, Gainesville)","Coherent-state path-integral approach for constrained fermion systems","4 pages, to appear in the proceedings of ""Path-Integrals from peV to
  TeV, Florence, Italy, 25-29 August 1998","in R. Casalbuoni, R.Giachetti, V.Tognetti, R. Vaia, P.Verrucchi,
  eds. ""Path Integrals from peV to TeV: 50 years after Feynman's paper"", (World
  Scientific, Singapore, 1999) pp. 213-216",,,"hep-th math-ph math.MP quant-ph",,"  The coherent-state path-integral representation for the propagator of
fermionic systems subjected to first-class constraints is constructed. As in
the bosonic case the importance of path-integral measures for Lagrange
multipliers is emphasized. One example is discussed in some detail.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 07:39:18 GMT""}]","2007-05-23"
"hep-th/9809115","Janos Polonyi","Janos Polonyi","Path Integral for the Dirac Equation","4 pages, uses sprocl.sty, talk delivered at the the conference
  ""Path-integrals from peV to TeV"", Florence, August, 1998","Phys.Lett. B453 (1999) 40-45","10.1016/S0370-2693(99)00312-3",,"hep-th quant-ph",,"  A path integral representation is given for the solutions of the 3+1
dimensional Dirac equation. The regularity of the trajectories, the
non-relativistic limit and the semiclassical approximation are briefly
mentioned.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 09:02:03 GMT""}]","2009-10-31"
"hep-th/9809116","Janos Polonyi","Janos Polonyi","Path Integral for the Dirac Equation","5 pages, revtex. Argument extended, several equations corrected, more
  references added",,,,"hep-th quant-ph",,"  A c-number path integral representation is constructed for the solution of
the Dirac equation. The integration is over the real trajectories in the
continuous three-space and other two canonical pairs of compact variables
controlling the spin and the chirality flips.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 09:02:56 GMT""},{""version"":""v2"",""created"":""Thu, 18 Feb 1999 16:58:38 GMT""}]","2007-05-23"
"hep-th/9809117","Toshihico Arimitsu","Toshihico Arimitsu","Migration of Unstable Vacuum for Dissipative Systems","10 pages, The 5th International Workshop on Thermal Field Theories
  and Its Applications (TFT98)",,,,"hep-th",,"  Quantum field theory is constructed upon the assumption of stabilities of the
vacuum and of the one-particle state. For finite temperature, the one-particle
state becomes unstable because of thermal fluctuations, whereas the thermal
vacuum is still stable. In non-equilibrium situation, both the vacuum and the
one-particle state lose their stability. Proposed is the introduction of the
{\it reference vacuum} which takes care of thermal and non-adiabatic
time-evolution of a system, and produces a time-dependent Fock's representation
space. This may provide us with an extension of the concept of {\it dynamical
mapping} where a migration among unitary inequivalent representation spaces can
be handled for non-equilibrium and dissipative systems.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 12:42:07 GMT""},{""version"":""v2"",""created"":""Thu, 26 Nov 1998 12:39:37 GMT""}]","2007-05-23"
"hep-th/9809118","Manvelyan Ruben","R. Manvelyan, A. Melikyan, R.Mkrtchyan, H.J.W. Mueller--Kirsten","Light-Cone Formulation of Super D2-Brane","Version accepted for publication in Phys.Lett.B, Latex, 12 pages","Phys.Lett. B444 (1998) 86-91","10.1016/S0370-2693(98)01350-1",,"hep-th",,"  The light-cone Hamiltonian approach is applied to the super D2-brane, and the
equivalent area--preserving and U(1) gauge-invariant effective Lagrangian,
which is quadratic in the U(1) gauge field, is derived. The latter is
recognised to be that of the three-dimensional U(1) gauge theory, interacting
with matter supermultiplets, in a special external induced supergravity metric
and the gravitino field, depending on matter fields. The duality between this
theory and 11d supermembrane theory is demonstrated in the light-cone gauge.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:38:47 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 09:50:34 GMT""},{""version"":""v3"",""created"":""Mon, 26 Oct 1998 18:27:23 GMT""}]","2009-10-31"
"math-ph/9809014","Andrei Starinets","Andrei Starinets","Singleton field theory and Flato - Fronsdal dipole equation","25 pages, 2 figures; significant changes","Lett.Math.Phys. 50 (1999) 283-300",,"NYU-TH-99/09/03","math-ph hep-th math.MP",,"  We study solutions of the equations $(\triangle -\lambda)\phi = 0$ and
$(\triangle -\lambda)^2\phi = 0$ in global coordinates on the covering space
$CAdS_d$ of the $d$-dimensional Anti de-Sitter space subject to various
boundary conditions and their connection to the unitary irreducible
representations of $\widetilde{SO}(d-1,2)$. The ``vanishing flux'' boundary
conditions at spatial infinity lead to the standard quantization scheme for
$CAdS_d$ in which solutions of the second- and the fourth-order equations are
equivalent. To include fields realizing the singleton unitary representation in
the bulk of $CAdS_d$ one has to relax the boundary conditions thus allowing for
the nontrivial space of solutions of the dipole equation known as the Gupta -
Bleuler triplet. We obtain explicit expressions for the modes of the Gupta -
Bleuler triplet and the corresponding two-point function.
  To avoid negative-energy states one must also introduce an additional
constraint in the space of solutions of the dipole equation.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 00:56:03 GMT""},{""version"":""v2"",""created"":""Tue, 24 Nov 1998 19:47:05 GMT""},{""version"":""v3"",""created"":""Thu, 23 Sep 1999 02:40:26 GMT""}]","2007-05-23"
"math-ph/9809015","Mark J. Gotay","Mark J. Gotay (University of Hawai`i)","On the Groenewold-Van Hove problem for R^{2n}","15 pages, Latex. Error in the proof of Prop. 3 corrected; minor
  rewriting","J.Math.Phys. 40 (1999) 2107-2116","10.1063/1.532854",,"math-ph math.MP math.SG quant-ph",,"  We discuss the Groenewold-Van Hove problem for R^{2n}, and completely solve
it when n = 1. We rigorously show that there exists an obstruction to
quantizing the Poisson algebra of polynomials on R^{2n}, thereby filling a gap
in Groenewold's original proof without introducing extra hypotheses. Moreover,
when n = 1 we determine the largest Lie subalgebras of polynomials which can be
unambiguously quantized, and explicitly construct all their possible
quantizations.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 07:39:53 GMT""},{""version"":""v2"",""created"":""Mon, 19 Oct 1998 20:08:47 GMT""}]","2009-10-31"
"math-ph/9809016","Alexander Motovilov","A. K. Motovilov, R. Mennicken","Operator interpretation of resonances arising in spectral problems for
  2x2 matrix Hamiltonians","LaTeX, 8 pages, no figures; Contribution to Proceedings of the
  Conference ``Mathematical Results in Quantum Mechanics (QMath7)'', Prague,
  June 22-26, 1998. Published version of the paper","Operator Theory: Advances and Applications, Vol. 108 (1999), pp.
  315-322",,,"math-ph hep-ph math.MP nucl-th",,"  We consider the analytic continuation of the transfer function for a 2x2
matrix Hamiltonian into the unphysical sheets of the energy Riemann surface. We
construct non-selfadjoint operators representing operator roots of the transfer
function which reproduce certain parts of its spectrum including resonances
situated in the unphysical sheets neighboring the physical sheet. On this
basis, completeness and basis properties for the root vectors of the transfer
function (including those for the resonances) are proved.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:46:53 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 10:45:39 GMT""},{""version"":""v3"",""created"":""Thu, 10 Jun 1999 11:30:36 GMT""}]","2007-05-23"
"math/9809077","Aviezri S. Fraenkel","Aviezri S. Fraenkel and Ofer Rahat","Infinite cyclic impartial games","To appear in Proc. Computer Games 1998",,,,"math.CO",,"  We define the family of {\it locally path-bounded} digraphs, which is a class
of infinite digraphs, and show that on this class it is relatively easy to
compute an optimal strategy (winning or nonlosing); and realize a win, when
possible, in a finite number of moves. This is done by proving that the
Generalized Sprague-Grundy function exists uniquely and has finite values on
this class.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:50:41 GMT""}]","2007-05-23"
"math/9809078","Yuji Hara","Yuji Hara","Free Field Realization of Vertex Operators for Level Two Modules of
  $U_q(\hat{sl(2)})$","15 pages, to appear in J.Phys.A:Math and General","J.Phys.A31:8483-8494,1998","10.1088/0305-4470/31/42/008",,"math.QA",,"  Free field relization of vertex operators for lvel two modules of
$U_q(\hat{sl(2)})$ is shown through the free field relization of the modules
given by Idzumi in Ref.[4,5]. We constructed types I and II vertex operators
when the spin of the addociated evaluation modules is 1/2 and typ II's for the
spin 1.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 07:03:15 GMT""}]","2008-11-26"
"math/9809079","Aviezri S. Fraenkel","Uri Blass, Aviezri S. Fraenkel and Romina Guelman","How far can Nim in disguise be stretched?","To appear in J. Combinatorial Theory (A)",,,,"math.CO",,"  A move in the game of nim consists of taking any positive number of tokens
from a single pile. Suppose we add the class of moves of taking a nonnegative
number of tokens jointly from all the piles. We give a complete answer to the
question which moves in the class can be adjoined without changing the winning
strategy of nim. The results apply to other combinatorial games with unbounded
Sprague-Grundy function values. We formulate two weakened conditions of the
notion of nim-sum 0 for proving the results.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 08:23:10 GMT""}]","2007-05-23"
"math/9809080","Roland Speicher","A. Nica, D. Shlyakhtenko, R. Speicher","Some minimization problems for the free analogue of the Fisher
  information","31 pages, Latex",,,,"math.OA math.PR",,"  We consider the free non-commutative analogue Phi^*, introduced by D.
Voiculescu, of the concept of Fisher information for random variables. We
determine the minimal possible value of Phi^*(a,a^*), if a is a non-commutative
random variable subject to the constraint that the distribution of aa^* is
prescribed. More generally, we obtain the minimal possible value of
Phi^*({a_{ij},a_{ij}^*), if {a_{ij}} is a family of non-commutative random
variables such that the distribution of AA^* is prescribed, where A is the
matrix (a_{ij}). The d*d-generalization is obtained from the case d=1 via a
result of independent interest, concerning the minimal value of
Phi^*({a_{ij},a_{ij}^*), when the matrix A=(a_{ij}) and its adjoint have a
given joint distribution. We then show how the minimization results obtained
for Phi^* lead to maximization results concerning the free entropy chi^*, also
defined by Voiculescu.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:09:40 GMT""}]","2007-05-23"
"math/9809081","Roland Speicher","A. Nica, D. Shlyakhtenko, R. Speicher","Maximality of the microstates free entropy for R-diagonal elements","12 pages, latex2e (using amsart)",,,,"math.OA math.PR",,"  A non-commutative non-selfadjoint random variable z is called R-diagonal, if
its *-distribution is invariant under multiplication by free unitaries: if a
unitary w is *-free from z, then the *-distribution of z is the same as that of
wz. Using Voiculescu's microstates definition of free entropy, we show that the
R-diagonal elements are characterized as having the largest free entropy among
all variables y with a fixed distribution of y^*y. More generally, let Z be a
d*d matrix whose entries are non-commutative random variables X_{ij}. Then the
free entropy of the family {X_{ij}} of the entries of Z is maximal among all Z
with a fixed distribution of Z^*Z, if and only if Z is R-diagonal and is *-free
from the algebra of scalar d*d matrices. The results of this paper are
analogous to the results of our paper ""Some minimization problems for the free
analogue of the Fisher information"", where we considered the same problems in
the framework of the non-microstates definition of free entropy.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:24:38 GMT""}]","2007-05-23"
"math/9809082","Askar Dzhumadildaev","Askar Dzhumadil'daev","Minimal polynomial identities for right-symmetric algebras","20 pages, latex, no figures",,,,"math.RT math.RA",,"  An algebra $A$ with multiplication $A\times A \to A, (a,b)\mapsto a\circ b$,
is called right-symmetric, if $a\circ(b\circ c)-(a\circ b)\circ a\circ (c\circ
b)-(a\circ c)\circ b,$ for any $a,b,c\in A$. The multiplication of
right-symmetric Witt algebras $W_n=\{u\der_i: u\in U, U={\cal K}[x_1^{\pm
1},...,x_n^{\pm}$ or $={\cal K}[x_1,...,x_n], i=1,...,n\}, p=0,$ or $W_n({\bf
m)}=\{u\der_i: u\in U, U=O_n({\bf m})\}$, are given by $u\der_i\circ
v\der_j=v\der_j(u)\der_i.$ An analogue of the Amitsur-Levitzki theorem for
right-symmetric Witt algebras is established. Right-symmetric Witt algebras of
$ satisfy the standard right-symmetric identity of degree $2n+1:$
$\sum_{\sigma\in Sym_{2n}}sign(\sigma)a_{\sigma(1)}\circ(a_{\sigma(2)}\circ
>...(a_{\sigma(2n)}\circ a_{2n+1})...)=0.$ The minimal deg$ left polynomial
identities of $W_n^{rsym}, W_n^{+rsym}, p=0,$ i$ The minimal degree of
multilinear left polynomial identity of $$ is also $2n+1.$ All left polynomial
(also multilinear, if $p>0$) identities of right-symmetric Witt algebras of
minimal $ combinations of left polynomials obtained from standard ones by
permutations of arguments.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:26:10 GMT""}]","2007-05-23"
"math/9809083","Sinan Sertoz","H. Onsiper and S. Sertoz","Generalized Shioda-Inose Structures on K3 Surfaces","LaTeX 2.09, 5 pages, To appear in Manuscripta Math",,,,"math.AG",,"  We examine the finite group actions on K3 and Abelian surfaces giving the
same orbit space after desingularization. We show that when the group is not
Z_2, then the Picard number of the K3 surface must be 19 or 20, and that in the
latter case the Abelian surface is uniquely determined by the K3 surface.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:35:25 GMT""}]","2007-05-23"
