"adap-org/9808001","Kunihiko Kaneko","Kunihiko Kaneko","Life as Complex Systems --- Viewpoint from Intra-Inter Dynamics","20 pages including 1 figure; Complexity, in press",,,,"adap-org nlin.AO q-bio",,"  Basic problems in complex systems are surveyed in connection with Life. As a
key issue for complex systems, complementarity between syntax/rule/parts and
semantics/behavior/whole is stressed. To address the issue, a constructive
approach for a biological system is proposed. As a construction in a computer,
intra-inter dynamics is presented for cell biology, where the following five
general features are drawn from our model experiments; intrinsic
diversification, recursive type formation, rule generation, formation of
internal representation, and macroscopic robustness. Significance of the
constructed logic to the biology of existing organisms is also discussed.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 05:00:41 GMT""}]","2007-05-23"
"math/9808043","Angel Ballesteros Castaneda","Angel Ballesteros, Francisco J. Herranz, Javier Negro and Luis Miguel
  Nieto","On quantum algebra symmetries of discrete Schr\""odinger equations","11 pages, LaTeX",,,"UBU-Dfis-98-02","math.QA math-ph math.MP",,"  Two non-standard quantum deformations of the (1+1) Schr\""odinger algebra are
identified with the symmetry algebras of either a space or time uniform lattice
discretization of the Schr\""odinger equation. For both cases, the deformation
parameter of the corresponding Hopf algebra can be interpreted as the step of
the lattice. In this context, the introduction of nonlinear maps defining
Schr\""odinger and $sl(2,\R)$ quantum algebras with classical commutation rules
turns out to be relevant. The problem of finding a quantum algebra linked to
the full space-time discretization is also discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:47:53 GMT""}]","2007-05-23"
"math/9808044","Oleg V. Goodyckov","Oleg V. Goodyckov","Simple proofing of Jordan's theorem","1 page, 1 picture",,,,"math.GM",,"  Here is present short proofing of Jordan's theorem about dividing of flat on
two disjoint subsets by one closed curve.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 07:51:43 GMT""}]","2007-05-23"
"math/9808045","Ivan Dimitrov","Ivan Dimitrov and Ivan Penkov","Weight modules of direct limit Lie algebras",,,,,"math.RT",,"  In this article we initiate a systematic study of irreducible weight modules
over direct limits of reductive Lie algebras, and in particular over the simple
Lie algebras $A(\infty)$, $B(\infty)$, $C(\infty)$ and $D(\infty)$. Our main
tool is the shadow method introduced recently in \cite{DMP}. The integrable
irreducible modules are an important particular class and we give an explicit
parametrization of the finite integrable modules which are analogues of
finite-dimensional irreducible modules over reductive Lie algebras. We then
introduce the more general class of pseudo highest weight modules. Our most
general result is the description of the support of any irreducible weight
module.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 08:19:27 GMT""}]","2007-05-23"
"math/9808046","Tahl Nowik","Tahl Nowik","Quadruple Points of Regular Homotopies of Surfaces in 3-Manifolds",,,,,"math.GT",,"  Let GI denote the space of all generic immersions of a surface F into a
3-manifold M. Let q(H_t) denote the number mod 2 of quadruple points of a
generic regular homotopy H_t : F -> M. We are interested in defining an
invariant Q : GI -> Z/2 such that q(H_t) = Q(H_0) - Q(H_1) for any generic
regular homotopy H_t : F -> M. Such an invariant exists iff q=0 for any
""closed"" generic regular homotopy (abbreviated CGRH.)
  Max and Banchoff proved that for any CGRH H_t: S^2 -> R^3 indeed q(H_t)=0.
  We generalize their result as follows:
  Theorem 3.9: Let F be a system of closed surfaces, and let H_t : F -> R^3 be
any CGRH, then q(H_t)=0.
  Theorem 3.15: Let M be an orientable irreducible 3-manifold with pi_3(M)=0.
Let F be a system of closed orientable surfaces. If H_t : F -> M is any CGRH in
the regular homotopy class of an embedding, then q(H_t)=0.
  We demonstrate the need for the assumptions of Theorem 3.15 in various
counter-examples.
  We give an explicit formula for the above mentioned invariant Q for
embeddings of a system of tori in R^3.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 08:30:41 GMT""}]","2007-05-23"
"math/9808047","Sergey D. Sinelshchikov","D. Shklyarov, S. Sinel'shchikov, L. Vaksman","On Function Theory in Quantum Disc: Invariant Kernels","LaTeX 2.09, 15 pages",,,,"math.QA math.CV math.FA",,"  In our earlier work math.QA/9808015 some results on integral representations
of functions in quantum disc were announced. It was then shown in
math.QA/9808037 that the validity of those results is related to the invariance
of kernels of some integral operators. We introduce here a method which allows
us to prove the invariance of the above kernels.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 11:05:32 GMT""}]","2007-05-23"
"math/9808048","Youjin Zhang","Boris Dubrovin, Youjin Zhang","Frobenius Manifolds And Virasoro Constraints","Latex, 40 pages",,,"SISSA-84/98/FM, Kyoto-Math 98-12","math.AG hep-th math.DG nlin.SI solv-int",,"  For an arbitrary Frobenius manifold a system of Virasoro constraints is
constructed. In the semisimple case these constraints are proved to hold true
in the genus one approximation. Particularly, the genus $\leq 1$ Virasoro
conjecture of T.Eguchi, K.Hori, M.Jinzenji, and C.-S.Xiong and of S.Katz is
proved for smooth projective varieties having semisimple quantum cohomology.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 11:36:02 GMT""},{""version"":""v2"",""created"":""Mon, 19 Apr 1999 03:49:33 GMT""}]","2007-05-23"
"math/9808049","R. W. R. Darling","R. W. R. Darling","The Repeated Solicitation Model","18 pages 2 figures",,,"NSA Unclassified RWRD01","math.PR",,"  This paper presents a probabilistic analysis of what we call the ""repeated
solicitation model"". To give a specific context, suppose B is a direct
marketing company with a list of S sales prospects. At epoch 1, B sends a
solicitation to every prospect on the list, and elicits X(1) replies. The
company deletes the respondents from the list, and at epoch 2 sends a
solicitation to the other prospects, of whom X(2) respond, and so on. This
continues until an epoch n such that X(n) = 0, which we call epoch T, and then
B makes no further solicitations. We seek (a) the probability distribution of
T; (b) the distribution of the total number of respondents; (c) the expected
total number of solicitations. All three quantities are explicitly computed,
assuming that (i) prospects' response times are independent, and (ii) S is
Poisson distributed.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 14:30:06 GMT""},{""version"":""v2"",""created"":""Tue, 18 Aug 1998 20:34:06 GMT""},{""version"":""v3"",""created"":""Tue, 15 Sep 1998 13:45:28 GMT""}]","2007-05-23"
"math/9808050","Jennifer Morse","L. Lapointe, A. Lascoux, J. Morse","Determinantal expressions for Macdonald polynomials","21 pages, TeX, to be published in IMRN",,,,"math.CO math.QA",,"  We show that the action of classical operators associated to the Macdonald
polynomials on the basis of Schur functions, S_{\lambda}[X(t-1)/(q-1)], can be
reduced to addition in \lambda-rings. This provides explicit formulas for the
Macdonald polynomials expanded in this basis as well as in the ordinary Schur
basis, S_{\lambda}[X], and the monomial basis, m_{\lambda}[X].
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 15:31:03 GMT""}]","2007-05-23"
"nucl-th/9808022","James V. Steele","James V. Steele and R. J. Furnstahl","Removing Pions from Two-Nucleon Effective Field Theory","23 pages, 16 figures, revTeX, minor changes concerning Fig. 7","Nucl.Phys. A645 (1999) 439-461","10.1016/S0375-9474(98)00619-8",,"nucl-th hep-ph",,"  Two-nucleon effective field theory (EFT) beyond momenta of order the pion
mass is studied for both cutoff regularization and dimensional regularization
with power divergence subtraction (PDS). Models with two mass scales illustrate
how effects of long-distance pion physics must be removed from the coefficients
that encode short-distance physics. The modified effective range expansion
shows that treating pions perturbatively, as in the PDS power counting, limits
the radius of convergence of the EFT. Predictions from both regularization
schemes with one-pion contributions are compared to data. The breakdown of the
effective field theory occurs for momenta of order 300 MeV, even using the
modified effective range expansion. This behavior is shown to be consistent
with that expected from two-pion contributions.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 19:59:20 GMT""},{""version"":""v2"",""created"":""Tue, 25 Aug 1998 20:19:03 GMT""},{""version"":""v3"",""created"":""Tue, 24 Nov 1998 18:31:12 GMT""}]","2009-10-31"
"nucl-th/9808023","Raju Venugopalan","Raju Venugopalan (NBI)","Introduction to light cone field theory and high energy scattering","28 pages, LaTeX, invited lectures at Cape Town summer school in
  theoretical physics",,"10.1007/BFb0107312","NBI-98-19","nucl-th hep-ph",,"  In this set of four lectures, we provide an elementary introduction to light
cone field theory and some of its applications in high energy scattering.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 22:18:19 GMT""}]","2009-10-31"
"nucl-th/9808024","Zsolt I. Lazar","Cs. Anderlik, Zs.I. L\'az\'ar, V.K. Magas, L.P. Csernai, H. St\""ocker
  and W. Greiner","Non-ideal Particle Distributions from Kinetic Freeze Out Models","10 pages, 4 figures","Phys.Rev.C59:388-394,1999","10.1103/PhysRevC.59.388",,"nucl-th",,"  In fluid dynamical models the freeze out of particles across a three
dimensional space-time hypersurface is discussed. The calculation of final
momentum distribution of emitted particles is described for freeze out
surfaces, with both space-like and time-like normals, taking into account
conservation laws across the freeze out discontinuity.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 06:01:46 GMT""}]","2008-11-26"
"nucl-th/9808025","David E. Kahana","D. E. Kahana and S. H. Kahana","J/Psi Suppression in Heavy Ion Collisions at the CERN SPS","36 pages (15 figures)",,"10.1016/S0146-6410(99)00082-4",,"nucl-th",,"  We reexamine the production of J/Psi and other charmonium states for a
variety of target-projectile choices at the SPS. For this study we use a newly
constructed cascade code LUCIFER II, which yields acceptable descriptions of
both hard and soft processes, specifically Drell-Yan and hidden charm
production, and soft energy loss and meson production, at the SPS. Glauber
calculations of other authors are redone, and compared directly to the cascade
results. The modeling of the charmonium states differs from that of earlier
workers in its unified treatment of the hidden charm meson spectrum, which is
introduced from the outset as a set of coupled states. The result is a
description of the NA38 and NA50 data in terms of a conventional hadronic
picture. The apparently anomalous suppression found in the most massive Pb+Pb
system arises from three sources: destruction in the initial nucleon-nucleon
cascade, use of coupled channels to exploit the larger breakup in the less
bound Chi and Psi' states, and comover interaction in the final low energy
phase.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 06:28:34 GMT""}]","2009-10-31"
"nucl-th/9808026","Jie Meng","J.Meng, K.Sugawara-Tanabe, S.Yamaji, and A.Arima","The pseudo-spin symmetry in Zr and Sn isotopes from the proton drip line
  to the neutron drip line","22 pages, 9figures","Phys.Rev.C59:154-163,1999","10.1103/PhysRevC.59.154",,"nucl-th",,"  Based on the Relativistic continuum Hartree-Bogoliubov (RCHB) theory, the
pseudo-spin approximation in exotic nuclei is investigated in Zr and Sn
isotopes from the proton drip line to the neutron drip line. The quality of the
pseudo-spin approximation is shown to be connected with the competition between
the centrifugal barrier (CB) and the pseudo-spin orbital potential (PSOP). The
PSOP depends on the derivative of the difference between the scalar and vector
potentials $dV/dr$. If $dV/dr = 0$, the pseudo-spin symmetry is exact. The
pseudo-spin symmetry is found to be a good approximation for normal nuclei and
to become much better for exotic nuclei with highly diffuse potential, which
have $dV/dr \sim 0$. The energy splitting of the pseudo-spin partners is
smaller for orbitals near the Fermi surface (even in the continuum) than the
deeply bound orbitals. The lower components of the Dirac wave functions for the
pseudo-spin partners are very similar and almost equal in magnitude.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 07:35:03 GMT""}]","2008-11-26"
"nucl-th/9808027","H. W. Barz","H. W. Barz","Combined effects of nuclear Coulomb field, radial flow, and opaqueness
  on two-pion correlations","13 pages and 4 figures","Phys.Rev. C59 (1999) 2214-2220","10.1103/PhysRevC.59.2214",,"nucl-th",,"  Correlations of two like charged pions emitted from a hot and charged
spherically expanding nuclear system are investigated. The motion of the pions
is described quantum mechanically using the Klein-Gordon equation which
includes Coulomb field and pion absorption. Flow modifies the radial
distribution of the source function and rescales the pion wave functions. The
radii extracted from the correlation functions are calculated in sideward and
outward direction as a function of the pair momentum. Comparison with recent
measurements at SIS and AGS energies is made.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 10:20:16 GMT""}]","2009-10-31"
"nucl-th/9808028","Tryasuchev B. A.","A.Fix, I.Glavanakov, Yu.Krechetov","Photopion reactions on deltas preexisting in nuclei","8 pages, 3 figures","Nucl.Phys. A646 (1999) 417-426","10.1016/S0375-9474(98)00648-4",,"nucl-th",,"  Reactions A(\gamma, pi^+p) are considered to proceed through the formation of
pion-proton pairs on delta constituents in nuclei. We develop the
nonrelativistic operator for \Delta^{++}(\gamma, pi^+)p process in an arbitrary
frame. The calculated cross section for C12(\gamma, \pi^+p) reaction is
compared to the existing experimental data.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 12:46:40 GMT""},{""version"":""v2"",""created"":""Wed, 12 Aug 1998 02:41:51 GMT""}]","2009-10-31"
"patt-sol/9808004","Cyrill Muratov","C. B. Muratov and V. V. Osipov","Theory of Spike Spiral Waves in a Reaction-Diffusion System","4 pages (REVTeX), 2 figures (postscript), submitted to Phys. Rev.
  Lett","Phys Rev. E 60, 242 (1999).","10.1103/PhysRevE.60.242",,"patt-sol nlin.PS",,"  We discovered a new type of spiral wave solutions in reaction-diffusion
systems --- spike spiral wave, which significantly differs from spiral waves
observed in FitzHugh-Nagumo-type models. We present an asymptotic theory of
these waves in Gray-Scott model. We derive the kinematic relations describing
the shape of this spiral and find the dependence of its main parameters on the
control parameters. The theory does not rely on the specific features of
Gray-Scott model and thus is expected to be applicable to a broad range of
reaction-diffusion systems.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 00:32:08 GMT""}]","2016-09-08"
"physics/9808009","Carlos C. Rodriguez","Carlos C. Rodriguez (SUNY Albany Department of Mathematics and
  Statistics)","Are We Cruising a Hypothesis Space?","10 pages, no figures. To appear in the 1998 Proceedings of Maximum
  Entropy and Bayesian Methods. This paper and related work are also available
  at the author's omega server: http://omega.albany.edu:8008/",,,,"physics.data-an gr-qc",,"  This paper is about Information Geometry, a relatively new subject within
mathematical statistics that attempts to study the problem of inference by
using tools from modern differential geometry. This paper provides an overview
of some of the achievements and possible future applications of this subject to
physics.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 17:55:51 GMT""}]","2007-05-23"
"physics/9808010","Carlos C. Rodriguez","Carlos C. Rodriguez (SUNY Albany Department of Mathematics and
  Statistics)","Unreal Probabilities: Partial Truth with Clifford Numbers","28 pages, no figures. To appear in the 1998 Proceedings of Maximum
  Entropy and Bayesian Methods. This paper and related work are also available
  at the author's omega server: http://omega.albany.edu:8008/",,,,"physics.data-an math.PR quant-ph",,"  This paper introduces and studies the basic properties of Clifford algebra
valued conditional measures.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 18:49:00 GMT""}]","2009-09-25"
"quant-ph/9808017","Villain Pierre","Villain Pierre and Lewenstein Maciej","Dephasing of Josephson oscillations between two coupled Bose-Einstein
  condensates","14 pages. Submitted to Phys. Rev. A",,,,"quant-ph",,"  We study the dynamics of the relative phase between two Bose-Einstein
condensates coupled via collisions and via a Josephson-like coupling. We derive
the equations of the motion for the relative phase and the relative number
operators from the second quantized Hamiltonian of the system using a quantum
field theoretical approach. We distinguish the cases in which the two
condensates are in the same trap or in two different traps and study the
influence of this difference on the first order correlation function of atomic
fields. In identical traps this function does not undergo dephasing. We
calculate the dephasing time for the case of different traps.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 10:16:08 GMT""}]","2007-05-23"
"quant-ph/9808018","Anthony Chefles","Anthony Chefles and Stephen M. Barnett","Quantum State Separation, Unambiguous Discrimination and Exact Cloning","RevTeX, 5 pages postscript","J.Phys.A31:10097-10103,1998","10.1088/0305-4470/31/50/007",,"quant-ph",,"  Unambiguous discrimination and exact cloning reduce the square-overlap
between quantum states, exemplifying the more general type of procedure we term
state separation. We obtain the maximum probability with which two equiprobable
quantum states can be separated by an arbitrary degree, and find that the
established bounds on the success probabilities for discrimination and cloning
are special cases of this general bound. The latter also gives the maximum
probability of successfully producing N exact copies of a quantum system whose
state is chosen secretly from a known pair, given M initial realisations of the
state, where N>M. We also discuss the relationship between this bound and that
on unambiguous state discrimination.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 11:38:03 GMT""}]","2008-11-26"
