"adap-org/9812002","Carl Lipo","Mark Madsen (1), Carl Lipo (1 and 2), Michael Cannon (2) ((1) Emergent
  Media, Inc., (2) University of Washington)","Reproductive Tradeoffs In Uncertain Environments: Explaining The
  Evolution Of Cultural Elaboration","32 pages, 5 figures",,,,"adap-org nlin.AO",,"  Dunnell's (1989) explanation for cultural elaboration proposed that
elaboration could be a consequence of selection within uncertain environments.
He developed the theory to the extent that it performed well explaining the
distribution of elaboration at regional scales within eastern North America.
More detailed studies require more detailed development of the theory, so that
additional hypotheses and implications can be deduced. We draw upon theories of
selection in fluctuating environments and portions of life history theory to
propose a formal model of selection for ""waste"" in uncertain environments. We
use agent-based simulation to explore the sufficiency of the theory for
explaining the maintenance of high levels of elaboration within populations,
and deduce novel implications for archaeological evidence usable by others to
test the utility of Dunnell's model in specific localities.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:35:27 GMT""}]","2007-05-23"
"hep-ex/9812007","Bingsong Zou","Bing-Song Zou, (Queen Mary and Westfield College, London, UK)","Search for Glueballs from Three-body Annihilation of Antiproton-Proton
  in-Flight","Latex with espcrc1.sty, 10 pages, 7 figures. Invited talk at the
  International Conference on Low Energy Antinucleon Physics (LEAP98),
  Sardinia, Italy, September 1998","Nucl.Phys. A655 (1999) 41-50","10.1016/S0375-9474(99)00178-5",,"hep-ex hep-ph",,"  Lattice QCD and other theoretical models predict that the 0(-+), 2(++) and
2(-+) glueballs have masses in the range of 2.0 to 2.4 GeV. For resonances in
such an energy range, three-body decay modes are expected to be large. The
strategy for looking for these glueballs and the newest results from studying
Crystal Barrel data on the three-body annihilation of proton-antiproton in
flight are presented.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 06:54:10 GMT""}]","2009-10-31"
"hep-ph/9812241","Yurii Surovtsev","T.D. Blokhintseva, M. Nagy and Yu.S.Surovtsev","Nucleon structure from the quasithreshold inverse pion electroproduction","15 pages, LaTex; An extended version of the talk given at the
  International Conference HADRON STRUCTURE'98 (Stara Lesna, High Tatra
  Mountains, Slovak Republic; September 7-13, 1998)",,,,"hep-ph",,"  The process $\pi N\to e^+e^- N$ (IPE), being a natural and unique laboratory
for studying the hadron electromagnetic structure in the
sub-$N\bar{N}$-threshold time-like region of the virtual-photon ``mass''
$\lambda^2$, turns out to be also very useful for investigating the nucleon
weak structure. A theoretical basis of the methods for extracting practically
model-independent values of the electromagnetic hadron form factors in the
time-like region and for determining the weak structure of the nucleon in the
space-like region from experimental data on IPE at low energies is outlined.
The results of extracting, by those methods, the electromagnetic
$F_1^v(\lambda^2)$ and pseudoscalar $G_P(t)$ form-factors of a nucleon are
presented, where an indication of the existence of the state $\pi^\p$ in the
range 500-800 MeV (possibly the first radial excitation of pion) is obtained,
and the coupling constant of this new state with the nucleon is estimated.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 16:22:44 GMT""}]","2007-05-23"
"hep-ph/9812242","M. Jose Herrero","M.J.Herrero","The Standard Model","58 pages, LaTeX, Lectures presented at the NATO ASI 98 School,
  Techniques and Concepts of High Energy Physics; St. Croix, Virgin Islands,
  USA, June 18-29 1998",,,,"hep-ph hep-ex hep-lat hep-th",,"  These lectures provide an introduction to the basic aspects of the Standard
Model, $SU(3)_{C} \times SU(2)_{L} \times U(1)_{Y}$.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:39:19 GMT""}]","2007-05-23"
"hep-ph/9812243","Nathan Isgur","Nathan Isgur (Jefferson Lab)","Interpreting the Neutron's Electric Form Factor: Rest Frame Charge
  Distribution or Foldy Term?","13 pages","Phys.Rev.Lett.83:272-275,1999","10.1103/PhysRevLett.83.272","JLAB-THY-98-48","hep-ph nucl-th",,"  The neutron's electric form factor contains vital information on nucleon
structure, but its interpretation within many models has been obscured by
relativistic effects. I demonstrate that, to leading order in the relativistic
expansion of a constituent quark model, the Foldy term cancels exactly against
a contribution to the Dirac form factor F_1 to leave intact the naive
interpretation of G^n_E as arising from the neutron's rest frame charge
distribution.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 18:46:39 GMT""}]","2014-11-17"
"hep-ph/9812244","Amol Dighe","Amol Dighe, Sergio Pastor, Alexei Smirnov","The Physics of Relic Neutrinos","The report of the workshop on The Physics of Relic Neutrinos, held at
  ICTP, Trieste during September 16 - 19, 1998",,,"SISSA/EP/98/132","hep-ph",,"  We report on the main results presented at the workshop on The Physics of
Relic Neutrinos. The study of relic neutrinos involves a broad spectrum of
problems in particle physics, astrophysics and cosmology. Features of
baryogenesis and leptogenesis could be imprinted in the properties of the relic
neutrino sea. Relic neutrinos played a crucial role in the big bang
nucleosynthesis. Being the hot component of the dark matter, they have
participated in the structure formation in the universe. Although the direct
detection of the sea seems impossible at this stage, there could be various
indirect manifestations of these neutrinos which would allow us to study the
properties of the sea both in the past and at the present epoch.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 22:33:32 GMT""}]","2007-05-23"
"hep-ph/9812245","Sharon Jensen","S. J. Brodsky and J. Rathsman","Scheme-Independent Predictions in QCD: Commensurate Scale Relations and
  Physical Renormalization Schemes","LaTex, 21 pages",,,"SLAC-PUB-8022","hep-ph",,"  Commensurate scale relations are perturbative QCD predictions which relate
observable to observable at fixed relative scale, such as the ``generalized
Crewther relation"", which connects the Bjorken and Gross-Llewellyn Smith deep
inelastic scattering sum rules to measurements of the $e^+ e^-$ annihilation
cross section. All non-conformal effects are absorbed by fixing the ratio of
the respective momentum transfer and energy scales. In the case of fixed-point
theories, commensurate scale relations relate both the ratio of couplings and
the ratio of scales as the fixed point is approached. The relations between the
observables are independent of the choice of intermediate renormalization
scheme or other theoretical conventions. Commensurate scale relations also
provide an extension of the standard minimal subtraction scheme, which is
analytic in the quark masses, has non-ambiguous scale-setting properties, and
inherits the physical properties of the effective charge $\alpha_V(Q^2)$
defined from the heavy quark potential. The application of the analytic scheme
to the calculation of quark-mass-dependent QCD corrections to the $Z$ width is
also reviewed.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 23:27:15 GMT""}]","2007-05-23"
"hep-ph/9812246","Mikhail Dubinin","M.Dubinin, A.Semenov","Triple and Quartic Interactions of Higgs Bosons in the General
  Two-Higgs-Doublet Model","18 pages, LaTeX, 5 figures, uses epsf.sty, axodraw.sty",,,"SNUTP 98-140","hep-ph",,"  In the case of minimal supersymmetric extension of the Standard Model (MSSM),
when the pseudoscalar Higgs boson mass is less than the supersymmetry energy
scale, the effective theory at the electroweak scale is a two-Higgs-doublet
model. We diagonalize the mass matrix of the general two-Higgs-doublet model,
expressing Higgs boson self-couplings in terms of two mixing angles and four
Higgs boson masses, and derive in a compact form the complete set of Feynman
rules, including quartic couplings in the Higgs sector, for the case of
CP-violating potential. Some processes of double and triple Higgs boson
production at a high-energy linear collider are calculated in the case of
mixing angles and scalar boson masses satisfying the MSSM constraints.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 05:55:42 GMT""}]","2007-05-23"
"hep-ph/9812247","Xiao-Gang He","Xiao-Gang He (NTU)","Physics with $B \to \eta'$ and $B\to J/\psi$","A few minor typos corrected. 8 pages, sprocl.sty. Talk presented at
  the 4th International Workshop on Particle Physics Phenomenology, Kaohsiung,
  Taiwan, R.O.C., 18-21 June, 1998",,,,"hep-ph",,"  In this talk I discuss two topics related to B decays. I will first discuss
the Standard Model prediction for $B\to \eta' X_s$, and then discuss how to use
experimental information from $B\to J/\psi K^*$ to test CP violation beyond the
SM.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 08:11:05 GMT""},{""version"":""v2"",""created"":""Mon, 14 Dec 1998 08:23:55 GMT""}]","2007-05-23"
"hep-ph/9812248","Xiao-Gang He","Xiao-Gang He (NTU) and Guey-Lin Lin (NCTU)","$B \to \eta' X_s$ in the Standard Model","Corrected a few minor typos. 6 page with 1 figure. Sprocl.Sty. Talk
  presented at the Workshop on CP Violation, Adelaide, Australia, 3-6 July,
  1998",,,,"hep-ph",,"  We study $B \to \eta' X_s$ within the framework of the Standard Model.
Several mechanisms such as $b \to \eta' s g$ from the QCD anomaly, and $b \to
\eta's $ and $B\to \eta' s \bar q$ from four-quark operators are treated
simultaneously. We find that the first mechanism give a significant
contribution to the branching ratio for $B\to \eta' X_s$, while the other two
mechanisms account for about 15% of the experimental value. The Standard Model
prediction for $B\to \eta' X_s$ is consistent with the CLEO data.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 08:45:45 GMT""},{""version"":""v2"",""created"":""Mon, 14 Dec 1998 08:18:50 GMT""}]","2007-05-23"
"hep-ph/9812249","D. Majumdar","Debasish Majumdar and Amitava Raychaudhuri","Solar Neutrino Oscillation Diagnostics at Superkamiokande and Sno","11 pages Latex, 2 figures","Pramana 52 (1999) L529-L536","10.1007/BF02830099","CUPP-98/3","hep-ph astro-ph",,"  Results for solar neutrino detection from the SuperKamiokande collaboration
have been presented recently while those from the Sudbury Neutrino Observatory
are expected in the near future. These experiments are sensitive to the 8B
neutrinos from the sun, the shape of whose spectrum is well-known but the
normalisation is less certain. We propose several variables, insensitive to the
absolute flux of the incident beam, which probe the shape of the observed
spectrum and can sensitively signal neutrino oscillations. They provide methods
to extract the neutrino mixing angle and mass splitting from the data and also
to distinguish oscillation to sequential neutrinos from those to a sterile
neutrino.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 09:20:07 GMT""}]","2015-06-25"
"hep-ph/9812250","Oleg Tarasov","O.V. Tarasov","Reduction of Feynman graph amplitudes to a minimal set of basic
  integrals","11 pages, LaTeX, uses appb2.sty, Presented at the DESY Zeuthen
  Workshop on Elementary Particle Theory ""Loops and Legs in Gauge Theories"",
  Rheinsberg, Germany, April 19-24, 1998","Acta Phys.Polon.B29:2655,1998",,,"hep-ph",,"  An algorithm for the reduction of massive Feynman integrals with any number
of loops and external momenta to a minimal set of basic integrals is proposed.
The method is based on the new algorithm for evaluating tensor integrals,
representation of generalized recurrence relations for a given kind of
integrals as a linear system of PDEs and the reduction of this system to a
standard form using algorithms proposed by G. Reid. Basic integrals reveal as
parametric derivatives of the system in the standard form and the number of
basic integrals in the minimal set is determined by the dimension of the
solution space of the system of PDEs.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 10:59:46 GMT""}]","2011-03-17"
"hep-ph/9812251","Graham E. Smye","Graham Smye","Power Corrections to Fragmentation Functions in Flavour-Singlet Deep
  Inelastic Scattering","15 pages, 3 figures","Nucl.Phys. B549 (1999) 263-279","10.1016/S0550-3213(99)00161-3","Cavendish-HEP-98/16","hep-ph",,"  We investigate the power-suppressed corrections to fragmentation functions in
flavour-singlet deep inelastic lepton scattering, to complement the previous
results for the non-singlet contribution. Our method is a dispersive approach
based on an analysis of Feynman graphs containing massive gluons. As in
non-singlet deep inelastic scattering we find that the leading corrections are
proportional to 1/Q^2.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 10:49:49 GMT""}]","2009-10-31"
"hep-ph/9812252","Yuri Dokshitzer","Yuri L. Dokshitzer (INFN, Milan and PNPI, St.Petersburg)","Perturbative QCD theory (includes our knowledge of alpha_s)","Plenary talk at ICHEP 98, Vancouver; 20 pages, 5 figures; uses
  ltwol2e.sty (included)",,,,"hep-ph",,"  Following the logic of the great Chinese warrior-philosopher Master Sun Tzu,
  ""The rules of the military are five: measurement, assessment, calculation,
comparison and victory"", we address the problem of what we know, think we know,
and think about the QCD coupling.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:41:44 GMT""}]","2007-05-23"
"hep-ph/9812253","Katri Huitu","Katri Huitu, Cai-Dian L\""u, Paul Singer, Da-Xin Zhang","$b\to s s \bar d$ Decay in Two Higgs Doublet Models","10 pages, 3 figures","Phys.Lett. B445 (1999) 394-398","10.1016/S0370-2693(98)01486-5","HIP-1998-75/TH,TECHNION-PH-25","hep-ph",,"  In the Standard Model, the box-diagram mediated decay $b\to s s \bar d$ is
predicted to occur with an extremely small branching ratio of below $10^{-11}$,
thus providing a safe testing ground for exposing new physics. We study this
process in several Two Higgs Doublet Models and explore their parameter space,
indicating where this process becomes observable.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:40:23 GMT""}]","2009-10-31"
"hep-th/9812034","Paul Townsend","G.W. Gibbons and P.K. Townsend","Black Holes and Calogero Models","Revtex 5pp. Revision includes improved discussion of entropy and
  includes an additional reference","Phys.Lett.B454:187-192,1999","10.1016/S0370-2693(99)00266-X",,"hep-th",,"  We argue that the large $n$ limit of the $n$-particle $SU(1,1|2)$
superconformal Calogero model provides a microscopic description of the extreme
Reissner-Nordstr{\""o}m black hole in the near-horizon limit.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:13:32 GMT""},{""version"":""v2"",""created"":""Fri, 4 Dec 1998 15:21:33 GMT""},{""version"":""v3"",""created"":""Fri, 5 Feb 1999 19:33:25 GMT""},{""version"":""v4"",""created"":""Tue, 23 Feb 1999 17:36:38 GMT""}]","2009-10-07"
"hep-th/9812035","Krzysztof Pilch","A. Khavaev, K. Pilch and N.P. Warner","New Vacua of Gauged N=8 Supergravity","14 pages, 1 table, harvmac","Phys.Lett. B487 (2000) 14-21","10.1016/S0370-2693(00)00795-4","CERN-TH/98-387, USC-98/18","hep-th",,"  We analyze a particular SU(2) invariant sector of the scalar manifold of
gauged N=8 supergravity in five dimensions, and find all the critical points of
the potential within this sector. The critical points give rise to Anti-de
Sitter vacua, and preserve at least an SU(2) gauge symmetry. Consistent
truncation implies that these solutions correspond to Anti-de Sitter
compactifications of IIB supergravity, and hence to possible near-horizon
geometries of 3-branes. Thus we find new conformal phases of softly broken N=4
Yang--Mills theory. One of the critical points preserves N=2 supersymmetry in
the bulk and is therefore completely stable, and corresponds to an N=1
superconformal fixed point of the Yang--Mills theory. The corresponding
renormalization group flow from the N=4 point has c_{IR}/c_{UV} = 27/32. We
also discuss the ten-dimensional geometries corresponding to these critical
points.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:51:15 GMT""}]","2009-10-31"
"hep-th/9812036","Francesco Antonuccio","Francesco Antonuccio","Hyperbolic Numbers and the Dirac Spinor","13 pages, LaTex. To appear in ""The Photon and Poincare Group"", Nova
  Science Publishers",,,,"hep-th",,"  A representation of the Lorentz group is given in terms of 4 X 4 matrices
defined over the hyperbolic number system. The transformation properties of the
corresponding four component spinor are studied, and shown to be equivalent to
the transformation properties of the complex Dirac spinor. As an application,
we show that there exists an algebra of automorphisms of the complex Dirac
spinor that leaves the transformation properties of its eight real components
invariant under any given Lorentz transformation. Interestingly, the
representation of the Lorentz algebra presented here is naturally embedded in
the Lie algebra of a group isomorphic to SO(3,3;R) instead of the conformal
group SO(2,4;R).
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 20:34:51 GMT""}]","2007-05-23"
"hep-th/9812037","John Schwarz","John H. Schwarz","Introduction to M Theory and AdS/CFT Duality","26 pages; To be published in the Proceedings of a conference held in
  Corfu, Greece in September 1998. v2: reference added",,"10.1007/BFb0104239","CALT-68-2204","hep-th",,"  An introductory survey of some of the developments that have taken place in
superstring theory in the past few years is presented. The main focus is on
three particular dualities. The first one is the appearance of an 11th
dimension in the strong coupling limit of the type IIA theory, which give rise
to M theory. The second one is the duality between the type IIB theory
compactified on a circle and M theory on a two-torus. The final topic is an
introduction to the recently proposed duality between superstring theory or M
theory on certain anti de Sitter space backgrounds and conformally invariant
quantum field theories.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:37:28 GMT""},{""version"":""v2"",""created"":""Fri, 11 Dec 1998 17:37:54 GMT""}]","2009-10-31"
"hep-th/9812038",,"E.T.Akhmedov (ITEP)","D-instantons probing D3-branes and the AdS/CFT correspondence","8pp., Latex. Minor changes, misprints are corrected","Phys.Rev.D59:101901,1999","10.1103/PhysRevD.59.101901","ITEP-TH-69/98","hep-th",,"  D-instantons are considered as a probe of coinciding $N$ D3-branes. They can
feel an external metric via the commutator terms in their effective action. We
show that when the D-instantons are separated from the D3-branes, the metric
which is probed at the one loop level, {\it exactly} coincides with that of the
BPS R-R 3-brane. Interesting connection of this result to the possible
explanation of the AdS/CFT correspondence within IKKT M-atrix theory is
discussed.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 09:30:22 GMT""},{""version"":""v2"",""created"":""Fri, 29 Jan 1999 09:40:52 GMT""},{""version"":""v3"",""created"":""Mon, 1 Feb 1999 09:04:15 GMT""}]","2008-11-26"
"hep-th/9812039","Marco Serone","J.F. Morales, J.C. Plefka, C.A. Scrucca, M. Serone and A.K. Waldron","Spin dependent D-brane interactions and scattering amplitudes in matrix
  theory","8 pages, no figures, talk presented at the conference ""Quantum
  aspects of gauge theories, supergravity and unification"", Corfu, Greece, to
  appear in the proceedings","Lect.Notes Phys. 525 (1999) 456-465","10.1007/BFb0104266",,"hep-th",,"  Spin interactions beteween two moving Dp-branes are analyzed using the
Green-Schwarz formalism of boundary states. This approach turns out to be
extremely efficient to compute all the spin effects related by supersymmetry to
the leading v^4/r^7-p term. All these terms are shown to be scale invariant,
supporting a matrix model description of supergravity interactions. By
employing the LSZ reduction formula for matrix theory and the mentioned
supersymmetric effective potential for D0-branes, we compute the t-pole of
graviton-graviton and three form-three form scattering in matrix theory. The
results are found to be in complete agreement with tree level supergravity in
the corresponding kinematical regime and provide, moreover, an explicit map
between these degrees of freedom in both theories.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 11:49:41 GMT""}]","2009-10-31"
"hep-th/9812040","Nicola Maggiore","Alberto Blasi, Nicola Maggiore, Silvio P. Sorella and Luiz C. Q. Vilar","Renormalizability of Nonrenormalizable Field Theories","3 pages, revtex, no figures","Phys.Rev.D59:121701,1999","10.1103/PhysRevD.59.121701",,"hep-th",,"  We give a simple and elegant proof of the Equivalence Theorem, stating that
two field theories related by nonlinear field transformations have the same S
matrix. We are thus able to identify a subclass of nonrenormalizable field
theories which are actually physically equivalent to renormalizable ones. Our
strategy is to show by means of the BRS formalism that the ""nonrenormalizable""
part of such fake nonrenormalizable theories, is a kind of gauge fixing, being
confined in the cohomologically trivial sector of the theory.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:42:52 GMT""}]","2009-12-30"
"hep-th/9812041","Taichi Itoh","Taichi Itoh and Hiroshi Kato","Magnetization and dynamically induced finite densities in
  three-dimensional Chern-Simons QED","47 pages, 5 figures, revtex; revised for publication in Nucl. Phys.
  B, added some references in section 1 and corrected typos","Nucl.Phys.B551:723-769,1999","10.1016/S0550-3213(99)00209-6","DPNU-98-20","hep-th cond-mat.stat-mech cond-mat.str-el hep-lat hep-ph",,"  In (2+1)-dimensional QED with a Chern-Simons term, we show that spontaneous
magnetization occurs in the context of finite density vacua, which are the
lowest Landau levels fully or half occupied by fermions. Charge condensation is
shown to appear so as to complement the fermion anti-fermion condensate, which
breaks the flavor U(2N) symmetry and causes fermion mass generation. The
solutions to the Schwinger-Dyson gap equation show that the fermion self-energy
contributes to the induction of a finite fermion density and/or fermion mass.
The magnetization can be supported by charge condensation for theories with the
Chern-Simons coefficient $\kappa=N e^2/2 \pi$, and $\kappa=N e^2/4 \pi$, under
the Gauss law constraint. For $\kappa=N e^2/4 \pi$, both the magnetic field and
the fermion mass are simultaneously generated in the half-filled ground state,
which breaks the U(2N) symmetry as well as the Lorentz symmetry.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:52:48 GMT""},{""version"":""v2"",""created"":""Tue, 15 Dec 1998 07:42:51 GMT""},{""version"":""v3"",""created"":""Fri, 2 Apr 1999 17:44:56 GMT""}]","2011-06-16"
"math-ph/9812004","Giovanni Landi","Giovanni Landi","Deconstructing Monopoles and Instantons","latex, 23 pages (one additional page). Additional material at the end
  of Section 2. and a reference added. Several minor additions throughout the
  paper","Rev.Math.Phys. 12 (2000) 1367-1390",,"Trieste-DSM-QM442","math-ph gr-qc hep-th math.MP",,"  We give a unifying description of the Dirac monopole on the 2-sphere $S^2$,
of a graded monopole on a (2,2)-supersphere $S^{2,2}$ and of the BPST instanton
on the 4-sphere $S^4$, by constructing a suitable global projector $p$ via
equivariant maps. This projector determines the projective module of finite
type of sections of the corresponding vector bundle. The canonical connection
$\nabla = p \circ d$ is used to compute the topological charge which is found
to be equal to -1 for the three cases. The transposed projector $q=p^t$ gives
the value +1 for the charges; this showing that transposition of projectors,
although an isomorphism in $K$-theory, is not the identity map. We also study
the invariance under the action of suitable Lie groups.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:17:21 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jan 1999 12:26:41 GMT""}]","2007-05-23"
"math/9812025","G\""unter M. Ziegler","Dimitrios I. Dais (T""ubingen), Christian Haase (TU Berlin), G""unter M.
  Ziegler (TU Berlin)","All toric l.c.i.-singularities admit projective crepant resolutions","33 pages, 13 eps-figures, LaTeX2e (revised 3/99: minor corrections
  and modifications)",,,"TU Berlin Preprint 614/1998","math.AG math.CO",,"  It is known that the underlying spaces of all abelian quotient singularities
which are embeddable as complete intersections of hypersurfaces in an affine
space can be overall resolved by means of projective torus-equivariant crepant
birational morphisms in all dimensions. In the present paper we extend this
result to the entire class of toric l.c.i.-singularities. Our proof makes use
of Nakajima's classification theorem and of some special techniques from toric
and discrete geometry.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:03:33 GMT""},{""version"":""v2"",""created"":""Tue, 16 Mar 1999 12:42:31 GMT""}]","2007-05-23"
"math/9812026","Ezra Getzler","Ezra Getzler (Northwestern)","The Virasoro conjecture for Gromov-Witten invariants","amslatex 1.2, 30 pages",,,,"math.AG hep-th",,"  The Virasoro conjecture is a conjectured sequence of relations among the
descendent Gromov-Witten invariants of a smooth projective variety in all
genera; the only varieties for which it is known to hold are a point
(Kontsevich) and Calabi-Yau threefolds (S. Katz). We review the statement of
the conjecture and its proof in genus 0, following Eguchi, Hori and Xiong.
  This version incorporates many changes and improvements compared with the
first, and a small number of misprints from the second. It will appear in the
AMS volume ""Hirzebruch 70"", edited by P. Pragacz et al.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:57:13 GMT""},{""version"":""v2"",""created"":""Fri, 26 Feb 1999 18:42:04 GMT""},{""version"":""v3"",""created"":""Thu, 11 Mar 1999 23:38:47 GMT""},{""version"":""v4"",""created"":""Tue, 6 Apr 1999 20:31:42 GMT""}]","2007-05-23"
"math/9812027","Yao-Zhong Zhang","Wen-Li Yang and Yao-Zhong Zhang","Highest weight representations of $U_q(\hat{sl}(2|1))$ and correlation
  functions of the q-deformed supersymmetric t-J model","Some misprints corrected; RevTex 18 pages","Nucl. Phys. B547 (1999) 599-622","10.1016/S0550-3213(99)00050-4",,"math.QA cond-mat hep-th",,"  We re-examine the level-one irreducible highest weight representations of the
quantum affine superalgebra $U_q(\hat{sl}(2|1))$ and derive the characters and
supercharacters associated with these representations. We calculate the
exchange relations of the vertex operators and find that these vertex operators
satisfy the graded Faddeev-Zamolodchikov algebra. We give an integral
expression of the correlation functions of the q-deformed supersymmetric t-J
model and derive the difference equations which they satisfy.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:45:19 GMT""},{""version"":""v2"",""created"":""Sun, 6 Dec 1998 22:59:34 GMT""}]","2009-10-31"
"math/9812028","Robert Gilman","Robert Gilman Michael Shapiro","On groups whose word problem is solved by a nested stack automaton","16 pages",,,,"math.GR",,"  Accessible groups for which the language of all words defining the identity
is accepted by a certain class of nested stack automata are virtually free.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 13:45:33 GMT""}]","2007-05-23"
"math/9812029","Arne Meurman","Arne Meurman, Mirko Primc","A basis of the basic $sl(3,C)\sptilde$-module","19 pages, AMS-TeX, minor grammatical changes to v1",,,"LZ-102","math.QA",,"  We construct a basis of the basic $sl(3,C)\sptilde$-module parameterized by
colored partitions and, as a consequence, we obtain a Rogers-Ramanujan type
combinatorial identity.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 14:57:10 GMT""},{""version"":""v2"",""created"":""Mon, 3 Sep 2001 11:26:09 GMT""}]","2007-05-23"
"math/9812167","Frederic Haglund","Frederic Haglund, Frederic Paulin","Simplicite de groupes d'automorphismes d'espaces a courbure negative","68 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon1/paper10.abs.html","Geom. Topol. Monogr. 1 (1998), 181-248",,"G&T migration mon1-10","math.GR",,"  We prove that numerous negatively curved simply connected locally compact
polyhedral complexes, admitting a discrete cocompact group of automorphisms,
have automorphism groups which are locally compact, uncountable, non linear and
virtually simple. Examples include hyperbolic buildings, Cayley graphs of word
hyperbolic Coxeter systems, and generalizations of cubical complexes, that we
call even polyhedral complexes. We use tools introduced by Tits in the case of
automorphism groups of trees, and Davis-Moussong's geometric realisation of
Coxeter systems.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:00:00 GMT""}]","2016-09-07"
"nucl-ex/9812002","Javier Gomez","The Jefferson Lab Hall A Collaboration: L.C Alexa, et al","Large Momentum Transfer Measurements of the Deuteron Elastic Structure
  Function A(Q^2) at Jefferson Laboratory","Submitted to Physical Review Letters","Phys.Rev.Lett.82:1374-1378,1999","10.1103/PhysRevLett.82.1374",,"nucl-ex hep-ex",,"  The deuteron elastic structure function A(Q^2) has been extracted in the Q^2
range 0.7 to 6.0 (GeV/c)^2 from cross section measurements of elastic
electron-deuteron scattering in coincidence using the Hall A Facility of
Jefferson Laboratory. The data are compared to theoretical models based on the
impulse approximation with inclusion of meson-exchange currents, and to
predictions of quark dimensional scaling and perturbative quantum
chromodynamics
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:59:26 GMT""}]","2008-11-26"
"nucl-th/9812013","Joseph Kapusta","Joseph Kapusta and Agnes Mocsy","Hydrogen-like Atoms from Ultrarelativistic Nuclear Collisions","6 pages, 4 figures","Phys.Rev. C59 (1999) 2937-2940","10.1103/PhysRevC.59.2937","NUC-MINN-98/10-T","nucl-th",,"  The number of hydrogen-like atoms produced when heavy nuclei collide is
estimated for central collisions at the Relativistic Heavy Ion Collider using
the sudden approximation of Baym et al. As first suggested by Schwartz, a
simultaneous measurement of the hydrogen and hadron spectra will allow an
inference of the electron or muon spectra at low momentum where a direct
experimental measurement is not feasible.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 18:06:16 GMT""}]","2009-10-31"
"physics/9812005","M. P. Singh","Manoranjan P. Singh and A. L. Satheesha","Ground state and vortex states of bosons in an anisotropic trap: A
  variational approach","Revised version, To appear in the special issue of European Physical
  Journal D",,"10.1007/s100530050583",,"physics.gen-ph cond-mat.stat-mech",,"  We propose a simple variational form of the wave function to describe the
ground state and vortex states of a system of weakly interacting Bose gas in an
anisotropic trap. The proposed wave function is valid for a wide range of the
particle numbers in the trap. It also works well in the case of attractive
interaction between the atoms. Further, it provides an easy and fast method to
calculate the physical quantities of interest. The results compare very well
with those obtained by purely numerical techniques. Using our wave function we
have been able to verify, for the first time, the predicted behaviour of aspect
ratio.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 09:44:07 GMT""},{""version"":""v2"",""created"":""Thu, 5 Aug 1999 10:56:49 GMT""}]","2009-10-31"
