"adap-org/9812004","Rui Vilela Mendes","R. Vilela Mendes (Grupo de Fisica Matematica, Lisboa, Portugal)","Clustering and synchronization with positive Lyapunov exponents","10 pages Latex, 2 ps figures","Physics Letters A 257 (1999) 132","10.1016/S0375-9601(99)00319-9",,"adap-org nlin.AO",,"  Clustering and correlation effects are frequently observed in chaotic systems
in situations where, because of the positivity of the Lyapunov exponents, no
dimension reduction is to be expected. In this paper, using a globally coupled
network of Bernoulli units, one finds a general mechanism by which strong
correlations and slow structures are obtained at the synchronization edge. A
structure index is defined, which diverges at the transition points. Some
conclusions are drawn concerning the construction of an ergodic theory of
self-organization.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:58:47 GMT""}]","2009-10-30"
"hep-lat/9812016","Wolfgang Bietenholz","W. Bietenholz and H. Dilger","The Schwinger Model with Perfect Staggered Fermions","30 pages, 16 figures. Following the referee's suggestions, we have
  incorporated the material of hep-lat/9803018 in this comprehensive paper","Nucl.Phys. B549 (1999) 335-363","10.1016/S0550-3213(99)00113-3","NORDITA-98/67 HE","hep-lat",,"  We construct and test a quasi-perfect lattice action for staggered fermions.
The construction starts from free fermions, where we suggest a new blocking
scheme, which leads to excellent locality of the perfect action. An adequate
truncation preserves a high quality of the free action. An Abelian gauge field
is inserted in d=2 by effectively tuning the couplings to a few short-ranged
lattice paths, based on the behavior of topological zero modes. We simulate the
Schwinger model with this action, applying a new variant of Hybrid Monte Carlo,
which damps the computational overhead due to the non-standard couplings. We
obtain a tiny ``pion'' mass down to very small \beta, while the ``\eta'' mass
follows very closely the prediction of asymptotic scaling. The observation that
even short-ranged quasi-perfect actions can yield strong improvement is most
relevant in view of QCD.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:59:26 GMT""}]","2009-10-31"
"hep-ph/9812416","Dmitry Ostrovsky","A.V. Leonidov (1,2), D.M. Ostrovsky (1) ((1) Theoretical Department,
  Lebedev Physics Institute, Moscow, Russia; (2) Service de Physique Theorique,
  C.E.Saclay, Gif-sur-Yvette, France)","Angular pattern of minijet transverse energy flow in hadron and nuclear
  collisions","25 LaTeX pages, 11 figures embedded with epsf; expanded version","Eur.Phys.J.C16:683-693,2000; Phys.Atom.Nucl.65:886-897,2002;
  Yad.Fiz.65:918-929,2002","10.1134/1.1481483","FIAN/TD-28/98, SPhT-98/145","hep-ph nucl-th",,"  The azimuthal asymmetry of minijet system produced at the early stage of
nucleon-nucleon and nuclear collisions in a central rapidity window is studied.
We show that in pp collisions the minijet transverse energy production in a
central rapidity window is essentially unbalanced in azimuth due to asymmetric
contributions in which only one minijet hits the acceptance window. We further
study the angular pattern of transverse energy flow generated by semihard
degrees of freedom at the early stage of high energy nuclear collisions and its
dependence on the number of semihard collisions in the models both including
and neglecting soft contributions to the inelastic cross section at RHIC and
LHC energies as well as on the choice of the infrared cutoff.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:26:33 GMT""},{""version"":""v2"",""created"":""Tue, 25 Jan 2000 09:38:31 GMT""},{""version"":""v3"",""created"":""Wed, 26 Jan 2000 11:47:11 GMT""}]","2011-09-13"
"hep-ph/9812417","Matthias Jamin","H.G. Dosch, M. Eidemueller, M. Jamin","QCD sum rule analysis of the field strength correlator","16 pages, 1 figure","Phys.Lett.B452:379-386,1999","10.1016/S0370-2693(99)00224-5","HD-THEP-98-51","hep-ph",,"  The gauge invariant two-point correlator for the gluon field strength tensor
is analysed by means of the QCD sum rule method. To this end, we make use of a
relation of this correlator to a two-point function for a quark-gluon hybrid in
the limit of the quark mass going to infinity. From the sum rules a relation
between the gluon correlation length and the gluon condensate is obtained. We
briefly compare our results to recent determinations of the field strength
correlator on the lattice.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:49:39 GMT""}]","2008-11-26"
"hep-ph/9812418","Sheldon Lee Glashow, Hpop","Sidney Coleman and Sheldon L. Glashow","High-Energy Tests of Lorentz Invariance","33 pages, uses harvmac. This 2nd revision corrects two typos, an
  error in the Appendix, and includes further acknowledgements","Phys.Rev.D59:116008,1999","10.1103/PhysRevD.59.116008","HUTP-98/A082","hep-ph",,"  We develop a perturbative framework with which to discuss departures from
exact Lorentz invariance and explore their potentially observable
ramifications. Tiny non-invariant terms introduced into the standard model
Lagrangian are assumed to be renormalizable (dimension $\le 4$), invariant
under $SU(3)\otimes SU(2)\otimes U(1)$ gauge transformations, and rotationally
and translationally invariant in a preferred frame. There are a total of 46
independent TCP-even perturbations of this kind, all of which preserve anomaly
cancellation. They define the energy-momentum eigenstates and their maximal
attainable velocities in the high-energy limit. The effects of these
perturbations increase rapidly with energy in the preferred frame, more rapidly
than those of TCP-odd perturbations. Our analysis of Lorentz-violating
kinematics reveals several striking new phenomena that are relevant both to
cosmic-ray physics ({\it e.g.,} by undoing the GZK cutoff) and neutrino physics
({\it e.g.,} by generating novel types of neutrino oscillations). These may
lead to new and sensitive high-energy tests of special relativity.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:00:31 GMT""},{""version"":""v2"",""created"":""Thu, 31 Dec 1998 19:36:08 GMT""},{""version"":""v3"",""created"":""Wed, 20 Jan 1999 20:11:16 GMT""}]","2008-11-26"
"hep-ph/9812419","Fabrizio Gabbiani","Fabrizio Gabbiani","Unitarity corrections to K+ -> pi+ gamma l+l-","18 pages, 13 eps figures. LaTeX, uses epsfig.sty. Version accepted
  for publication on Phys. Rev. D. Misprints corrected","Phys.Rev.D59:094022,1999","10.1103/PhysRevD.59.094022",,"hep-ph",,"  We perform a chiral one-loop calculation of the unitarity corrections to the
processes K+ -> pi+ gamma l+l- up to O(E^6), taking into account pi+pi-
intermediate states. Branching ratios and differential branching ratios are
computed and presented to demonstrate the importance of the above corrections.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:05:32 GMT""},{""version"":""v2"",""created"":""Fri, 5 Mar 1999 15:08:59 GMT""}]","2011-08-17"
"hep-ph/9812420","Michel C. Vetterli","Michel C. Vetterli (TRIUMF)","The Spin Structure of the Nucleon (Lectures at the 13th Lake Louise
  Winter Institute)","51 pages, 24 figures, Latex, psfigure.sty, rotating.sty, sprocl.sty",,,,"hep-ph",,"  This paper gives a pedagogical introduction to our knowledge of the spin
structure of the nucleon. In particular, polarised deep inelastic lepton
scattering is presented as a tool to study how the nucleon's constituents
combine to generate its spin. The importance of semi-inclusive measurements is
discussed and a window on future experiments in the field is given.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:24:09 GMT""}]","2007-05-23"
"hep-ph/9812421","Bhaskar Dutta","K. S. Babu, B. Dutta and R. N. Mohapatra","Partial Yukawa unification and a supersymmetric origin of flavor mixing","19 pages, 2 figures","Phys.Rev. D60 (1999) 095004","10.1103/PhysRevD.60.095004","OSU-HEP-98-10, CTP-TAMU-50-98, UMD-PP-99-057","hep-ph",,"  In a large class of supersymmetric SO(10) and left-right models, requiring
that the effective theory below the scale of $SU(2)_R$ breaking be the MSSM
implies partial Yukawa unification with $Y_u=Y_d$ and $Y_e=Y_{\nu^D}$. The same
result also emerges in models with a horizontal $SU(3)_H$ symmetry. As a
result, at the tree level, these models lead to vanishing quark mixing angles.
We show that the correct mixing pattern can be generated in these models at the
loop level from the flavor structure associated with the supersymmetry breaking
terms. We generalize the constraints on supersymmetric parameters from flavor
changing neutral current (FCNC) processes to include several squark mass
insertions and confirm the consistency of the scheme. The expectations of this
scheme for CP violating observables in the $B$ meson system are quiet different
from the KM model, so it can be tested at the B factories.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 21:03:56 GMT""}]","2009-10-31"
"hep-ph/9812422","Ster Andras","T. Csorgo (KFKI-RMKI), B. Lorstad (University of Lund), J.
  Schmidt-Sorensen (University of Lund), A. Ster (KFKI-MFA)","Partial coherence in the core/halo picture of Bose-Einstein n-particle
  correlations","15 pages, Latex, 3 EPS files, 1 table","Eur.Phys.J.C9:275-281,1999","10.1007/s100529900024","RMKI-98-12","hep-ph",,"  We study the influence of a possible coherent component in the boson source
on the two-, three- and $n$-particle correlation functions in a generalized
core/halo type of boson-emitting source. In particular, a simple formula is
presented for the strengh of the $n$-particle correlation functions for such
systems. Graph rules are obtained to evaluate the correlation functions of
arbitrary high order. The importance of experimental determination of the 4-th
and 5-th order Bose-Einstein correlation function is emphasized.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 22:06:35 GMT""},{""version"":""v2"",""created"":""Mon, 4 Jan 1999 16:47:35 GMT""}]","2009-02-10"
"hep-ph/9812423","Johan Rathsman","Johan Rathsman","A Generalised Area Law for Hadronic String Reinteractions","11 pages, 5 figures, see also http://www3.tsl.uu.se/~rathsman/gal/
  Slightly shortened version with minor modifications for publication","Phys.Lett. B452 (1999) 364-371","10.1016/S0370-2693(99)00291-9","SLAC-PUB-8034","hep-ph",,"  A new model for hadronic string reinteractions based on a generalised area
law is presented. The model describes both the hadronic final states in
$e^+e^-$ annihilation and the diffractive structure function in deep inelastic
scattering. The model also predicts a shift in the W-mass reconstructed from
hadronic decays of W-pairs of the order 65 MeV.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 22:41:54 GMT""},{""version"":""v2"",""created"":""Thu, 18 Mar 1999 22:27:05 GMT""}]","2009-10-31"
"hep-ph/9812425","Alexander Ya. Parkhomenko","N.V. Mikheev, A.Ya. Parkhomenko and L.A. Vassilevskaya","Field-induced axion decay $a \to e^+ e^-$ in plasma","9 pages, latex, 2 PS figures, corrected some typos","Phys.Lett. B439 (1998) 345-349","10.1016/S0370-2693(98)01068-5","YARU-HE-98/09","hep-ph",,"  The axion decay $a \to e^+ e^-$ is investigated in the presence of a plasma
and an external magnetic field. The results demonstrate a strong catalyzing
influence of medium. The axion lifetime in the magnetic field of order
$10^{15}$ G and at the temperature of order 10 MeV is reduced to $10^4$ s.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 12:32:22 GMT""},{""version"":""v2"",""created"":""Sun, 3 Jan 1999 09:11:13 GMT""}]","2009-10-31"
"hep-ph/9812426","Christof Wetterich","C.Wetterich","Natural Maximal ny_my - ny_tau Mixing","13 pages,LaTex","Phys.Lett.B451:397-405,1999","10.1016/S0370-2693(99)00192-6","HD-THEP-98-61","hep-ph",,"  The naturalness of maximal mixing between myon- and tau-neutrinos is
investigated. A spontaneously broken nonabelian generation symmetry can explain
a small parameter which governs the deviation from maximal mixing. In many
cases all three neutrino masses are almost degenerate. Maximal
ny_my-ny_tau-mixing would indicate that the leading contribution to the light
neutrino masses arises from the expectation value of a heavy weak triplet
rather than from the seesaw mechanism. In this scenario the deviation from
maximal mixing is predicted to be less than about 1%.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:29:38 GMT""}]","2008-11-26"
"hep-ph/9812427","Ellwanger","U. Ellwanger and C. Hugonie","Topologies of the (M+1)SSM with a Singlino LSP at LEP2","21 pages (LaTeX2e), 2 figs., table with all possible final states
  added","Eur.Phys.J.C13:681-690,2000","10.1007/s100520050727","Orsay LPTHE-98-79","hep-ph hep-ex",,"  We study the possible signals of the (M+1)SSM with a singlino LSP at LEP2.
First we identify regions of the parameter space which are ruled out by
negative results of sparticle searches in the context of the MSSM. In the
remaining kinematically accessible regions we present total event rates for
topologies which require further studies, i.e. estimations of the corresponding
efficiencies: various 4 charged fermion final states with missing energy,
possibly with displaced vertices due to a long lifetime of the NLSP, the second
lightest neutralino. Searches for these unconventional signatures are essential
in order to cover the entire kinematically accessible parameter space of the
(M+1)SSM with a singlino LSP at LEP2.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:37:15 GMT""},{""version"":""v2"",""created"":""Thu, 20 May 1999 15:31:32 GMT""}]","2011-09-13"
"hep-ph/9812429","Jean-Rene Cudell","J.R. Cudell, V.V. Ezhela, K. Kang, S.B. Lugovsky, and N.P. Tkachenko","Soft Pomeron and Lower-Trajectory Intercepts","13 pages, LaTeX, 14 figures. Presented by K. Kang at a 4th Workshop
  on Quantum Chromodynamics, June 1 - 6, 1998, The American University of
  Paris, Paris, France, and at the 4th Workshop on Small-x and Diffractive
  Physics, September 17 - 20, 1998, Fermi National Accelerator Laboratory,
  Batavia, IL",,,"BROWN-HET-1127; ULG-PNT-98-JRC-3","hep-ph",,"  We present a preliminary report on the determination of the intercepts and
couplings of the soft pomeron and of the rho/omega and f/a trajectories from
the largest data set available for all total cross sections and real parts of
the hadronic amplitudes. Factorization is reasonably satisfied by the pomeron
couplings, which allows us to make predictions on gamma gamma and gamma p total
cross sections. In addition we show that these data cannot discriminate between
fits based on a simple Regge pomeron-pole and on an asymptotic log^2s-type
behaviour, implying that the effect of unitarisation is negligible. Also we
examine the range of validity in energy of the fit, and the bounds that these
data place on the odderon and on the hard pomeron.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:19:47 GMT""}]","2007-05-23"
"hep-ph/9812430","Zhang Ai Lin","Tao Huang, Hongying Jin and Ailin Zhang","Decay of heavy-light hybrids in HQET sum rules","14 pages, latex file, 4 ps figs, Published version, some numerical
  results changed","Phys.Rev.D60:114004,1999","10.1103/PhysRevD.60.114004",,"hep-ph",,"  The decay widths of the 0^{++} and 1^{-+} heavy-light hybrids to B(D) and
pion are calculated by using the QCD sum rules. The interpolated current of the
hybrid is chosen as $g\bar q\gamma_{\alpha}G_{\alpha\mu}^aT^ah_{\it v}(x)$. In
order to simplify the calculation and avoid the ambiguity of three-point
correlation function, a two-point correlation function between the pion and
vacuum is used instead. The decay width of the $0^{++}\to B(D)$ is about 12(16)
MeV while the $1^{-+}\to B(D)$ is around 0.4(1.8) MeV. We keep the leading
order of 1/M_Q expansion in our calculation for convenience.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:57:05 GMT""},{""version"":""v2"",""created"":""Mon, 1 Mar 1999 04:23:21 GMT""},{""version"":""v3"",""created"":""Sat, 6 Nov 1999 07:58:26 GMT""}]","2011-01-25"
"hep-ph/9812431","Ahmed Ali","A. Ali, G. Hiller (DESY, Hamburg)","Perturbative QCD and Power Corrected Hadron Spectra and Spectral Moments
  in the Decays $B \to X_s \ell^+ \ell^-$","7 pages, 3 figures (requires ltwol2e.sty, included). To appear in the
  Proceedings of the XXIX International Conference on High Energy Physics,
  Vancouver, B.C., Canada, July 23-29,1998",,,"DESY 98-127 (September 1998)","hep-ph",,"  Leading order (in $\alpha_s$) perturbative QCD and power ($1/m_b^2)$
corrections to the hadronic invariant mass and hadron energy spectra in the
decay $B \to X_s \ell^+ \ell^-$ are reviewed in the standard model using the
heavy quark expansion technique (HQET). In particular, the first two hadronic
moments $<S_H^n>$ and $<E_H^n>$, $n=1,2$, are presented working out their
sensitivity on the HQET parameters $\lambda_1$ and $\bar{\Lambda}$. Data from
the forthcoming B facilities can be used to measure the short-distance
contribution in $B \to X_s \ell^+ \ell^-$ and determine the HQET parameters
from the moments $<S_H^n>$. This could be combined with complementary
constraints from the decay $B \to X \ell \nu_\ell$ to determine these
parameters precisely.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:45:49 GMT""}]","2007-05-23"
"hep-th/9812147","Dean Lee","Dean Lee (Univ. of Massachusetts, Amherst)","Fermions in spherical field theory","corrected journal info","Phys.Lett. B444 (1998) 474","10.1016/S0370-2693(98)01365-3",,"hep-th cond-mat hep-lat hep-ph",,"  We derive the spherical field formalism for fermions. We find that the
spherical field method is free from certain difficulties which complicate
lattice calculations, such as fermion doubling, missing axial anomalies, and
computational problems regarding internal fermion loops.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:34:10 GMT""},{""version"":""v2"",""created"":""Thu, 7 Jan 1999 15:43:24 GMT""}]","2009-10-31"
"hep-th/9812148","M. B. Paranjape","T. Gisiger, M.B. Paranjape","Recent mathematical developments in the Skyrme model","129 pages, about 30 figures, original manuscript of published Physics
  Reports","Phys.Rept.306:109-211,1998","10.1016/S0370-1573(98)00037-4","UdeM-GPP-TH-98-57","hep-th",,"  In this review we present a pedagogical introduction to recent, more
mathematical developments in the Skyrme model. Our aim is to render these
advances accessible to mainstream nuclear and particle physicists. We start
with the static sector and elaborate on geometrical aspects of the definition
of the model. Then we review the instanton method which yields an analytical
approximation to the minimum energy configuration in any sector of fixed baryon
number, as well as an approximation to the surfaces which join together all the
low energy critical points. We present some explicit results for B=2. We then
describe the work done on the multibaryon minima using rational maps, on the
topology of the configuration space and the possible implications of Morse
theory. Next we turn to recent work on the dynamics of Skyrmions. We focus
exclusively on the low energy interaction, specifically the gradient flow
method put forward by Manton. We illustrate the method with some expository toy
models. We end this review with a presentation of our own work on the
semi-classical quantization of nucleon states and low energy nucleon-nucleon
scattering.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:38:25 GMT""}]","2011-07-19"
"hep-th/9812149","Ben Craps","Ben Craps and Frederik Roose","(Non-)Anomalous D-brane and O-plane couplings: the normal bundle","6 pages, latex, no figures; version accepted for publication in Phys.
  Lett. B","Phys.Lett. B450 (1999) 358","10.1016/S0370-2693(99)00164-1","KUL-TF-98/58","hep-th",,"  The direct string computation of anomalous D-brane and orientifold plane
couplings is extended to include the curvature of the normal bundle. The
normalization of these terms is fixed unambiguously. New, non-anomalous
gravitational couplings are found.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:50:05 GMT""},{""version"":""v2"",""created"":""Fri, 5 Feb 1999 13:43:39 GMT""}]","2009-10-31"
"hep-th/9812150","Jacques Bros","J. Bros, G.A. Viano","Complex Angular Momentum in General Quantum Field Theory","86 pages, 9 figures, tcilatex","Annales Henri Poincare 1 (2006) 101-172",,"SPTh t98/142","hep-th",,"  It is proven that for each given two-field channel - called the
``t-channel''- with (off-shell) ``scattering angle'' $\Theta_t$, the four-point
Green's function of any scalar Quantum Fields satisfying the basic principles
of locality, spectral condition together with temperateness admits a
Laplace-type transform in the corresponding complex angular momentum variable
$\lambda_t$, dual to $\Theta_t$. This transform enjoys the following
properties: a) it is holomorphic in a half-plane of the form $Re \lambda_t >
m$, where m is a certain ``degree of temperateness'' of the fields considered,
b) it is in one-to-one (invertible) correspondence with the (off-shell)
``absorptive parts'' in the crossed two-field channels, c) it extrapolates in a
canonical way to complex values of the angular momentum the coefficients of the
(off-shell) t-channel partial-wave expansion of the Euclidean four-point
function of the fields. These properties are established for all space-time
dimensions d+1 with $d \ge 2$.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:54:54 GMT""}]","2007-05-23"
"hep-th/9812151","Stephane Gourmelen","Stephane Gourmelen","N=2 supersymmetric pseudodifferential symbols and super W-algebras","12 pages",,,,"hep-th",,"  We study the superconformally covariant pseudodifferential symbols defined on
N=2 super Riemann surfaces. This allows us to construct a primary basis for N=2
super W_KP^(n)-algebras and, by reduction, for N=2 super W_n-algebras.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:59:54 GMT""}]","2007-05-23"
"hep-th/9812152","Marotta Raffaele","L. Cappiello, A. Liccardo, R. Pettorino, F. Pezzella (Dipartimento di
  Scienze Fisiche, Universita' di Napoli and I.N.F.N., Sezione di Napoli) and
  R. Marotta (Nordita, Copenhagen)","Prescriptions for Off-Shell Bosonic String Amplitudes","11 pages, LaTeX, to appear in the proceedings of the workshop
  ""Quantum Aspects of Gauge Theories, Supersymmetry and Unification"", Corfu
  (Greece), 20-26 September 1998. Eq. (12) and numerical factors in eqs. (13)
  and (16) corrected; some minor changes and references added","Lect.Notes Phys.525:466-474,1999","10.1007/BFb0104267","NORDITA-98/77 HE, DSF-TH-98/46","hep-th",,"  We give, in the framework of the bosonic string theory, simple prescriptions
for computing, at tree and one-loop levels, off-shell string amplitudes for
open and closed string massless states. In particular we obtain a tree
amplitude for three open strings that in the field theory limit coincides with
the three-gluon vertex in the usual covariant gauge and two-string one-loop
amplitudes satisfying the property of transversality.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:42:57 GMT""},{""version"":""v2"",""created"":""Thu, 28 Jan 1999 13:55:42 GMT""}]","2014-11-18"
"hep-th/9812153","Nathan Jacob Berkovits","N. Berkovits and M.M. Leite (IFT/UNESP, Sao Paulo)","Superspace Action for the First Massive States of the Superstring","8 pages harvmac tex","Phys.Lett. B454 (1999) 38-42","10.1016/S0370-2693(99)00334-2","IFT-P.004/99","hep-th",,"  Using the manifestly spacetime-supersymmetric version of open superstring
field theory, we construct the free action for the first massive states of the
open superstring compactified to four dimensions. This action is in N=1 D=4
superspace and describes a massive spin-2 multiplet coupled to two massive
scalar multiplets.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:03:26 GMT""}]","2009-10-31"
"hep-th/9812154","Kristin Foerger","K. Foerger (Ecole Polytechnique)","On Heterotic/Type I Duality in d=8","9 pages, Latex, To appear in the proceedings of ""Quantum Aspects of
  Gauge Theories, Supersymmetries and Unification"", Corfu, September 1998",,"10.1007/BFb0104256",,"hep-th",,"  We discuss heterotic corrections to quartic internal U(1) gauge couplings and
check duality by calculating one-loop open string diagrams and identifying the
D-instanton sum in the dual type I picture. We also compute SO(8)^4 threshold
corrections and finally R^2 corrections in type I theory.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:30:57 GMT""}]","2009-10-31"
"hep-th/9812155","Matthias Klein","Matthias Klein","More Confining N=1 SUSY Gauge Theories From Non-Abelian Duality","46 pages, Latex","Nucl.Phys. B553 (1999) 155-204","10.1016/S0550-3213(99)00229-1","FTUAM-98/29; IFT-UAM/CSIC-98-29","hep-th",,"  We expand on an idea of Seiberg that an N=1 supersymmetric gauge theory shows
confinement without breaking of chiral symmetry when the gauge symmetry of its
magnetic dual is completely broken by the Higgs effect. This has recently been
applied to some models involving tensor fields and an appropriate tree-level
superpotential. We show how the confining spectrum of a supersymmetric gauge
theory can easily be derived when a magnetic dual is known and we determine it
explicitly for many models containing fields in second rank tensor
representations. We also give the form of the confining superpotential for most
of these models.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:47:24 GMT""}]","2009-10-31"
"hep-th/9812156","Jose Socorro Garcia Diaz","O. Obreg\'on, J.J. Rosales, J. Socorro and V.I. Tkach","The wave function of the universe and spontaneaus breaking of
  supersymmetry","11 pages, 1 figure, revtex",,,"IFUG-98-35","hep-th",,"  In this work we define a scalar product ``weighted'' with the scalar factor
$R$ and show how to find a normalized wave function for the supersymmetric
quantum FRW cosmological model using the idea of supersymmetry breaking
selection rules under local n=2 conformal supersymmetry. We also calculate the
expectation value of the scalar factor R in this model and its corresponding
behaviour.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:03:47 GMT""}]","2007-05-23"
"hep-th/9812157","Xinrui Hou","Xinrui Hou, M. Shifman","A Quasi-Exactly Solvable N-Body Problem with the sl(N+1) Algebraic
  Structure","Latex, 12 pages","Int.J.Mod.Phys. A14 (1999) 2993-3004","10.1142/S0217751X99001457","TPI-MINN 98/27-T, UMN-TH-1731/98","hep-th math-ph math.MP",,"  Starting from a one-particle quasi-exactly solvable system, which is
characterized by an intrinsic sl(2) algebraic structure and the
energy-reflection symmetry, we construct a daughter N-body Hamiltonian
presenting a deformation of the Calogero model. The features of this
Hamiltonian are (i) it reduces to a quadratic combination of the generators of
sl(N+1); (ii) the interaction potential contains two-body terms and interaction
with the force center at the origin; (iii) for quantized values of a certain
cohomology parameter n it is quasi-exactly solvable, the multiplicity of states
in the algebraic sector is (N+n)!/(N!n!); (iv) the energy-reflection symmetry
of the parent system is preserved.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:15:24 GMT""}]","2009-10-31"
"hep-th/9812158","Ralph Blumenhagen","Ralph Blumenhagen and Lars Goerlich","Orientifolds of Non-Supersymmetric Asymmetric Orbifolds","18 pages, 3 figures, TeX; model changed from SU(2)^4 to SO(8)
  lattice, massless spectra changed","Nucl.Phys. B551 (1999) 601-616","10.1016/S0550-3213(99)00241-2","HUB-EP-98/76","hep-th",,"  We consider certain four dimensional supersymmetric and non-supersymmetric
asymmetric orbifolds with vanishing cosmological constant up to two loops and
gauge the world sheet parity transformation. This leads to new string vacua, in
which Dp and D(p-4) branes or Dp and anti-D(p-4) are identified. Moreover, it
is shown that different degrees of supersymmetry can be realized in the bulk
and on the brane. We show that for non-supersymmetric models the cosmological
constant still vanishes at one loop order.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 21:02:18 GMT""},{""version"":""v2"",""created"":""Fri, 18 Dec 1998 10:45:53 GMT""},{""version"":""v3"",""created"":""Fri, 15 Jan 1999 15:43:45 GMT""}]","2009-10-31"
"hep-th/9812159","Akikazu Hashimoto","Akikazu Hashimoto","Supergravity Solutions for Localized Intersections of Branes","15 pages, 1 figure","JHEP 9901 (1999) 018","10.1088/1126-6708/1999/01/018","NSF-ITP-98-127","hep-th",,"  We construct an explicit supergravity solution for a configuration of
localized D4-brane ending on a D6-brane, restricted to the near horizon region
of the latter. We generate this solution by dimensionally reducing the
supergravity solution for a flat M5-brane in $R^{1,7} \times C^2/Z_N$ with the
M5-brane partially embedded in $C^2/Z_N$. We describe the general class of
localized intersections and overlaps whose supergravity solutions are
constructible in this way.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 23:54:54 GMT""}]","2009-10-31"
"hep-th/9812160","Pietro Fre","Riccardo D'Auria (Poliecnico of Torino), Pietro Fre' (University of
  Torino)","BPS Black Holes in Superegravity","LaTeX, 132 pages, Book.sty. Lecture Notes for the SIGRAV Graduate
  School in Contemporary Relativity, Villa Olmo, Como First Course, April 1998",,,,"hep-th astro-ph gr-qc",,"  In these lectures we explain the concept of supergravity p-branes and BPS
black holes. Introducing an audience of general relativists to all the
necessary geometry related with extended supergravity (special geometry,
symplectic embeddings and the like) we describe the general properties of N=2
black holes, the structure of central charges in extended supergravity and the
description of black hole entropy as an invariant of the U duality group. Then,
after explaining the concept and the use of solvable Lie algebras we present
the detailed construction of 1/2, 1/4 and 1/8 supersymmetry preserving black
holes in the context of N=8 supergravity. The Lectures are meant to be
introductory and self contained for non supersymmetry experts but at the same
time fully detailed and complete on the subject.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 23:41:41 GMT""},{""version"":""v2"",""created"":""Tue, 9 Feb 1999 14:56:15 GMT""}]","2007-05-23"
"hep-th/9812161","Itzhak Bars","I. Bars, C. Deliduman, D. Minic","Supersymmetric Two-Time Physics","Latex, 18 pages","Phys. Rev. D 59, 125004 (1999)","10.1103/PhysRevD.59.125004","USC-98/HEP-B6","hep-th",,"  We construct an Sp(2,R) gauge invariant particle action which possesses
manifest space-time SO(d,2) symmetry, global supersymmetry and kappa
supersymmetry. The global and local supersymmetries are non-abelian
generalizations of Poincare type supersymmetries and are consistent with the
presence of two timelike dimensions. In particular, this action provides a
unified and explicit superparticle representation of the superconformal groups
OSp(N/4), SU(2,2/N) and OSp(8*/N) which underlie various AdS/CFT dualities in
M/string theory. By making diverse Sp(2,R) gauge choices our action reduces to
diverse one-time physics systems, one of which is the ordinary (one-time)
massless superparticle with superconformal symmetry that we discuss explicitly.
We show how to generalize our approach to the case of superalgebras, such as
OSp(1/32), which do not have direct space-time interpretations in terms of only
zero branes, but may be realizable in the presence of p-branes.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 00:54:26 GMT""},{""version"":""v2"",""created"":""Tue, 23 Feb 1999 02:51:44 GMT""}]","2016-08-25"
