"adap-org/9807004","Makoto Taiji","Makoto Taiji and Takashi Ikegami","Dynamics of Internal Models in Game Players","19 pages, 6 figures",,"10.1016/S0167-2789(99)00115-3","ISM-98-01","adap-org nlin.AO",,"  A new approach for the study of social games and communications is proposed.
Games are simulated between cognitive players who build the opponent's internal
model and decide their next strategy from predictions based on the model. In
this paper, internal models are constructed by the recurrent neural network
(RNN), and the iterated prisoner's dilemma game is performed. The RNN allows us
to express the internal model in a geometrical shape. The complicated
transients of actions are observed before the stable mutually defecting
equilibrium is reached. During the transients, the model shape also becomes
complicated and often experiences chaotic changes. These new chaotic dynamics
of internal models reflect the dynamical and high-dimensional rugged landscape
of the internal model space.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:12:03 GMT""}]","2009-10-30"
"hep-th/9807173","Chris Pope","M.J. Duff, H. Lu and C.N. Pope","AdS_3 x S^3 (Un)twisted and Squashed, and an O(2,2;Z) Multiplet of
  Dyonic Strings","Latex, 43 pages. Minor changes, and CFT proof of duality of strings
  on S^3/Z_m with flux n and on S^3/Z_n with flux m added","Nucl.Phys.B544:145-180,1999","10.1016/S0550-3213(98)00810-4","CTP TAMU-28/98, LPTENS-98/30, SISSARef. 79/98/EP","hep-th",,"  We consider type IIB configurations carrying both NS-NS and R-R electric and
magnetic 3-form charges, and whose near horizon geometry contains AdS_3 x S^3.
Noting that S^3 is a U(1) bundle over CP^1 \sim S^2, we construct the dual type
IIA configurations by a Hopf T-duality along the U(1) fibre. In the case where
there are only R-R charges, the S^3 is untwisted to S^2 x S^1 (in analogy with
a previous treatment of AdS_5 x S^5.) However, in the case where there are only
NS-NS charges, the S^3 becomes the cyclic lens space S^3/Z_p with its round
metric (and is hence invariant when p=1), where p is the magnetic NS-NS charge.
In the generic case with NS-NS and R-R charges, the S^3 not only becomes
S^3/Z_p but is also squashed, with a squashing parameter that is related to the
values of the charges. Similar results apply if we regard AdS_3 as a bundle
over AdS_2 and T-dualise along the fibre. We show that Hopf T-dualities relate
different black holes, and that they preserve the entropy. The AdS_3 x S^3
solutions arise as the near-horizon limits of dyonic strings. We construct an
O(2,2;Z) multiplet of such dyonic strings, where O(2,2;Z) is a subgroup of the
O(5,5) or O(5,21) six-dimensional duality groups, which captures the essence of
the NS-NS/R-R and electric/magnetic dualities.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 18:08:29 GMT""},{""version"":""v2"",""created"":""Wed, 30 Sep 1998 16:13:13 GMT""}]","2009-10-07"
"hep-th/9807174","George Siopsis","George Siopsis","Black Holes, Newtonian Scattering and Conformal Field Theory","10 pages, sprocl, presented at the Arnowitt Fest, Texas A&M
  University, April 1998. To appear in the Festschrift Volume ""Relativity,
  Particle Physics, and Cosmology,"" published by World Scientific",,,,"hep-th",,"  We discuss non-relativistic scattering by a Newtonian potential. We show that
the gray-body factors associated with scattering by a black hole exhibit the
same functional dependence as scattering amplitudes in the Newtonian limit,
which should be the weak-field limit of any quantum theory of gravity. This
behavior arises independently of the presence of supersymmetry. The connection
to two-dimensional conformal field theory is also discussed.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 18:15:09 GMT""}]","2007-05-23"
"hep-th/9807175","George Chapline","George Chapline","The Black Hole Information Puzzle and Evidence for a Cosmological
  Constant","postscipt, 7 pages",,,,"hep-th",,"  Recent hints from observations of distant supernovae of a positive
cosmological constant with magnitude comparable to the average density of
matter seem to point in the direction of a two fluid model for spacetime; where
the ""normal"" component consists of ordinary matter, while the ""superfluid""
component is a zero entropy condensate. Such a two fluid model for spacetime
provides an immediate and simple explanation for why information seems to be
lost when objects fall into a classical black hole.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 22:47:16 GMT""}]","2007-05-23"
"hep-th/9807176","Qiong-gui Lin","Qiong-gui Lin","Nonlocal scalar electrodynamics from Chern-Simons theory","REVTeX, no figure","Commun.Theor.Phys. 28 (1997) 225-230",,,"hep-th",,"  The theory of a complex scalar interacting with a pure Chern-Simons gauge
field is quantized canonically. Dynamical and nondynamical variables are
separated in a gauge-independent way. In the physical subspace of the full
Hilbert space, this theory reduces to a pure scalar theory with nonlocal
interaction. Several scattering processes are studied and the cross sections
are calculated.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 04:07:14 GMT""}]","2007-05-23"
"hep-th/9807177","Qiong-gui Lin","Qiong-gui Lin","Nonlocal electrodynamics in 2+1 dimensions from Chern-Simons theory","LaTeX, no figure","Commun.Theor.Phys. 30 (1998) 249-256","10.1088/0253-6102/30/2/249",,"hep-th",,"  The theory of a spinor field interacting with a pure Chern-Simons gauge field
in 2+1 dimensions is quantized. Dynamical and nondynamical variables are
separated in a gauge-independent way. After the nondynamical variables are
dropped, this theory reduces to a pure spinor field theory with nonlocal
interaction. Several two-body scattering processes are studied and the cross
sections are obtained in explicitly Lorentz invariant forms.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 04:29:53 GMT""}]","2018-01-17"
"hep-th/9807178","Mitsuo Abe","Mitsuo Abe and Noboru Nakanishi","Construction of an Identically Nilpotent BRS Charge in the Kato-Ogawa
  String Theory","23 pages, LaTeX","Int.J.Mod.Phys. A14 (1999) 1357-1378","10.1142/S0217751X99000713","RIMS-1208","hep-th",,"  In previous work, the conformal-gauge two-dimensional quantum gravity in the
BRS formalism has been solved completely in terms of Wightman functions. In the
present paper, this result is extended to the closed and open bosonic strings
of finite length; the open-string case is nothing but the Kato-Ogawa string
theory. The field-equation anomaly found previously, which means a slight
violation of a field equation at the level of Wightman functions, remains
existent also in the finite-string cases. By using this fact, a BRS charge
nilpotent even for $D\not=26$ is explicitly constructed in the framework of the
Kato-Ogawa string theory. The FP-ghost vacuum structure of the Kato-Ogawa
theory is made more transparent; the appearance of half-integral ghost numbers
and the artificial introduction of indefinite metric are avoided.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 04:51:45 GMT""}]","2009-10-31"
"hep-th/9807179","Yosuke Imamura","Yosuke Imamura","Supersymmetries and BPS Configurations on Anti-de Sitter Space","21 pages + 1 eps figure, LaTeX. some grammatical errors corrected","Nucl.Phys.B537:184-202,1999","10.1016/S0550-3213(98)00671-3","YITP-98-43","hep-th",,"  We study supersymmetry breaking due to the presence of branes on anti-de
Sitter space and obtain conditions for brane orientations not to break too many
supersymmetries. Using the conditions, we construct a brane configuration
corresponding to a baryon in large N gauge theory, and it is shown that the
baryon is a marginal bound state of quarks as is expected from supersymmetry.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 07:28:52 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jul 1998 04:21:29 GMT""},{""version"":""v3"",""created"":""Sun, 13 Sep 1998 16:16:45 GMT""}]","2009-09-25"
"hep-th/9807180","Yong-Wan Kim","Won Tae Kim, Yong-Wan Kim and Young-Jai Park","Symplectic structure free Chern-Simons Theory","12 pages, LaTex, no figures","J.Phys.A32:2461-2467,1999","10.1088/0305-4470/32/12/017","SOGANG-HEP 240/98, SNUTP 98-072","hep-th",,"  The second class constraints algebra of the abelian Chern-Simons theory is
rigorously studied in terms of the Hamiltonian embedding in order to obtain the
first class constraint system. The symplectic structure of fields due to the
second class constraints disappears in the resulting system. Then we obtain a
new type of Chern-Simons action which has an infinite set of the irreducible
first class constraints and exhibits new extended local gauge symmetries
implemented by these first class constraints.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 07:38:23 GMT""}]","2008-11-26"
"hep-th/9807181","Boucaud","J.L. Alonso, Ph. Boucaud, J.M. Carmona, J.L. Cortes, J. Polonyi and
  A.J. van der Sijs","Mass protection via translational invariance","9 pages, LaTeX. Final version to appear in Modern Physics Letters","Mod.Phys.Lett.A14:2277-2285,1999","10.1142/S0217732399002364","SCSC-TR-98-07, DFTUZ/98/22, LPTHE-Orsay 98/51","hep-th hep-lat hep-ph",,"  We propose a way of protecting a Dirac fermion interacting with a scalar
field from acquiring a mass from the vacuum. It is obtained through an
implementation of translational symmetry when the theory is formulated with a
momentum cutoff, which forbids the usual Yukawa term. We consider that this
mechanism can help to understand the smallness of neutrino masses without a
tuning of the Yukawa coupling. The prohibition of the Yukawa term for the
neutrino forbids at the same time a gauge coupling between the right-handed
electron and neutrino. We prove that this mechanism can be implemented on the
lattice.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 11:12:38 GMT""},{""version"":""v2"",""created"":""Fri, 26 Feb 1999 12:35:11 GMT""},{""version"":""v3"",""created"":""Mon, 25 Oct 1999 17:28:06 GMT""}]","2010-03-19"
"math-ph/9807023","Alex Moroz","Alexander Moroz and Adriaan Tip","On-shell T-matrices in Multiple Scattering","7 pages, REVTeX","Phys. Lett. A 235, 195-199 (1997)","10.1016/S0375-9601(97)00663-4",,"math-ph cond-mat math.MP",,"  The transition operator T for the scattering of a particle from N potentials
V_j can be expanded into a series featuring the transition operators t_j
associated with the individual potentials. For V_j(x) both absolutely and
square integrable in x, we show, using an analytic continuation argument, that
if T is on-shell, i.e. in < k|T(sigma^{2}+ i0)|k' >, |k|=|k'|=\sigma, then each
t_j is also on-shell.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 11:57:43 GMT""}]","2009-10-31"
"math-ph/9807024","Oliver Rudolph","Oliver Rudolph and J.D.M. Wright","Homogeneous decoherence functionals in standard and history quantum
  mechanics","19 pages, LaTeX2e, uses times, amssymb, amsmath, babel, mathptm, and
  latexsym packages","Commun.Math.Phys. 204 (1999), 249-267.","10.1007/s002200050645","Imperial/TP/97-98/61","math-ph math.MP quant-ph",,"  General history quantum theories are quantum theories without a globally
defined notion of time. Decoherence functionals represent the states in the
history approach and are defined as certain bivariate complex-valued
functionals on the space of all histories. However, in practical situations --
for instance in the history formulation of standard quantum mechanics -- there
often is a global time direction and the homogeneous decoherence functionals
are specified by their values on the subspace of homogeneous histories.
  In this work we study the analytic properties of (i) the standard decoherence
functional in the history version of standard quantum mechanics and (ii)
homogeneous decoherence functionals in general history theories. We restrict
ourselves to the situation where the space of histories is given by the lattice
of projections on some Hilbert space H. Among other things we prove the
non-existence of a finitely valued extension for the standard decoherence
functional to the space of all histories, derive a representation for the
standard decoherence functional as an unbounded quadratic form with a natural
representation on a Hilbert space and prove the existence of an
Isham-Linden-Schreckenberg (ILS) type representation for the standard
decoherence functional.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 14:02:46 GMT""}]","2009-10-31"
"math/9807125","Anne Schilling","George E. Andrews, Anne Schilling, and S. Ole Warnaar","An A$_2$ Bailey lemma and Rogers--Ramanujan-type identities","AMS-LaTeX, 25 pages","J. Amer. Math. Soc. 12 (1999) 677-702",,"ITFA-98-18","math.QA math.CO",,"  Using new $q$-functions recently introduced by Hatayama et al. and by (two
of) the authors, we obtain an A_2 version of the classical Bailey lemma. We
apply our result, which is distinct from the A_2 Bailey lemma of Milne and
Lilly, to derive Rogers-Ramanujan-type identities for characters of the W_3
algebra.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:13:10 GMT""}]","2007-05-23"
"math/9807126","Tevian Dray","Tevian Dray and Corinne A. Manogue","The Octonionic Eigenvalue Problem","plain TeX (uses AMS fonts), 18 pages, 1 PS figure included with epsf","Adv. Appl. Clifford Algebras 8, 341-364 (1998)",,,"math.RA",,"  We discuss the eigenvalue problem for 2x2 and 3x3 octonionic Hermitian
matrices. In both cases, we give the general solution for real eigenvalues, and
we show there are also solutions with non-real eigenvalues.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 22:56:44 GMT""}]","2007-05-23"
"math/9807127","Sorin Popescu","David Eisenbud, Sorin Popescu","The Projective Geometry of the Gale Transform","43 pages, Plain Tex, uses diagrams.tex. Postscript file also
  available from http://www.math.columbia.edu/~psorin",,,,"math.AG math.AC",,"  The Gale transform, an involution on sets of points in projective space,
appears in a multitude of guises, in subjects as diverse as optimization,
coding theory, theta-functions, and recently in our proof that certain general
sets of points fail to satisfy the minimal free resolution conjecture. In this
paper we reexamine the Gale transform in the light of modern algebraic
geometry. We give a more general definition, in the context of finite (locally)
Gorenstein subschemes. We put in modern form a number of the more remarkable
examples discovered in the past, and we add new constructions and connections
to other areas of algebraic geometry. We generalize Goppa's theorem in coding
theory and we give new applications to Castelnuovo theory. We give references
to classical and modern sources.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 01:01:47 GMT""}]","2007-05-23"
"math/9807128","Jonathan Fine","Jonathan Fine","Stratified simplices and intersection homology","Concise statement of topological definitions in `Local global
  intersection homology', alg-geom/9709011. LaTeX 2e, 8 pages",,,,"math.AT math.AG math.CO",,"  Intersection homology is obtained from ordinary homology by imposing
conditions on how the embedded simplices meet the strata of a space $X$. In
this way, for the middle perversity, properties such as strong Lefschetz are
preserved. This paper defines local-global intersection homology groups, that
record global information about the singularities of $X$. They differ from
intersection homology in that stratified rather than ordinary simplices are
used. An example of such is $\sigma_j\times C\sigma_i$, where $\sigma_i$ and
$\sigma_j$ are ordinary simplices, and $C$ is the coning operator. The paper
concludes with a sketch of the relationship between local-global homology and
the geometry of convex polytopes. This paper is a more formal exposition of
part of the author's `Local-global intersection homology', alg-geom/9709011.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 09:16:55 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 09:22:34 GMT""}]","2007-05-23"
"math/9807129",,"B.G. Konopelchenko","Weierstrass representations for surfaces in 4D spaces and their
  integrable deformations via DS hierarchy","Latex, 18 pages",,,,"math.DG nlin.SI solv-int",,"  Generalized Weierstrass representations for generic surfaces conformally
immersed into four-dimensional Euclidean and pseudo-Euclidean spaces of
different signatures are presented. Integrable deformations of surfaces in
these spaces generated by the Davey-Stewartson hierarchy of integrable
equations are proposed. Willmore functional of a surface is invariant under
such deformations.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 09:43:13 GMT""}]","2007-05-23"
"nucl-th/9807056","Craig Roberts","Frederick T. Hawes, Pieter Maris and Craig D. Roberts","Infrared Behaviour of Propagators and Vertices","10 pages, 2 figures","Phys.Lett.B440:353-358,1998","10.1016/S0370-2693(98)01105-8","ADP-98-40/T312, ANLPHY-8995-TH-98","nucl-th hep-lat hep-ph",,"  We elucidate constraints imposed by confinement and dynamical chiral symmetry
breaking on the infrared behaviour of the dressed-quark and -gluon propagators,
and dressed-quark-gluon vertex. In covariant gauges the dressing of the gluon
propagator is completely specified by P(k^2):= 1/[1+Pi(k^2)], where Pi(k^2) is
the vacuum polarisation. In the absence of particle-like singularities in the
dressed-quark-gluon vertex, extant proposals for the dressed-gluon propagator
that manifest P(k^2=0)=0 and Max[P(k^2)]~10 neither confine quarks nor break
chiral symmetry dynamically. This class includes all existing estimates of
P(k^2) via numerical simulations.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:00:58 GMT""}]","2010-03-04"
"nucl-th/9807057","T. Goldman","G. J. Stephenson, Jr. (UNM) and T. Goldman (LANL)","A Possible Solution to the Tritium Endpoint Problem","LaTeX, 7 pages, 1 Postscript figure, submitted to Phys. Lett. B","Phys.Lett.B440:89-93,1998","10.1016/S0370-2693(98)01092-2","LA-UR-98-3016","nucl-th hep-ph",,"  Scalar or right-chiral interaction currents may be expected to produce a
neutrino coupled to the electron which is different from, and perhaps even
orthogonal to, that coupled to the electron by the standard model weak
interaction. We show that, using reasonable parameter values for such
additional interactions, it is possible to generate a spectrum which, if
analyzed in the manner commonly employed by experimental groups, produces a
negative neutrino mass-squared.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 17:09:39 GMT""}]","2012-08-27"
"nucl-th/9807058","Luigi Coraggio","F. Andreozzi, L. Coraggio, A. Covello, A. Gargano, T. T. S. Kuo and A.
  Porrino","Proton Particle-Neutron Hole States in 132Sb with a Realistic
  Interaction","4 pages, 1 figure, submitted to Physical Review Letters","Phys.Rev. C59 (1999) 746-749","10.1103/PhysRevC.59.746","FNT-001","nucl-th",,"  The structure of the particle-hole nucleus 132Sb provides a direct source of
information on the effective neutron-proton interaction in the 132Sn region. We
have performed a shell-model calculation for this nucleus using a realistic
effective interaction derived from the Bonn A nucleon-nucleon potential. The
results are in very good agreement with the experimental data evidencing the
reliability of our effective interaction matrix elements both with isospin T=1
and T=0.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 09:25:38 GMT""}]","2009-10-31"
"nucl-th/9807059","Viviani Michele","M. Viviani, S. Rosati and A. Kievsky","Neutron-3H and Proton-3He Zero Energy Scattering","13 pages, REVTEX, 1 figure","Phys.Rev.Lett. 81 (1998) 1580-1583","10.1103/PhysRevLett.81.1580",,"nucl-th",,"  The Kohn variational principle and the (correlated) Hyperspherical Harmonics
technique are applied to study the n-3H and p-3He scattering at zero energy.
Predictions for the singlet and triplet scattering lengths are obtained for
non-relativistic nuclear Hamiltonians including two- and three-body potentials.
The calculated n-3H total cross section agrees well with the measured value,
while some small discrepancy is found for the coherent scattering length. For
the p-3He channel, the calculated scattering lengths are in reasonable
agreement with the values extrapolated from the measurements made above 1 MeV.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 09:39:10 GMT""}]","2009-10-31"
"nucl-th/9807060","Johan Helgesson","J. Helgesson (ECT*, Trento, Italy), J. Randrup (LBNL, Berkeley, USA)","Transport Simulations with Pi and Delta In-Medium Properties","11 pages, Latex with psfig and 4 figures included as .eps files","Phys.Lett. B439 (1998) 243-250","10.1016/S0370-2693(98)01109-5","ECT*-98-003, LBNL-41697R","nucl-th",,"  Transport simulations including in-medium properties derived in a microscopic
pi + nucleon-hole + delta-hole model in infinite nuclear matter are presented.
In-medium pion dispersion relations, partial delta decay widths, pion
absorption cross sections and delta cross sections are incorporated into the
transport description by means of a local-density approximation. Strong
modifications of pi and delta production and absorption rates are found, but
only small effects on pion observables.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 10:51:30 GMT""}]","2009-10-31"
"nucl-th/9807061","Alejandro Kievsky","A. Kievsky, M. Viviani, S. Rosati, D. Hueber, W. Gloeckle, H. Kamada,
  H. Witala, J. Golak","Benchmark calculations for polarization observables in 3N scattering","22 pages, 5 postscript figures","Phys.Rev.C58:3085-3092,1998","10.1103/PhysRevC.58.3085",,"nucl-th",,"  High precision benchmark calculations for phase-shifts and mixing parameters
as well as observables in elastic neutron-deuteron scattering below the
deuteron breakup threshold are presented using a realistic nucleon-nucleon
potential. Two totally different methods, one using a variational principle in
configuration space and the other solving the Faddeev equations in momentum
space are used and compared to each other. The agreement achieved in
phase-shifts and mixing parameters as well as in the polarization observables
is excellent. The extreme sensitivity of the vector analyzing power Ay to small
changes of the phase shifts and mixing parameters is pointed out.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 12:43:10 GMT""}]","2008-11-26"
"physics/9807042","A. Y. Potekhin","G. Chabrier (1), A. Y. Potekhin (2) ((1) CRAL, Ecole Normale
  Superieure de Lyon; (2) Ioffe Phys.-Tech. Inst., St.-Petersburg)","Equation of state of fully ionized electron-ion plasmas","13 pages, 2 tables, 7 figures, REVTeX using epsf.sty. To be published
  in Phys. Rev. E, vol. 58 (1998)","Phys.Rev. E58 (1998) 4941-4949","10.1103/PhysRevE.58.4941",,"physics.plasm-ph astro-ph",,"  Thermodynamic quantities of Coulomb plasmas consisting of point-like ions
immersed in a compressible, polarizable electron background are calculated for
ion charges Z=1 to 26 and for a wide domain of plasma parameters ranging from
the Debye-Hueckel limit to the crystallization point and from the region of
nondegenerate to fully degenerate nonrelativistic or relativistic electrons.
The calculations are based on the linear-response theory for the electron-ion
interaction, including the local-field corrections in the electronic dielectric
function. The thermodynamic quantities are calculated in the framework of the
N-body hypernetted-chain equations and fitted by analytic expressions. We
present also accurate analytic approximations for the free energy of the ideal
electron gas at arbitrary degeneracy and relativity and for the excess free
energy of the one-component plasma of ions (OCP) derived from Monte Carlo
simulations.
  The extension to multi-ionic mixtures is discussed within the framework of
the linear mixing rule. These formulae provide a completely analytic, accurate
description of the thermodynamic quantities of fully ionized electron-ion
Coulomb plasmas, a useful tool for various applications from liquid state
theory to dense stellar matter.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:22:37 GMT""}]","2016-09-08"
"physics/9807043",,"K. C. Hwang (Irving, Texas)","Relativistic Effect of Velocity on Electric Charge and Lorentz Force","Paper withdrawn due to errors",,,"DRI-98-01","physics.gen-ph",,"  This paper has been withdrawn due to crucial errors.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:29:19 GMT""},{""version"":""v2"",""created"":""Thu, 13 Aug 1998 21:30:13 GMT""},{""version"":""v3"",""created"":""Thu, 10 Sep 1998 16:37:17 GMT""}]","2009-09-25"
"physics/9807044","Nina Byers","Nina Byers","E. Noether's Discovery of the Deep Connection Between Symmetries and
  Conservation Laws","21 pages including English translations of quotations from
  correspondence between Felix Klein and David Hilbert and from notes of Felix
  Klein. The failure of local energy conservation in the theory of general
  relativity is central to this paper. Latex file. Metric tensor explicitly
  given in Footnote 7 of replacement paper; nbyers@physics.ucla.edu",,,"UCLA/98/TEP/20","physics.hist-ph astro-ph gr-qc hep-th math-ph math.MP",,"  Emmy Noether proved two deep theorems, and their converses, on the connection
between symmetries and conservation laws. Because these theorems are not in the
mainstream of her scholarly work, which was the development of modern abstract
algebra, it is of some historical interest to examine how she came to make
these discoveries. The present paper is an historical account of the
circumstances in which she discovered and proved these theorems which
physicists refer to collectively as Noether's Theorem. The work was done soon
after Hilbert's discovery of the variational principle which gives the field
equations of general relativity. The failure of local energy conservation in
the general theory was a problem that concerned people at that time, among them
David Hilbert, Felix Klein, and Albert Einstein. Noether's theorems solved this
problem. With her characteristically deep insight and thorough analysis, in
solving that problem she discovered very general theorems that have profoundly
influenced modern physics.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:10:10 GMT""},{""version"":""v2"",""created"":""Wed, 23 Sep 1998 06:35:30 GMT""}]","2007-05-23"
"physics/9807045","Ferrario Massimo","N. Piovella, L. Serafini, M. Ferrario","Multi-cell RF Injectors Driven by Thermoionic Cathodes","Presented at VI European Particle Accelerator Conference, Stockholm,
  Sweden (June 22-26, 1998)",,,,"physics.acc-ph",,"  We present the anticipated performances of a multi-cell RF injector operated
either with a thermoionic cathode or with a gated photo-cathode. By means of a
magnetic compression and a Coherent Spontaneous Emission seeded FEL radiating
at 100 to 200 mm, the system produces a beam fully bunched with a 200 A peak
current at 2 mm.mrad rms emittance. The electron bunch is a few FEL buckets
long and phase-locked to the RF so to make this device an ideal injector for
second generation plasma acceleration experiments.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:38:44 GMT""}]","2007-05-23"
"quant-ph/9807064","Martin Roetteler","Markus Pueschel, Martin Roetteler, and Thomas Beth (Universitaet
  Karlsruhe)","Fast Quantum Fourier Transforms for a Class of Non-abelian Groups","16 pages, LaTeX2e","Proceedings 13th International Symposium on Applied Algebra,
  Algebraic Algorithms and Error-Correcting Codes (AAECC'99), Honolulu, Hawaii,
  Springer LNCS, pp. 148-159, 1999",,,"quant-ph",,"  An algorithm is presented allowing the construction of fast Fourier
transforms for any solvable group on a classical computer. The special
structure of the recursion formula being the core of this algorithm makes it a
good starting point to obtain systematically fast Fourier transforms for
solvable groups on a quantum computer. The inherent structure of the Hilbert
space imposed by the qubit architecture suggests to consider groups of order
2^n first (where n is the number of qubits). As an example, fast quantum
Fourier transforms for all 4 classes of non-abelian 2-groups with cyclic normal
subgroup of index 2 are explicitly constructed in terms of quantum circuits.
The (quantum) complexity of the Fourier transform for these groups of size 2^n
is O(n^2) in all cases.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 21:25:34 GMT""}]","2013-12-05"
"quant-ph/9807065","Peter Muller","Werner Fischer, Hajo Leschke, Peter Mueller","On the averaged quantum dynamics by white-noise Hamiltonians with and
  without dissipation","44 pages","Annalen Phys. 7 (1998) 59-100","10.1002/andp.2090070203",,"quant-ph cond-mat.stat-mech",,"  Exact results are derived on the averaged dynamics of a class of random
quantum-dynamical systems in continuous space. Each member of the class is
characterized by a Hamiltonian which is the sum of two parts. While one part is
deterministic, time-independent and quadratic, the Weyl-Wigner symbol of the
other part is a homogeneous Gaussian random field which is delta correlated in
time, but smoothly correlated in position and momentum. The averaged dynamics
of the resulting white-noise system is shown to be a monotone mixing increasing
quantum-dynamical semigroup. Its generator is computed explicitly. Typically,
in the course of time the mean energy of such a system grows linearly to
infinity. In the second part of the paper an extended model is studied, which,
in addition, accounts for dissipation by coupling the white-noise system
linearly to a quantum-mechanical harmonic heat bath. It is demonstrated that,
under suitable assumptions on the spectral density of the heat bath, the mean
energy then saturates for long times.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 14:57:24 GMT""}]","2016-10-26"
